location_name,value,method,filename
小学,"(18, 0, 0)",patch,4_UT_LJY_WW
小学,"(21, 0, 0)",patch,4_UT_LJY_WW
小学,"(22, 0, 0)",patch,4_UT_LJY_WW
小学,"(23, 0, 0)",patch,4_UT_LJY_WW
小学,"(24, 0, 0)",patch,4_UT_LJY_WW
小学,"(26, 0, 0)",patch,4_UT_LJY_WW
小学,"(32, 0, 0)",patch,4_UT_LJY_WW
3号线,"(60, 0, 0)",patch,4_UT_LJY_WW
3号线,"(61, 0, 0)",patch,4_UT_LJY_WW
世界之窗,"(76, 0, 0)",patch,4_UT_LJY_WW
大剧院,"(84, 0, 0)",patch,4_UT_LJY_WW
大剧院站,"(84, 0, 0)",patch,4_UT_LJY_WW
图书馆,"(89, 0, 0)",patch,4_UT_LJY_WW
小学,"(89, 0, 0)",patch,4_UT_LJY_WW
小学,"(91, 0, 0)",patch,4_UT_LJY_WW
小学,"(94, 0, 0)",patch,4_UT_LJY_WW
世界之窗,"(97, 0, 0)",patch,4_UT_LJY_WW
世界之窗,"(103, 0, 0)",patch,4_UT_LJY_WW
小学,"(114, 0, 0)",patch,4_UT_LJY_WW
小学,"(115, 0, 0)",patch,4_UT_LJY_WW
高峰,"(119, 0, 0)",patch,4_UT_LJY_WW
图书馆,"(121, 0, 0)",patch,4_UT_LJY_WW
小学,"(121, 0, 0)",patch,4_UT_LJY_WW
西边,"(132, 0, 0)",patch,4_UT_LJY_WW
市中心,"(135, 0, 0)",patch,4_UT_LJY_WW
市民中心,"(135, 0, 0)",patch,4_UT_LJY_WW
西边,"(135, 0, 0)",patch,4_UT_LJY_WW
中心区,"(136, 0, 0)",patch,4_UT_LJY_WW
市民中心,"(139, 0, 0)",patch,4_UT_LJY_WW
西边,"(146, 0, 0)",patch,4_UT_LJY_WW
锦绣中华,"(146, 0, 0)",patch,4_UT_LJY_WW
建设,"(149, 0, 0)",patch,4_UT_LJY_WW
建设,"(150, 0, 0)",patch,4_UT_LJY_WW
市民中心,"(152, 0, 0)",patch,4_UT_LJY_WW
建设,"(160, 0, 0)",patch,4_UT_LJY_WW
上梅林,"(169, 0, 0)",patch,4_UT_LJY_WW
上梅林站,"(169, 0, 0)",patch,4_UT_LJY_WW
4号线,"(171, 0, 0)",patch,4_UT_LJY_WW
上梅林,"(171, 0, 0)",patch,4_UT_LJY_WW
上梅林站,"(171, 0, 0)",patch,4_UT_LJY_WW
小学,"(172, 0, 0)",patch,4_UT_LJY_WW
北环大道,"(176, 0, 0)",patch,4_UT_LJY_WW
高峰,"(176, 0, 0)",patch,4_UT_LJY_WW
上梅林,"(178, 0, 0)",patch,4_UT_LJY_WW
上梅林,"(186, 0, 0)",patch,4_UT_LJY_WW
小学,"(197, 0, 0)",patch,4_UT_LJY_WW
高峰,"(206, 0, 0)",patch,4_UT_LJY_WW
高峰,"(207, 0, 0)",patch,4_UT_LJY_WW
高峰,"(208, 0, 0)",patch,4_UT_LJY_WW
14号线,"(219, 0, 0)",patch,4_UT_LJY_WW
4号线,"(219, 0, 0)",patch,4_UT_LJY_WW
4号线,"(231, 0, 0)",patch,4_UT_LJY_WW
前进,"(231, 0, 0)",patch,4_UT_LJY_WW
4号线,"(237, 0, 0)",patch,4_UT_LJY_WW
4号线,"(238, 0, 0)",patch,4_UT_LJY_WW
4号线,"(239, 0, 0)",patch,4_UT_LJY_WW
4号线,"(243, 0, 0)",patch,4_UT_LJY_WW
1号线,"(245, 0, 0)",patch,4_UT_LJY_WW
4号线,"(245, 0, 0)",patch,4_UT_LJY_WW
4号线,"(246, 0, 0)",patch,4_UT_LJY_WW
4号线,"(247, 0, 0)",patch,4_UT_LJY_WW
4号线,"(248, 0, 0)",patch,4_UT_LJY_WW
高峰,"(253, 0, 0)",patch,4_UT_LJY_WW
图书馆,"(277, 0, 0)",patch,4_UT_LJY_WW
机场,"(279, 0, 0)",patch,4_UT_LJY_WW
高峰,"(281, 0, 0)",patch,4_UT_LJY_WW
14号线,"(286, 0, 0)",patch,4_UT_LJY_WW
4号线,"(286, 0, 0)",patch,4_UT_LJY_WW
4号线,"(291, 0, 0)",patch,4_UT_LJY_WW
会展中心,"(291, 0, 0)",patch,4_UT_LJY_WW
市民中心,"(291, 0, 0)",patch,4_UT_LJY_WW
东部,"(293, 0, 0)",patch,4_UT_LJY_WW
4号线,"(297, 0, 0)",patch,4_UT_LJY_WW
3号线,"(323, 0, 0)",patch,4_UT_LJY_WW
