location_name,value,method,filename
关口,"(24, 0, 0)",patch,4_UT_LJY_XW
关口,"(39, 0, 0)",patch,4_UT_LJY_XW
关口,"(40, 0, 0)",patch,4_UT_LJY_XW
1号线,"(49, 0, 0)",patch,4_UT_LJY_XW
关口,"(51, 0, 0)",patch,4_UT_LJY_XW
图书馆,"(54, 0, 0)",patch,4_UT_LJY_XW
图书馆,"(80, 0, 0)",patch,4_UT_LJY_XW
小学,"(80, 0, 0)",patch,4_UT_LJY_XW
图书馆,"(84, 0, 0)",patch,4_UT_LJY_XW
14号线,"(105, 0, 0)",patch,4_UT_LJY_XW
4号线,"(105, 0, 0)",patch,4_UT_LJY_XW
会展中心,"(128, 0, 0)",patch,4_UT_LJY_XW
会展中心,"(130, 0, 0)",patch,4_UT_LJY_XW
向东,"(132, 0, 0)",patch,4_UT_LJY_XW
市民中心,"(133, 0, 0)",patch,4_UT_LJY_XW
少年宫,"(134, 0, 0)",patch,4_UT_LJY_XW
市民中心,"(134, 0, 0)",patch,4_UT_LJY_XW
14号线,"(142, 0, 0)",patch,4_UT_LJY_XW
3号线,"(142, 0, 0)",patch,4_UT_LJY_XW
4号线,"(142, 0, 0)",patch,4_UT_LJY_XW
3号线,"(146, 0, 0)",patch,4_UT_LJY_XW
14号线,"(148, 0, 0)",patch,4_UT_LJY_XW
4号线,"(148, 0, 0)",patch,4_UT_LJY_XW
14号线,"(152, 0, 0)",patch,4_UT_LJY_XW
4号线,"(152, 0, 0)",patch,4_UT_LJY_XW
14号线,"(183, 0, 0)",patch,4_UT_LJY_XW
16号线,"(183, 0, 0)",patch,4_UT_LJY_XW
3号线,"(183, 0, 0)",patch,4_UT_LJY_XW
4号线,"(183, 0, 0)",patch,4_UT_LJY_XW
大运站,"(183, 0, 0)",patch,4_UT_LJY_XW
建设,"(186, 0, 0)",patch,4_UT_LJY_XW
建设,"(192, 0, 0)",patch,4_UT_LJY_XW
3号线,"(194, 0, 0)",patch,4_UT_LJY_XW
4号线,"(200, 0, 0)",patch,4_UT_LJY_XW
长龙,"(207, 0, 0)",patch,4_UT_LJY_XW
3号线,"(218, 0, 0)",patch,4_UT_LJY_XW
建新,"(221, 0, 0)",patch,4_UT_LJY_XW
1号线,"(242, 0, 0)",patch,4_UT_LJY_XW
科学馆,"(242, 0, 0)",patch,4_UT_LJY_XW
购物公园,"(242, 0, 0)",patch,4_UT_LJY_XW
高峰,"(247, 0, 0)",patch,4_UT_LJY_XW
一村,"(249, 0, 0)",patch,4_UT_LJY_XW
东升,"(249, 0, 0)",patch,4_UT_LJY_XW
14号线,"(258, 0, 0)",patch,4_UT_LJY_XW
4号线,"(258, 0, 0)",patch,4_UT_LJY_XW
11号线,"(259, 0, 0)",patch,4_UT_LJY_XW
14号线,"(259, 0, 0)",patch,4_UT_LJY_XW
1号线,"(259, 0, 0)",patch,4_UT_LJY_XW
4号线,"(259, 0, 0)",patch,4_UT_LJY_XW
新开,"(259, 0, 0)",patch,4_UT_LJY_XW
高峰,"(286, 0, 0)",patch,4_UT_LJY_XW
高峰,"(287, 0, 0)",patch,4_UT_LJY_XW
高峰,"(302, 0, 0)",patch,4_UT_LJY_XW
11号线,"(328, 0, 0)",patch,4_UT_LJY_XW
14号线,"(328, 0, 0)",patch,4_UT_LJY_XW
1号线,"(328, 0, 0)",patch,4_UT_LJY_XW
3号线,"(328, 0, 0)",patch,4_UT_LJY_XW
4号线,"(328, 0, 0)",patch,4_UT_LJY_XW
市中心,"(336, 0, 0)",patch,4_UT_LJY_XW
14号线,"(338, 0, 0)",patch,4_UT_LJY_XW
4号线,"(338, 0, 0)",patch,4_UT_LJY_XW
7号线,"(338, 0, 0)",patch,4_UT_LJY_XW
新开,"(338, 0, 0)",patch,4_UT_LJY_XW
市民中心,"(339, 0, 0)",patch,4_UT_LJY_XW
1号线,"(340, 0, 0)",patch,4_UT_LJY_XW
3号线,"(340, 0, 0)",patch,4_UT_LJY_XW
大剧院,"(340, 0, 0)",patch,4_UT_LJY_XW
大剧院站,"(340, 0, 0)",patch,4_UT_LJY_XW
购物公园,"(340, 0, 0)",patch,4_UT_LJY_XW
购物公园站,"(340, 0, 0)",patch,4_UT_LJY_XW
