location_name,value,method,filename
小学,"(7, 0, 0)",patch,5_CS+刘阿姨
小学,"(8, 0, 0)",patch,5_CS+刘阿姨
小学,"(9, 0, 0)",patch,5_CS+刘阿姨
小学,"(11, 0, 0)",patch,5_CS+刘阿姨
小学,"(12, 0, 0)",patch,5_CS+刘阿姨
世界之窗,"(35, 0, 0)",patch,5_CS+刘阿姨
世界之窗,"(36, 0, 0)",patch,5_CS+刘阿姨
文化村,"(36, 0, 0)",patch,5_CS+刘阿姨
世界之窗,"(37, 0, 0)",patch,5_CS+刘阿姨
文化村,"(37, 0, 0)",patch,5_CS+刘阿姨
水库,"(91, 0, 0)",patch,5_CS+刘阿姨
竹坑,"(91, 0, 0)",patch,5_CS+刘阿姨
黄竹坑,"(91, 0, 0)",patch,5_CS+刘阿姨
机场,"(128, 0, 0)",patch,5_CS+刘阿姨
高峰,"(149, 0, 0)",patch,5_CS+刘阿姨
少年宫,"(204, 0, 0)",patch,5_CS+刘阿姨
少年宫,"(205, 0, 0)",patch,5_CS+刘阿姨
少年宫,"(206, 0, 0)",patch,5_CS+刘阿姨
少年宫,"(207, 0, 0)",patch,5_CS+刘阿姨
少年宫,"(217, 0, 0)",patch,5_CS+刘阿姨
市民中心,"(220, 0, 0)",patch,5_CS+刘阿姨
少年宫,"(223, 0, 0)",patch,5_CS+刘阿姨
建设,"(270, 0, 0)",patch,5_CS+刘阿姨
水生,"(271, 0, 0)",patch,5_CS+刘阿姨
小学,"(309, 0, 0)",patch,5_CS+刘阿姨
幼儿园,"(309, 0, 0)",patch,5_CS+刘阿姨
孙逸仙心脑血管医院,"(348, 0, 0)",patch,5_CS+刘阿姨
机场,"(359, 0, 0)",patch,5_CS+刘阿姨
机场,"(360, 0, 0)",patch,5_CS+刘阿姨
机场,"(361, 0, 0)",patch,5_CS+刘阿姨
机场北,"(361, 0, 0)",patch,5_CS+刘阿姨
机场,"(444, 0, 0)",patch,5_CS+刘阿姨
机场北,"(444, 0, 0)",patch,5_CS+刘阿姨
3号线,"(449, 0, 0)",patch,5_CS+刘阿姨
华侨城,"(456, 0, 0)",patch,5_CS+刘阿姨
山水田园,"(457, 0, 0)",patch,5_CS+刘阿姨
山水田园,"(458, 0, 0)",patch,5_CS+刘阿姨
市中心,"(482, 0, 0)",patch,5_CS+刘阿姨
14号线,"(502, 0, 0)",patch,5_CS+刘阿姨
4号线,"(502, 0, 0)",patch,5_CS+刘阿姨
建设,"(545, 0, 0)",patch,5_CS+刘阿姨
建设,"(551, 0, 0)",patch,5_CS+刘阿姨
南联,"(556, 0, 0)",patch,5_CS+刘阿姨
南联站,"(556, 0, 0)",patch,5_CS+刘阿姨
市中心,"(586, 0, 0)",patch,5_CS+刘阿姨
14号线,"(592, 0, 0)",patch,5_CS+刘阿姨
16号线,"(592, 0, 0)",patch,5_CS+刘阿姨
4号线,"(592, 0, 0)",patch,5_CS+刘阿姨
少年宫,"(594, 0, 0)",patch,5_CS+刘阿姨
客家博物馆,"(597, 0, 0)",patch,5_CS+刘阿姨
新建,"(599, 0, 0)",patch,5_CS+刘阿姨
16号线,"(626, 0, 0)",patch,5_CS+刘阿姨
16号线,"(630, 0, 0)",patch,5_CS+刘阿姨
机场,"(685, 0, 0)",patch,5_CS+刘阿姨
世界之窗,"(714, 0, 0)",patch,5_CS+刘阿姨
世界之窗,"(716, 0, 0)",patch,5_CS+刘阿姨
世界之窗,"(720, 0, 0)",patch,5_CS+刘阿姨
16号线,"(734, 0, 0)",patch,5_CS+刘阿姨
14号线,"(738, 0, 0)",patch,5_CS+刘阿姨
16号线,"(738, 0, 0)",patch,5_CS+刘阿姨
4号线,"(738, 0, 0)",patch,5_CS+刘阿姨
东部,"(786, 0, 0)",patch,5_CS+刘阿姨
东部华侨城,"(786, 0, 0)",patch,5_CS+刘阿姨
华侨城,"(786, 0, 0)",patch,5_CS+刘阿姨
东部,"(787, 0, 0)",patch,5_CS+刘阿姨
东部华侨城,"(787, 0, 0)",patch,5_CS+刘阿姨
华侨城,"(787, 0, 0)",patch,5_CS+刘阿姨
世界之窗,"(788, 0, 0)",patch,5_CS+刘阿姨
文化村,"(788, 0, 0)",patch,5_CS+刘阿姨
世界之窗,"(789, 0, 0)",patch,5_CS+刘阿姨
东部,"(789, 0, 0)",patch,5_CS+刘阿姨
东部华侨城,"(789, 0, 0)",patch,5_CS+刘阿姨
华侨城,"(789, 0, 0)",patch,5_CS+刘阿姨
水库,"(796, 0, 0)",patch,5_CS+刘阿姨
14号线,"(839, 0, 0)",patch,5_CS+刘阿姨
4号线,"(839, 0, 0)",patch,5_CS+刘阿姨
小学,"(870, 0, 0)",patch,5_CS+刘阿姨
