location_name,value,method,filename
小学,"(38, 0, 0)",patch,5_CS+尤老师
小学,"(39, 0, 0)",patch,5_CS+尤老师
幼儿园,"(39, 0, 0)",patch,5_CS+尤老师
楼下,"(41, 0, 0)",patch,5_CS+尤老师
16号线,"(76, 0, 0)",patch,5_CS+尤老师
16号线,"(78, 0, 0)",patch,5_CS+尤老师
小学,"(95, 0, 0)",patch,5_CS+尤老师
小学,"(96, 0, 0)",patch,5_CS+尤老师
大剧院,"(102, 0, 0)",patch,5_CS+尤老师
机场,"(107, 0, 0)",patch,5_CS+尤老师
大剧院,"(112, 0, 0)",patch,5_CS+尤老师
大剧院,"(113, 0, 0)",patch,5_CS+尤老师
大剧院,"(114, 0, 0)",patch,5_CS+尤老师
楼下,"(122, 0, 0)",patch,5_CS+尤老师
1号线,"(139, 0, 0)",patch,5_CS+尤老师
市中心,"(144, 0, 0)",patch,5_CS+尤老师
小学,"(147, 0, 0)",patch,5_CS+尤老师
湿地公园,"(184, 0, 0)",patch,5_CS+尤老师
16号线,"(201, 0, 0)",patch,5_CS+尤老师
高峰,"(218, 0, 0)",patch,5_CS+尤老师
机场,"(262, 0, 0)",patch,5_CS+尤老师
机场北,"(262, 0, 0)",patch,5_CS+尤老师
机场,"(264, 0, 0)",patch,5_CS+尤老师
4号线,"(304, 0, 0)",patch,5_CS+尤老师
4号线,"(305, 0, 0)",patch,5_CS+尤老师
16号线,"(345, 0, 0)",patch,5_CS+尤老师
松山,"(352, 0, 0)",patch,5_CS+尤老师
建设,"(353, 0, 0)",patch,5_CS+尤老师
松山,"(380, 0, 0)",patch,5_CS+尤老师
松山,"(381, 0, 0)",patch,5_CS+尤老师
机场,"(420, 0, 0)",patch,5_CS+尤老师
机场北,"(420, 0, 0)",patch,5_CS+尤老师
楼下,"(433, 0, 0)",patch,5_CS+尤老师
高峰,"(445, 0, 0)",patch,5_CS+尤老师
高峰,"(446, 0, 0)",patch,5_CS+尤老师
图书馆,"(475, 0, 0)",patch,5_CS+尤老师
图书馆,"(476, 0, 0)",patch,5_CS+尤老师
图书馆,"(477, 0, 0)",patch,5_CS+尤老师
图书馆,"(478, 0, 0)",patch,5_CS+尤老师
图书馆,"(480, 0, 0)",patch,5_CS+尤老师
市民中心,"(480, 0, 0)",patch,5_CS+尤老师
少年宫,"(481, 0, 0)",patch,5_CS+尤老师
市民中心,"(481, 0, 0)",patch,5_CS+尤老师
少年宫,"(483, 0, 0)",patch,5_CS+尤老师
楼下,"(484, 0, 0)",patch,5_CS+尤老师
中村,"(490, 0, 0)",patch,5_CS+尤老师
中村,"(491, 0, 0)",patch,5_CS+尤老师
田心,"(497, 0, 0)",patch,5_CS+尤老师
田心,"(499, 0, 0)",patch,5_CS+尤老师
田心,"(501, 0, 0)",patch,5_CS+尤老师
楼下,"(555, 0, 0)",patch,5_CS+尤老师
大剧院,"(559, 0, 0)",patch,5_CS+尤老师
购物公园,"(599, 0, 0)",patch,5_CS+尤老师
购物公园,"(601, 0, 0)",patch,5_CS+尤老师
建设,"(615, 0, 0)",patch,5_CS+尤老师
世界之窗,"(622, 0, 0)",patch,5_CS+尤老师
世界之窗,"(623, 0, 0)",patch,5_CS+尤老师
世界之窗,"(627, 0, 0)",patch,5_CS+尤老师
华侨城,"(628, 0, 0)",patch,5_CS+尤老师
华侨城,"(629, 0, 0)",patch,5_CS+尤老师
东部,"(630, 0, 0)",patch,5_CS+尤老师
