location_name,value,method,filename
小学,"(11, 0, 0)",patch,5_CS+钟老师
小学,"(25, 0, 0)",patch,5_CS+钟老师
小学,"(27, 0, 0)",patch,5_CS+钟老师
小学,"(30, 0, 0)",patch,5_CS+钟老师
小学,"(36, 0, 0)",patch,5_CS+钟老师
小学,"(107, 0, 0)",patch,5_CS+钟老师
小学,"(151, 0, 0)",patch,5_CS+钟老师
小学,"(152, 0, 0)",patch,5_CS+钟老师
小学,"(156, 0, 0)",patch,5_CS+钟老师
小学,"(157, 0, 0)",patch,5_CS+钟老师
机场,"(175, 0, 0)",patch,5_CS+钟老师
小学,"(181, 0, 0)",patch,5_CS+钟老师
图书馆,"(204, 0, 0)",patch,5_CS+钟老师
图书馆,"(205, 0, 0)",patch,5_CS+钟老师
少年宫,"(205, 0, 0)",patch,5_CS+钟老师
少年宫,"(206, 0, 0)",patch,5_CS+钟老师
小学,"(207, 0, 0)",patch,5_CS+钟老师
市民中心,"(221, 0, 0)",patch,5_CS+钟老师
少年宫,"(223, 0, 0)",patch,5_CS+钟老师
市民中心,"(223, 0, 0)",patch,5_CS+钟老师
16号线,"(228, 0, 0)",patch,5_CS+钟老师
楼下,"(260, 0, 0)",patch,5_CS+钟老师
建设,"(270, 0, 0)",patch,5_CS+钟老师
14号线,"(305, 0, 0)",patch,5_CS+钟老师
4号线,"(305, 0, 0)",patch,5_CS+钟老师
11号线,"(373, 0, 0)",patch,5_CS+钟老师
1号线,"(373, 0, 0)",patch,5_CS+钟老师
机场,"(418, 0, 0)",patch,5_CS+钟老师
机场北,"(418, 0, 0)",patch,5_CS+钟老师
11号线,"(421, 0, 0)",patch,5_CS+钟老师
1号线,"(421, 0, 0)",patch,5_CS+钟老师
11号线,"(422, 0, 0)",patch,5_CS+钟老师
1号线,"(422, 0, 0)",patch,5_CS+钟老师
机场,"(426, 0, 0)",patch,5_CS+钟老师
机场北,"(426, 0, 0)",patch,5_CS+钟老师
世界之窗,"(445, 0, 0)",patch,5_CS+钟老师
大剧院,"(445, 0, 0)",patch,5_CS+钟老师
世界之窗,"(446, 0, 0)",patch,5_CS+钟老师
华侨城,"(446, 0, 0)",patch,5_CS+钟老师
世界之窗,"(452, 0, 0)",patch,5_CS+钟老师
市中心,"(474, 0, 0)",patch,5_CS+钟老师
建设,"(479, 0, 0)",patch,5_CS+钟老师
世界之窗,"(511, 0, 0)",patch,5_CS+钟老师
世界之窗,"(512, 0, 0)",patch,5_CS+钟老师
华侨城,"(513, 0, 0)",patch,5_CS+钟老师
东部,"(516, 0, 0)",patch,5_CS+钟老师
东部华侨城,"(516, 0, 0)",patch,5_CS+钟老师
华侨城,"(516, 0, 0)",patch,5_CS+钟老师
东部,"(517, 0, 0)",patch,5_CS+钟老师
东部华侨城,"(517, 0, 0)",patch,5_CS+钟老师
华侨城,"(517, 0, 0)",patch,5_CS+钟老师
机场,"(596, 0, 0)",patch,5_CS+钟老师
购物公园,"(629, 0, 0)",patch,5_CS+钟老师
购物公园,"(631, 0, 0)",patch,5_CS+钟老师
16号线,"(662, 0, 0)",patch,5_CS+钟老师
小学,"(666, 0, 0)",patch,5_CS+钟老师
盘山路,"(683, 0, 0)",patch,5_CS+钟老师
南科大,"(698, 0, 0)",patch,5_CS+钟老师
