location_name,value,method,filename
市中心,"(21, 0, 0)",patch,5_CS+黄先生
上村,"(52, 0, 0)",patch,5_CS+黄先生
田头,"(52, 0, 0)",patch,5_CS+黄先生
沙头,"(72, 0, 0)",patch,5_CS+黄先生
沙头,"(74, 0, 0)",patch,5_CS+黄先生
大剧院,"(97, 0, 0)",patch,5_CS+黄先生
楼下,"(135, 0, 0)",patch,5_CS+黄先生
中心区,"(137, 0, 0)",patch,5_CS+黄先生
市中心,"(173, 0, 0)",patch,5_CS+黄先生
1号线,"(183, 0, 0)",patch,5_CS+黄先生
机场,"(183, 0, 0)",patch,5_CS+黄先生
世界之窗,"(184, 0, 0)",patch,5_CS+黄先生
世界之窗,"(185, 0, 0)",patch,5_CS+黄先生
世界之窗,"(189, 0, 0)",patch,5_CS+黄先生
世界之窗,"(199, 0, 0)",patch,5_CS+黄先生
大剧院,"(251, 0, 0)",patch,5_CS+黄先生
楼下,"(259, 0, 0)",patch,5_CS+黄先生
16号线,"(266, 0, 0)",patch,5_CS+黄先生
16号线,"(267, 0, 0)",patch,5_CS+黄先生
楼下,"(289, 0, 0)",patch,5_CS+黄先生
4号线,"(309, 0, 0)",patch,5_CS+黄先生
建设,"(309, 0, 0)",patch,5_CS+黄先生
世界之窗,"(324, 0, 0)",patch,5_CS+黄先生
世界之窗,"(326, 0, 0)",patch,5_CS+黄先生
世界之窗,"(329, 0, 0)",patch,5_CS+黄先生
华侨城,"(331, 0, 0)",patch,5_CS+黄先生
东部,"(332, 0, 0)",patch,5_CS+黄先生
东部华侨城,"(332, 0, 0)",patch,5_CS+黄先生
华侨城,"(332, 0, 0)",patch,5_CS+黄先生
机场,"(361, 0, 0)",patch,5_CS+黄先生
4号线,"(365, 0, 0)",patch,5_CS+黄先生
机场,"(423, 0, 0)",patch,5_CS+黄先生
机场北,"(423, 0, 0)",patch,5_CS+黄先生
大剧院,"(436, 0, 0)",patch,5_CS+黄先生
大剧院,"(437, 0, 0)",patch,5_CS+黄先生
大剧院,"(438, 0, 0)",patch,5_CS+黄先生
建设,"(465, 0, 0)",patch,5_CS+黄先生
华侨城,"(520, 0, 0)",patch,5_CS+黄先生
华侨城,"(521, 0, 0)",patch,5_CS+黄先生
世界之窗,"(522, 0, 0)",patch,5_CS+黄先生
东部,"(523, 0, 0)",patch,5_CS+黄先生
东部华侨城,"(523, 0, 0)",patch,5_CS+黄先生
华侨城,"(523, 0, 0)",patch,5_CS+黄先生
会展中心,"(561, 0, 0)",patch,5_CS+黄先生
少年宫,"(562, 0, 0)",patch,5_CS+黄先生
会展中心,"(563, 0, 0)",patch,5_CS+黄先生
少年宫,"(563, 0, 0)",patch,5_CS+黄先生
会展中心,"(565, 0, 0)",patch,5_CS+黄先生
少年宫,"(565, 0, 0)",patch,5_CS+黄先生
世界之窗,"(594, 0, 0)",patch,5_CS+黄先生
世界之窗,"(596, 0, 0)",patch,5_CS+黄先生
世界之窗,"(599, 0, 0)",patch,5_CS+黄先生
世界之窗,"(600, 0, 0)",patch,5_CS+黄先生
华侨城,"(600, 0, 0)",patch,5_CS+黄先生
世界之窗,"(605, 0, 0)",patch,5_CS+黄先生
