location_name,value,method,filename
小学,"(4, 0, 0)",patch,6_szulys_nw
小学,"(5, 0, 0)",patch,6_szulys_nw
小学,"(6, 0, 0)",patch,6_szulys_nw
小学,"(12, 0, 0)",patch,6_szulys_nw
4号线,"(15, 0, 0)",patch,6_szulys_nw
小学,"(18, 0, 0)",patch,6_szulys_nw
小学,"(23, 0, 0)",patch,6_szulys_nw
小学,"(24, 0, 0)",patch,6_szulys_nw
1号线,"(31, 0, 0)",patch,6_szulys_nw
1号线,"(32, 0, 0)",patch,6_szulys_nw
小学,"(40, 0, 0)",patch,6_szulys_nw
海上世界,"(41, 0, 0)",patch,6_szulys_nw
小学,"(52, 0, 0)",patch,6_szulys_nw
小学,"(69, 0, 0)",patch,6_szulys_nw
关口,"(87, 0, 0)",patch,6_szulys_nw
关口,"(91, 0, 0)",patch,6_szulys_nw
关口,"(92, 0, 0)",patch,6_szulys_nw
关口,"(93, 0, 0)",patch,6_szulys_nw
会展中心,"(109, 0, 0)",patch,6_szulys_nw
107国道,"(113, 0, 0)",patch,6_szulys_nw
27国道,"(113, 0, 0)",patch,6_szulys_nw
11号线,"(114, 0, 0)",patch,6_szulys_nw
1号线,"(114, 0, 0)",patch,6_szulys_nw
11号线,"(115, 0, 0)",patch,6_szulys_nw
1号线,"(115, 0, 0)",patch,6_szulys_nw
空港新城,"(115, 0, 0)",patch,6_szulys_nw
空港新城,"(116, 0, 0)",patch,6_szulys_nw
机场,"(117, 0, 0)",patch,6_szulys_nw
4号线,"(129, 0, 0)",patch,6_szulys_nw
4号线,"(131, 0, 0)",patch,6_szulys_nw
高峰,"(131, 0, 0)",patch,6_szulys_nw
中心区,"(132, 0, 0)",patch,6_szulys_nw
高峰,"(161, 0, 0)",patch,6_szulys_nw
高峰,"(163, 0, 0)",patch,6_szulys_nw
守正楼,"(206, 0, 0)",patch,6_szulys_nw
上梅林,"(215, 0, 0)",patch,6_szulys_nw
会展中心,"(215, 0, 0)",patch,6_szulys_nw
4号线,"(216, 0, 0)",patch,6_szulys_nw
4号线,"(217, 0, 0)",patch,6_szulys_nw
高峰,"(254, 0, 0)",patch,6_szulys_nw
华为站,"(292, 0, 0)",patch,6_szulys_nw
建设,"(296, 0, 0)",patch,6_szulys_nw
11号线,"(311, 0, 0)",patch,6_szulys_nw
1号线,"(311, 0, 0)",patch,6_szulys_nw
建设,"(314, 0, 0)",patch,6_szulys_nw
4号线,"(316, 0, 0)",patch,6_szulys_nw
