location_name,value,method,filename
关口,"(35, 0, 0)",patch,6_szulys_乔麦
关口,"(97, 0, 0)",patch,6_szulys_乔麦
关口,"(98, 0, 0)",patch,6_szulys_乔麦
中心区,"(103, 0, 0)",patch,6_szulys_乔麦
大小梅沙,"(115, 0, 0)",patch,6_szulys_乔麦
小梅沙,"(115, 0, 0)",patch,6_szulys_乔麦
13号线,"(117, 0, 0)",patch,6_szulys_乔麦
1号线,"(117, 0, 0)",patch,6_szulys_乔麦
3号线,"(117, 0, 0)",patch,6_szulys_乔麦
高峰,"(119, 0, 0)",patch,6_szulys_乔麦
3号线,"(128, 0, 0)",patch,6_szulys_乔麦
3号线,"(136, 0, 0)",patch,6_szulys_乔麦
3号线,"(137, 0, 0)",patch,6_szulys_乔麦
建设,"(161, 0, 0)",patch,6_szulys_乔麦
中村,"(171, 0, 0)",patch,6_szulys_乔麦
建设,"(181, 0, 0)",patch,6_szulys_乔麦
远来,"(183, 0, 0)",patch,6_szulys_乔麦
1号线,"(207, 0, 0)",patch,6_szulys_乔麦
7号线,"(213, 0, 0)",patch,6_szulys_乔麦
7号线,"(214, 0, 0)",patch,6_szulys_乔麦
中心区,"(246, 0, 0)",patch,6_szulys_乔麦
购物公园,"(246, 0, 0)",patch,6_szulys_乔麦
大小梅沙,"(248, 0, 0)",patch,6_szulys_乔麦
小梅沙,"(248, 0, 0)",patch,6_szulys_乔麦
大小梅沙,"(249, 0, 0)",patch,6_szulys_乔麦
小梅沙,"(249, 0, 0)",patch,6_szulys_乔麦
高峰,"(305, 0, 0)",patch,6_szulys_乔麦
14号线,"(306, 0, 0)",patch,6_szulys_乔麦
16号线,"(306, 0, 0)",patch,6_szulys_乔麦
3号线,"(306, 0, 0)",patch,6_szulys_乔麦
4号线,"(306, 0, 0)",patch,6_szulys_乔麦
高峰,"(306, 0, 0)",patch,6_szulys_乔麦
高峰,"(356, 0, 0)",patch,6_szulys_乔麦
1号线,"(370, 0, 0)",patch,6_szulys_乔麦
世界之窗,"(370, 0, 0)",patch,6_szulys_乔麦
图书馆,"(372, 0, 0)",patch,6_szulys_乔麦
建设,"(382, 0, 0)",patch,6_szulys_乔麦
14号线,"(386, 0, 0)",patch,6_szulys_乔麦
16号线,"(386, 0, 0)",patch,6_szulys_乔麦
1号线,"(386, 0, 0)",patch,6_szulys_乔麦
4号线,"(386, 0, 0)",patch,6_szulys_乔麦
新开,"(386, 0, 0)",patch,6_szulys_乔麦
