location_name,value,method,filename
小学,"(1, 0, 0)",patch,7_SZUF_LT
小学,"(4, 0, 0)",patch,7_SZUF_LT
花园,"(7, 0, 0)",patch,7_SZUF_LT
小学,"(13, 0, 0)",patch,7_SZUF_LT
少年宫,"(13, 0, 0)",patch,7_SZUF_LT
小学,"(14, 0, 0)",patch,7_SZUF_LT
世界之窗,"(27, 0, 0)",patch,7_SZUF_LT
小学,"(27, 0, 0)",patch,7_SZUF_LT
小学,"(33, 0, 0)",patch,7_SZUF_LT
市中心,"(33, 0, 0)",patch,7_SZUF_LT
向西,"(35, 0, 0)",patch,7_SZUF_LT
西南,"(35, 0, 0)",patch,7_SZUF_LT
西边,"(35, 0, 0)",patch,7_SZUF_LT
中心区,"(36, 0, 0)",patch,7_SZUF_LT
小学,"(36, 0, 0)",patch,7_SZUF_LT
小学,"(37, 0, 0)",patch,7_SZUF_LT
小学,"(39, 0, 0)",patch,7_SZUF_LT
公安,"(41, 0, 0)",patch,7_SZUF_LT
少年宫,"(55, 0, 0)",patch,7_SZUF_LT
少年宫,"(59, 0, 0)",patch,7_SZUF_LT
购物公园,"(59, 0, 0)",patch,7_SZUF_LT
购物公园站,"(59, 0, 0)",patch,7_SZUF_LT
高峰,"(71, 0, 0)",patch,7_SZUF_LT
购物公园,"(73, 0, 0)",patch,7_SZUF_LT
购物公园站,"(73, 0, 0)",patch,7_SZUF_LT
世界之窗,"(75, 0, 0)",patch,7_SZUF_LT
购物公园,"(75, 0, 0)",patch,7_SZUF_LT
购物公园站,"(75, 0, 0)",patch,7_SZUF_LT
购物公园,"(89, 0, 0)",patch,7_SZUF_LT
购物公园站,"(89, 0, 0)",patch,7_SZUF_LT
购物公园,"(90, 0, 0)",patch,7_SZUF_LT
购物公园,"(91, 0, 0)",patch,7_SZUF_LT
购物公园站,"(91, 0, 0)",patch,7_SZUF_LT
购物公园,"(92, 0, 0)",patch,7_SZUF_LT
华侨城,"(97, 0, 0)",patch,7_SZUF_LT
华侨城,"(98, 0, 0)",patch,7_SZUF_LT
华侨城,"(99, 0, 0)",patch,7_SZUF_LT
购物公园,"(99, 0, 0)",patch,7_SZUF_LT
高峰,"(105, 0, 0)",patch,7_SZUF_LT
高峰,"(109, 0, 0)",patch,7_SZUF_LT
购物公园,"(115, 0, 0)",patch,7_SZUF_LT
高峰,"(115, 0, 0)",patch,7_SZUF_LT
购物公园,"(128, 0, 0)",patch,7_SZUF_LT
大和,"(142, 0, 0)",patch,7_SZUF_LT
世界之窗,"(151, 0, 0)",patch,7_SZUF_LT
翻身站,"(153, 0, 0)",patch,7_SZUF_LT
翻身站,"(155, 0, 0)",patch,7_SZUF_LT
购物公园,"(161, 0, 0)",patch,7_SZUF_LT
购物公园,"(169, 0, 0)",patch,7_SZUF_LT
购物公园,"(171, 0, 0)",patch,7_SZUF_LT
购物公园,"(173, 0, 0)",patch,7_SZUF_LT
机场,"(175, 0, 0)",patch,7_SZUF_LT
购物公园,"(175, 0, 0)",patch,7_SZUF_LT
东部,"(185, 0, 0)",patch,7_SZUF_LT
东部华侨城,"(185, 0, 0)",patch,7_SZUF_LT
华侨城,"(185, 0, 0)",patch,7_SZUF_LT
机场,"(187, 0, 0)",patch,7_SZUF_LT
世界之窗,"(188, 0, 0)",patch,7_SZUF_LT
世界之窗,"(189, 0, 0)",patch,7_SZUF_LT
世界之窗站,"(189, 0, 0)",patch,7_SZUF_LT
高峰,"(189, 0, 0)",patch,7_SZUF_LT
高峰,"(194, 0, 0)",patch,7_SZUF_LT
