location_name,value,method,filename
和二,"(15, 0, 0)",patch,7_SZUF_坚
建设,"(23, 0, 0)",patch,7_SZUF_坚
中心区,"(24, 0, 0)",patch,7_SZUF_坚
中心区,"(25, 0, 0)",patch,7_SZUF_坚
Cocopark,"(27, 0, 0)",patch,7_SZUF_坚
会展中心,"(27, 0, 0)",patch,7_SZUF_坚
图书馆,"(27, 0, 0)",patch,7_SZUF_坚
泰然工业区,"(27, 0, 0)",patch,7_SZUF_坚
会展中心,"(31, 0, 0)",patch,7_SZUF_坚
会展中心站,"(31, 0, 0)",patch,7_SZUF_坚
大剧院,"(31, 0, 0)",patch,7_SZUF_坚
机场,"(31, 0, 0)",patch,7_SZUF_坚
会展中心,"(32, 0, 0)",patch,7_SZUF_坚
会展中心站,"(32, 0, 0)",patch,7_SZUF_坚
购物公园,"(32, 0, 0)",patch,7_SZUF_坚
会展中心,"(34, 0, 0)",patch,7_SZUF_坚
购物公园,"(34, 0, 0)",patch,7_SZUF_坚
地铁商城,"(35, 0, 0)",patch,7_SZUF_坚
科学馆,"(39, 0, 0)",patch,7_SZUF_坚
科学馆站,"(39, 0, 0)",patch,7_SZUF_坚
会展中心,"(41, 0, 0)",patch,7_SZUF_坚
大剧院,"(41, 0, 0)",patch,7_SZUF_坚
大剧院站,"(41, 0, 0)",patch,7_SZUF_坚
科学馆,"(41, 0, 0)",patch,7_SZUF_坚
新华宾馆站,"(43, 0, 0)",patch,7_SZUF_坚
科学馆,"(43, 0, 0)",patch,7_SZUF_坚
科学馆站,"(43, 0, 0)",patch,7_SZUF_坚
地铁商城,"(57, 0, 0)",patch,7_SZUF_坚
高峰,"(67, 0, 0)",patch,7_SZUF_坚
万科金色家园,"(71, 0, 0)",patch,7_SZUF_坚
建设,"(71, 0, 0)",patch,7_SZUF_坚
景田站,"(71, 0, 0)",patch,7_SZUF_坚
龙光玖钻,"(73, 0, 0)",patch,7_SZUF_坚
会展中心,"(75, 0, 0)",patch,7_SZUF_坚
会展中心站,"(75, 0, 0)",patch,7_SZUF_坚
大剧院,"(75, 0, 0)",patch,7_SZUF_坚
大剧院站,"(75, 0, 0)",patch,7_SZUF_坚
益田假日,"(75, 0, 0)",patch,7_SZUF_坚
会展中心,"(76, 0, 0)",patch,7_SZUF_坚
大剧院,"(76, 0, 0)",patch,7_SZUF_坚
市民中心,"(77, 0, 0)",patch,7_SZUF_坚
市民中心站,"(77, 0, 0)",patch,7_SZUF_坚
中心区,"(85, 0, 0)",patch,7_SZUF_坚
图书馆,"(86, 0, 0)",patch,7_SZUF_坚
大学城,"(86, 0, 0)",patch,7_SZUF_坚
新和,"(86, 0, 0)",patch,7_SZUF_坚
中心区,"(87, 0, 0)",patch,7_SZUF_坚
市中心,"(87, 0, 0)",patch,7_SZUF_坚
中心区,"(88, 0, 0)",patch,7_SZUF_坚
市中心,"(88, 0, 0)",patch,7_SZUF_坚
市中心区,"(88, 0, 0)",patch,7_SZUF_坚
机场,"(89, 0, 0)",patch,7_SZUF_坚
市中心,"(90, 0, 0)",patch,7_SZUF_坚
世界之窗,"(94, 0, 0)",patch,7_SZUF_坚
小学,"(94, 0, 0)",patch,7_SZUF_坚
楼下,"(94, 0, 0)",patch,7_SZUF_坚
海上世界,"(94, 0, 0)",patch,7_SZUF_坚
燕南地铁站,"(94, 0, 0)",patch,7_SZUF_坚
科学馆,"(94, 0, 0)",patch,7_SZUF_坚
科学馆站,"(94, 0, 0)",patch,7_SZUF_坚
通新岭站,"(94, 0, 0)",patch,7_SZUF_坚
建设,"(96, 0, 0)",patch,7_SZUF_坚
科学馆,"(96, 0, 0)",patch,7_SZUF_坚
科学馆站,"(96, 0, 0)",patch,7_SZUF_坚
小学,"(97, 0, 0)",patch,7_SZUF_坚
幼儿园,"(97, 0, 0)",patch,7_SZUF_坚
燕南地铁站,"(97, 0, 0)",patch,7_SZUF_坚
小学,"(98, 0, 0)",patch,7_SZUF_坚
幼儿园,"(98, 0, 0)",patch,7_SZUF_坚
小学,"(99, 0, 0)",patch,7_SZUF_坚
欢乐海岸,"(101, 0, 0)",patch,7_SZUF_坚
红树林站,"(101, 0, 0)",patch,7_SZUF_坚
大剧院,"(102, 0, 0)",patch,7_SZUF_坚
市民中心,"(106, 0, 0)",patch,7_SZUF_坚
市民中心站,"(106, 0, 0)",patch,7_SZUF_坚
会展中心,"(112, 0, 0)",patch,7_SZUF_坚
高峰,"(116, 0, 0)",patch,7_SZUF_坚
