location_name,value,method,filename
小学,"(0, 0, 0)",patch,7_SZUF_大花
小学,"(1, 0, 0)",patch,7_SZUF_大花
小学,"(3, 0, 0)",patch,7_SZUF_大花
购物公园,"(9, 0, 0)",patch,7_SZUF_大花
购物公园站,"(9, 0, 0)",patch,7_SZUF_大花
红岭站,"(32, 0, 0)",patch,7_SZUF_大花
7号线,"(38, 0, 0)",patch,7_SZUF_大花
楼下,"(38, 0, 0)",patch,7_SZUF_大花
黄贝,"(38, 0, 0)",patch,7_SZUF_大花
黄贝岭站,"(38, 0, 0)",patch,7_SZUF_大花
购物公园,"(40, 0, 0)",patch,7_SZUF_大花
购物公园站,"(40, 0, 0)",patch,7_SZUF_大花
东部,"(44, 0, 0)",patch,7_SZUF_大花
东部华侨城,"(44, 0, 0)",patch,7_SZUF_大花
华侨城,"(44, 0, 0)",patch,7_SZUF_大花
楼下,"(60, 0, 0)",patch,7_SZUF_大花
市中心,"(86, 0, 0)",patch,7_SZUF_大花
会展中心,"(91, 0, 0)",patch,7_SZUF_大花
市民中心,"(91, 0, 0)",patch,7_SZUF_大花
购物公园,"(91, 0, 0)",patch,7_SZUF_大花
购物公园,"(93, 0, 0)",patch,7_SZUF_大花
机场,"(95, 0, 0)",patch,7_SZUF_大花
高峰,"(99, 0, 0)",patch,7_SZUF_大花
高峰,"(103, 0, 0)",patch,7_SZUF_大花
11号线,"(105, 0, 0)",patch,7_SZUF_大花
1号线,"(105, 0, 0)",patch,7_SZUF_大花
黄贝,"(107, 0, 0)",patch,7_SZUF_大花
建设,"(121, 0, 0)",patch,7_SZUF_大花
机场,"(121, 0, 0)",patch,7_SZUF_大花
东部,"(122, 0, 0)",patch,7_SZUF_大花
东部华侨城,"(122, 0, 0)",patch,7_SZUF_大花
华侨城,"(122, 0, 0)",patch,7_SZUF_大花
东部,"(123, 0, 0)",patch,7_SZUF_大花
东部华侨城,"(123, 0, 0)",patch,7_SZUF_大花
华侨城,"(123, 0, 0)",patch,7_SZUF_大花
11号线,"(125, 0, 0)",patch,7_SZUF_大花
1号线,"(125, 0, 0)",patch,7_SZUF_大花
华为站,"(127, 0, 0)",patch,7_SZUF_大花
华侨城,"(127, 0, 0)",patch,7_SZUF_大花
大沙河,"(127, 0, 0)",patch,7_SZUF_大花
新开,"(127, 0, 0)",patch,7_SZUF_大花
翻身站,"(129, 0, 0)",patch,7_SZUF_大花
高峰,"(141, 0, 0)",patch,7_SZUF_大花
11号线,"(146, 0, 0)",patch,7_SZUF_大花
1号线,"(146, 0, 0)",patch,7_SZUF_大花
4号线,"(146, 0, 0)",patch,7_SZUF_大花
14号线,"(147, 0, 0)",patch,7_SZUF_大花
3号线,"(147, 0, 0)",patch,7_SZUF_大花
4号线,"(147, 0, 0)",patch,7_SZUF_大花
高峰,"(149, 0, 0)",patch,7_SZUF_大花
中心区,"(151, 0, 0)",patch,7_SZUF_大花
11号线,"(153, 0, 0)",patch,7_SZUF_大花
1号线,"(153, 0, 0)",patch,7_SZUF_大花
铁路公园站,"(153, 0, 0)",patch,7_SZUF_大花
