location_name,value,method,filename
莲花街道,"(1, 0, 0)",patch,8_hkust_wdq_q
莲花街道,"(7, 0, 0)",patch,8_hkust_wdq_q
莲花街道,"(15, 0, 0)",patch,8_hkust_wdq_q
楼下,"(22, 0, 0)",patch,8_hkust_wdq_q
11号线,"(31, 0, 0)",patch,8_hkust_wdq_q
1号线,"(31, 0, 0)",patch,8_hkust_wdq_q
11号线,"(33, 0, 0)",patch,8_hkust_wdq_q
1号线,"(33, 0, 0)",patch,8_hkust_wdq_q
莲花街道,"(33, 0, 0)",patch,8_hkust_wdq_q
大小梅沙,"(35, 0, 0)",patch,8_hkust_wdq_q
小梅沙,"(35, 0, 0)",patch,8_hkust_wdq_q
1号线,"(41, 0, 0)",patch,8_hkust_wdq_q
中心区,"(41, 0, 0)",patch,8_hkust_wdq_q
福田中心,"(41, 0, 0)",patch,8_hkust_wdq_q
16号线,"(44, 0, 0)",patch,8_hkust_wdq_q
中村,"(53, 0, 0)",patch,8_hkust_wdq_q
机场,"(70, 0, 0)",patch,8_hkust_wdq_q
机场,"(71, 0, 0)",patch,8_hkust_wdq_q
农林站,"(74, 0, 0)",patch,8_hkust_wdq_q
11号线,"(76, 0, 0)",patch,8_hkust_wdq_q
1号线,"(76, 0, 0)",patch,8_hkust_wdq_q
7号线,"(76, 0, 0)",patch,8_hkust_wdq_q
农林站,"(76, 0, 0)",patch,8_hkust_wdq_q
机场,"(76, 0, 0)",patch,8_hkust_wdq_q
机场,"(107, 0, 0)",patch,8_hkust_wdq_q
中心区,"(111, 0, 0)",patch,8_hkust_wdq_q
