location_name,value,method,filename
小学,"(1, 0, 0)",patch,8_hkust_wdq_yyq
招商街道,"(11, 0, 0)",patch,8_hkust_wdq_yyq
招商街道,"(13, 0, 0)",patch,8_hkust_wdq_yyq
花园,"(13, 0, 0)",patch,8_hkust_wdq_yyq
小学,"(15, 0, 0)",patch,8_hkust_wdq_yyq
小学,"(16, 0, 0)",patch,8_hkust_wdq_yyq
小学,"(17, 0, 0)",patch,8_hkust_wdq_yyq
招商街道,"(17, 0, 0)",patch,8_hkust_wdq_yyq
华侨城,"(32, 0, 0)",patch,8_hkust_wdq_yyq
关口,"(50, 0, 0)",patch,8_hkust_wdq_yyq
建设,"(50, 0, 0)",patch,8_hkust_wdq_yyq
建设,"(51, 0, 0)",patch,8_hkust_wdq_yyq
珠江口,"(51, 0, 0)",patch,8_hkust_wdq_yyq
11号线,"(82, 0, 0)",patch,8_hkust_wdq_yyq
14号线,"(82, 0, 0)",patch,8_hkust_wdq_yyq
16号线,"(82, 0, 0)",patch,8_hkust_wdq_yyq
1号线,"(82, 0, 0)",patch,8_hkust_wdq_yyq
4号线,"(82, 0, 0)",patch,8_hkust_wdq_yyq
市中心,"(82, 0, 0)",patch,8_hkust_wdq_yyq
11号线,"(84, 0, 0)",patch,8_hkust_wdq_yyq
1号线,"(84, 0, 0)",patch,8_hkust_wdq_yyq
新建,"(84, 0, 0)",patch,8_hkust_wdq_yyq
中心区,"(85, 0, 0)",patch,8_hkust_wdq_yyq
机场,"(88, 0, 0)",patch,8_hkust_wdq_yyq
图书馆,"(93, 0, 0)",patch,8_hkust_wdq_yyq
少年宫,"(93, 0, 0)",patch,8_hkust_wdq_yyq
建设,"(93, 0, 0)",patch,8_hkust_wdq_yyq
新建,"(93, 0, 0)",patch,8_hkust_wdq_yyq
建新,"(101, 0, 0)",patch,8_hkust_wdq_yyq
新建,"(101, 0, 0)",patch,8_hkust_wdq_yyq
1号线,"(111, 0, 0)",patch,8_hkust_wdq_yyq
市民中心,"(113, 0, 0)",patch,8_hkust_wdq_yyq
11号线,"(121, 0, 0)",patch,8_hkust_wdq_yyq
1号线,"(121, 0, 0)",patch,8_hkust_wdq_yyq
市民中心,"(133, 0, 0)",patch,8_hkust_wdq_yyq
4号线,"(135, 0, 0)",patch,8_hkust_wdq_yyq
机场,"(136, 0, 0)",patch,8_hkust_wdq_yyq
11号线,"(142, 0, 0)",patch,8_hkust_wdq_yyq
1号线,"(142, 0, 0)",patch,8_hkust_wdq_yyq
3号线,"(142, 0, 0)",patch,8_hkust_wdq_yyq
机场,"(142, 0, 0)",patch,8_hkust_wdq_yyq
3号线,"(143, 0, 0)",patch,8_hkust_wdq_yyq
11号线,"(144, 0, 0)",patch,8_hkust_wdq_yyq
1号线,"(144, 0, 0)",patch,8_hkust_wdq_yyq
3号线,"(144, 0, 0)",patch,8_hkust_wdq_yyq
新和,"(205, 0, 0)",patch,8_hkust_wdq_yyq
市民中心,"(215, 0, 0)",patch,8_hkust_wdq_yyq
西南,"(217, 0, 0)",patch,8_hkust_wdq_yyq
深外高中站,"(222, 0, 0)",patch,8_hkust_wdq_yyq
西部,"(229, 0, 0)",patch,8_hkust_wdq_yyq
