location_name,value,method,filename
南科大,"(6, 0, 0)",patch,9_SZUCJH_小贾
后亭站,"(45, 0, 0)",patch,9_SZUCJH_小贾
后亭站,"(47, 0, 0)",patch,9_SZUCJH_小贾
4号线,"(51, 0, 0)",patch,9_SZUCJH_小贾
儿童医院,"(51, 0, 0)",patch,9_SZUCJH_小贾
中心区,"(68, 0, 0)",patch,9_SZUCJH_小贾
4号线,"(89, 0, 0)",patch,9_SZUCJH_小贾
4号线,"(92, 0, 0)",patch,9_SZUCJH_小贾
4号线,"(100, 0, 0)",patch,9_SZUCJH_小贾
1号线,"(101, 0, 0)",patch,9_SZUCJH_小贾
4号线,"(103, 0, 0)",patch,9_SZUCJH_小贾
楼下,"(146, 0, 0)",patch,9_SZUCJH_小贾
3号线,"(169, 0, 0)",patch,9_SZUCJH_小贾
4号线,"(169, 0, 0)",patch,9_SZUCJH_小贾
市民中心,"(172, 0, 0)",patch,9_SZUCJH_小贾
图书馆,"(175, 0, 0)",patch,9_SZUCJH_小贾
市民中心,"(175, 0, 0)",patch,9_SZUCJH_小贾
少年宫,"(176, 0, 0)",patch,9_SZUCJH_小贾
少年宫,"(177, 0, 0)",patch,9_SZUCJH_小贾
市民中心,"(177, 0, 0)",patch,9_SZUCJH_小贾
4号线,"(189, 0, 0)",patch,9_SZUCJH_小贾
