location_name,value,method,filename
机场,"(34, 0, 0)",patch,9_SZUCJH_小陈
机场,"(35, 0, 0)",patch,9_SZUCJH_小陈
建设,"(45, 0, 0)",patch,9_SZUCJH_小陈
百花,"(51, 0, 0)",patch,9_SZUCJH_小陈
建设,"(53, 0, 0)",patch,9_SZUCJH_小陈
市民中心,"(55, 0, 0)",patch,9_SZUCJH_小陈
市民中心,"(57, 0, 0)",patch,9_SZUCJH_小陈
新建,"(57, 0, 0)",patch,9_SZUCJH_小陈
建设,"(70, 0, 0)",patch,9_SZUCJH_小陈
北一路,"(76, 0, 0)",patch,9_SZUCJH_小陈
建设,"(76, 0, 0)",patch,9_SZUCJH_小陈
1号线,"(80, 0, 0)",patch,9_SZUCJH_小陈
世界之窗,"(101, 0, 0)",patch,9_SZUCJH_小陈
4号线,"(127, 0, 0)",patch,9_SZUCJH_小陈
市民中心,"(148, 0, 0)",patch,9_SZUCJH_小陈
4号线,"(154, 0, 0)",patch,9_SZUCJH_小陈
松元厦站,"(154, 0, 0)",patch,9_SZUCJH_小陈
建设,"(182, 0, 0)",patch,9_SZUCJH_小陈
建设,"(183, 0, 0)",patch,9_SZUCJH_小陈
