location_name,value,method,filename
建设,"(11, 0, 0)",patch,9_SZUCJH_老陈
厦村,"(18, 0, 0)",patch,9_SZUCJH_老陈
富士康,"(18, 0, 0)",patch,9_SZUCJH_老陈
建设,"(18, 0, 0)",patch,9_SZUCJH_老陈
新生,"(18, 0, 0)",patch,9_SZUCJH_老陈
福龙快递路,"(18, 0, 0)",patch,9_SZUCJH_老陈
世界之窗,"(30, 0, 0)",patch,9_SZUCJH_老陈
罗宝线,"(36, 0, 0)",patch,9_SZUCJH_老陈
上岗,"(38, 0, 0)",patch,9_SZUCJH_老陈
富士康,"(38, 0, 0)",patch,9_SZUCJH_老陈
建设,"(38, 0, 0)",patch,9_SZUCJH_老陈
新生,"(38, 0, 0)",patch,9_SZUCJH_老陈
罗宝线,"(38, 0, 0)",patch,9_SZUCJH_老陈
市中心,"(46, 0, 0)",patch,9_SZUCJH_老陈
市民中心,"(46, 0, 0)",patch,9_SZUCJH_老陈
建设,"(54, 0, 0)",patch,9_SZUCJH_老陈
1号线,"(56, 0, 0)",patch,9_SZUCJH_老陈
建设,"(56, 0, 0)",patch,9_SZUCJH_老陈
罗宝线,"(56, 0, 0)",patch,9_SZUCJH_老陈
福州南站,"(63, 0, 0)",patch,9_SZUCJH_老陈
建设,"(67, 0, 0)",patch,9_SZUCJH_老陈
4号线,"(68, 0, 0)",patch,9_SZUCJH_老陈
7号线,"(68, 0, 0)",patch,9_SZUCJH_老陈
新开,"(71, 0, 0)",patch,9_SZUCJH_老陈
中心公园,"(101, 0, 0)",patch,9_SZUCJH_老陈
建设,"(103, 0, 0)",patch,9_SZUCJH_老陈
建设,"(113, 0, 0)",patch,9_SZUCJH_老陈
