location_name,type,method
罗湖站,1,subway
国贸站,1,subway
老街站,1,subway
大剧院站,1,subway
科学馆站,1,subway
华强路站,1,subway
岗厦站,1,subway
会展中心站,1,subway
购物公园站,1,subway
香蜜湖站,1,subway
竹子林站,1,subway
侨城东站,1,subway
华侨城站,1,subway
世界之窗站,1,subway
白石洲站,1,subway
高新园站,1,subway
深大站,1,subway
桃园站,1,subway
大新站,1,subway
鲤鱼门站,1,subway
宝体站,1,subway
宝安中心站,1,subway
坪洲站,1,subway
西乡站,1,subway
固戌站,1,subway
后瑞站,1,subway
机场东站,1,subway
赤湾站,2,subway
海上世界站,2,subway
蛇口港站,2,subway
水湾站,2,subway
东角头站,2,subway
湾厦站,2,subway
海月站,2,subway
登良站,2,subway
科宛站,2,subway
红树湾站,2,subway
侨城北站,2,subway
世界之窗站,2,subway
深康站,2,subway
安托山站,2,subway
侨香站,2,subway
香蜜站,2,subway
香梅北站,2,subway
影田站,2,subway
莲花西站,2,subway
福田站,2,subway
市民中心站,2,subway
岗厦北站,2,subway
大剧院站,2,subway
华强北站,2,subway
燕南站,2,subway
湖贝站,2,subway
新秀站,2,subway
黄贝岭站,2,subway
莲塘口岸站,2,subway
仙湖路站,2,subway
莲塘站,2,subway
福保站,3,subway
益田站,3,subway
石厦站,3,subway
购物公园站,3,subway
福田站,3,subway
少年宫站,3,subway
莲花村站,3,subway
华新站,3,subway
通新岭站,3,subway
红岭站,3,subway
老街站,3,subway
晒布站,3,subway
翠竹站,3,subway
田贝站,3,subway
水贝站,3,subway
草埔站,3,subway
布吉站,3,subway
木棉湾站,3,subway
大芬站,3,subway
丹竹头站,3,subway
六约站,3,subway
塘坑站,3,subway
横岗站,3,subway
永湖站,3,subway
荷坳站,3,subway
大运站,3,subway
爱联站,3,subway
吉祥站,3,subway
龙城广场站,3,subway
南联站,3,subway
双龙站,3,subway
牛湖站,4,subway
观澜湖站,4,subway
松元厦站,4,subway
观澜站,4,subway
长湖站,4,subway
茜坑站,4,subway
竹村站,4,subway
清湖北站,4,subway
清湖站,4,subway
龙华站,4,subway
龙胜站,4,subway
上塘站,4,subway
红山站,4,subway
深圳北站站,4,subway
白石龙站,4,subway
民乐站,4,subway
上梅林站,4,subway
莲花北站,4,subway
少年宫站,4,subway
市民中心站,4,subway
会展中心站,4,subway
福民站,4,subway
福田口岸站,4,subway
黄贝岭站,5,subway
怡景站,5,subway
太安站,5,subway
布心站,5,subway
百鸽笼站,5,subway
布吉站,5,subway
长龙站,5,subway
下水径站,5,subway
上水径站,5,subway
杨美站,5,subway
坂田站,5,subway
五和站,5,subway
民治站,5,subway
深圳北站站,5,subway
长岭陂站,5,subway
塘朗站,5,subway
大学城站,5,subway
西丽站,5,subway
留仙洞站,5,subway
兴东站,5,subway
洪浪北站,5,subway
灵芝站,5,subway
翻身站,5,subway
宝安中心站,5,subway
宝华站,5,subway
临海站,5,subway
前海湾站,5,subway
桂湾站,5,subway
前湾站,5,subway
前湾公园站,5,subway
妈湾站,5,subway
铁路公园站,5,subway
荔湾站,5,subway
赤湾站,5,subway
科学馆站,6,subway
通新岭站,6,subway
体育中心站,6,subway
八卦岭站,6,subway
银湖站,6,subway
翰岭站,6,subway
梅林关站,6,subway
深圳北站站,6,subway
红山站,6,subway
上芬站,6,subway
元芬站,6,subway
阳台山东站,6,subway
官田站,6,subway
上屋站,6,subway
长圳站,6,subway
凤凰城站,6,subway
光明大街站,6,subway
光明站,6,subway
科学公园站,6,subway
楼村站,6,subway
红花山站,6,subway
公明广场站,6,subway
合水口站,6,subway
薯田埔站,6,subway
松岗公园站,6,subway
溪头站,6,subway
松岗站,6,subway
西丽湖站,7,subway
西丽站,7,subway
茶光站,7,subway
珠光站,7,subway
龙井站,7,subway
桃源村站,7,subway
深云站,7,subway
安托山站,7,subway
农林站,7,subway
车公庙站,7,subway
上沙站,7,subway
沙尾站,7,subway
石厦站,7,subway
皇岗村站,7,subway
福民站,7,subway
皇岗口岸站,7,subway
福邻站,7,subway
赤尾站,7,subway
华强南站,7,subway
华强北站,7,subway
华新站,7,subway
黄木岗站,7,subway
八卦岭站,7,subway
红岭北站,7,subway
笋岗站,7,subway
洪湖站,7,subway
田贝站,7,subway
太安站,7,subway
梧桐山南站,8,subway
沙头角站,8,subway
海山站,8,subway
盐田港西站,8,subway
深外高中站,8,subway
盐田路站,8,subway
鸿安围站,8,subway
盐田墟站,8,subway
大梅沙站,8,subway
小梅沙站,8,subway
前湾站,9,subway
梦海站,9,subway
怡海站,9,subway
荔林站,9,subway
南油西站,9,subway
南油站,9,subway
南山书城站,9,subway
深大南站,9,subway
粤海门站,9,subway
高新南站,9,subway
红树湾南站,9,subway
深湾站,9,subway
深圳湾公园站,9,subway
下沙站,9,subway
车公庙站,9,subway
香梅站,9,subway
景田站,9,subway
梅景站,9,subway
下梅林站,9,subway
梅村站,9,subway
上梅林站,9,subway
孖岭站,9,subway
银湖站,9,subway
泥岗站,9,subway
红岭北站,9,subway
园岭站,9,subway
红岭站,9,subway
红岭南站,9,subway
鹿丹村站,9,subway
人民南站,9,subway
向西村站,9,subway
文锦站,9,subway
福田口岸站,10,subway
福民站,10,subway
岗厦站,10,subway
岗厦北站,10,subway
莲花村站,10,subway
冬瓜岭站,10,subway
孖岭站,10,subway
雅宝站,10,subway
南坑站,10,subway
光雅园站,10,subway
五和站,10,subway
坂田北站,10,subway
贝尔路站,10,subway
华为站,10,subway
岗头站,10,subway
雪象站,10,subway
甘坑站,10,subway
凉帽山站,10,subway
上李朗站,10,subway
木古站,10,subway
华南城站,10,subway
禾花站,10,subway
平湖站,10,subway
双拥街站,10,subway
岗厦北站,11,subway
福田站,11,subway
车公庙站,11,subway
红树湾南站,11,subway
后海站,11,subway
南山站,11,subway
前海湾站,11,subway
宝安站,11,subway
碧海湾站,11,subway
机场站,11,subway
机场北站,11,subway
福永站,11,subway
桥头站,11,subway
塘尾站,11,subway
马安山站,11,subway
沙井站,11,subway
后亭站,11,subway
松岗站,11,subway
碧头站,11,subway
岗厦北站,14,subway
黄木岗站,14,subway
罗湖北站,14,subway
布吉站,14,subway
石芽岭站,14,subway
六约北站,14,subway
四联站,14,subway
坳背站,14,subway
大运站,14,subway
嶂背站,14,subway
南约站,14,subway
宝龙站,14,subway
锦龙站,14,subway
坪山围站,14,subway
坪山广场站,14,subway
坪山中心站,14,subway
坑梓站,14,subway
沙田站,14,subway
左炮台东站,12,subway
太子湾站,12,subway
海上世界站,12,subway
花果山站,12,subway
四海站,12,subway
南油站,12,subway
南光站,12,subway
南山站,12,subway
桃园站,12,subway
南头古城站,12,subway
中山公园站,12,subway
同乐南站,12,subway
新安公园站,12,subway
灵芝站,12,subway
上川站,12,subway
流塘站,12,subway
宝安客运站站,12,subway
宝田一路站,12,subway
平峦山站,12,subway
西乡桃源站,12,subway
钟屋南站,12,subway
黄田站,12,subway
兴围站,12,subway
机场东站,12,subway
福围站,12,subway
怀德站,12,subway
福永站,12,subway
桥头西站,12,subway
福海西站,12,subway
国展站,12,subway
国展北站,12,subway
海上田园南站站,12,subway
海上田园东站,12,subway
光明站,6（支线）,subway
圳美站,6（支线）,subway
