location_name,value,count,filename
上沙,"[(70, 10, 11)]",1,10_SZTU-lx_何爷爷
东莞,"[(262, 50, 51)]",1,10_SZTU-lx_何爷爷
东门,"[(63, 6, 7), (211, 47, 48), (212, 3, 4), (227, 30, 31), (306, 9, 10)]",5,10_SZTU-lx_何爷爷
东门老街,"[(8, 6, 8), (8, 9, 11)]",2,10_SZTU-lx_何爷爷
丹竹头,"[(70, 8, 9)]",1,10_SZTU-lx_何爷爷
京基大厦,"[(114, 7, 9)]",1,10_SZTU-lx_何爷爷
京基大楼,"[(112, 26, 28)]",1,10_SZTU-lx_何爷爷
光明,"[(252, 49, 50)]",1,10_SZTU-lx_何爷爷
前海,"[(120, 3, 4), (121, 11, 12), (186, 5, 6), (215, 4, 5)]",4,10_SZTU-lx_何爷爷
北京,"[(337, 20, 21)]",1,10_SZTU-lx_何爷爷
华强北,"[(227, 35, 36), (227, 42, 43), (312, 15, 16)]",3,10_SZTU-lx_何爷爷
南山,"[(120, 1, 2), (121, 13, 14), (121, 36, 37), (135, 9, 10), (158, 26, 27), (176, 2, 3), (177, 3, 4), (179, 3, 4), (187, 4, 5), (188, 3, 4), (188, 13, 14), (192, 17, 18), (252, 41, 42)]",13,10_SZTU-lx_何爷爷
南山区,"[(190, 27, 28)]",1,10_SZTU-lx_何爷爷
南湖路,"[(63, 3, 4)]",1,10_SZTU-lx_何爷爷
后海,"[(176, 6, 7)]",1,10_SZTU-lx_何爷爷
地王大厦,"[(114, 3, 5)]",1,10_SZTU-lx_何爷爷
坪山,"[(138, 25, 26), (138, 42, 43), (145, 5, 6), (146, 3, 4)]",4,10_SZTU-lx_何爷爷
大芬,"[(227, 21, 22), (270, 42, 43)]",2,10_SZTU-lx_何爷爷
太白路,"[(65, 20, 21)]",1,10_SZTU-lx_何爷爷
宝安,"[(159, 9, 10), (159, 11, 12), (198, 15, 16), (198, 17, 18), (200, 3, 4), (200, 24, 25), (200, 33, 34), (211, 43, 44), (252, 43, 44)]",9,10_SZTU-lx_何爷爷
宝安县,"[(41, 22, 23)]",1,10_SZTU-lx_何爷爷
宝安新区,"[(122, 0, 2)]",1,10_SZTU-lx_何爷爷
宝安路,"[(106, 40, 41)]",1,10_SZTU-lx_何爷爷
岗厦,"[(142, 9, 10)]",1,10_SZTU-lx_何爷爷
岗厦北,"[(138, 23, 24)]",1,10_SZTU-lx_何爷爷
布吉,"[(13, 8, 9), (69, 1, 2), (69, 4, 5), (70, 1, 2), (70, 7, 8), (146, 15, 16), (231, 11, 12), (308, 4, 5), (312, 11, 12)]",9,10_SZTU-lx_何爷爷
布澜路,"[(14, 8, 9), (14, 13, 14), (19, 28, 29)]",3,10_SZTU-lx_何爷爷
广场北街,"[(19, 4, 6)]",1,10_SZTU-lx_何爷爷
广州,"[(331, 6, 7), (331, 8, 9), (332, 4, 5), (334, 3, 4), (337, 3, 4), (338, 7, 8), (343, 3, 4)]",7,10_SZTU-lx_何爷爷
惠州,"[(138, 50, 51)]",1,10_SZTU-lx_何爷爷
木棉湾,"[(270, 39, 40)]",1,10_SZTU-lx_何爷爷
木棉湾站,"[(242, 5, 6), (242, 9, 10)]",2,10_SZTU-lx_何爷爷
松园,"[(19, 16, 17)]",1,10_SZTU-lx_何爷爷
松园西街,"[(19, 20, 22)]",1,10_SZTU-lx_何爷爷
桂园,"[(63, 4, 5), (63, 15, 16)]",2,10_SZTU-lx_何爷爷
梅沙,"[(354, 70, 71)]",1,10_SZTU-lx_何爷爷
梧桐山,"[(354, 72, 73)]",1,10_SZTU-lx_何爷爷
沙嘴,"[(11, 3, 4), (12, 3, 4), (57, 3, 4), (58, 3, 4), (59, 3, 4), (67, 6, 7), (67, 13, 14), (83, 34, 35), (83, 56, 57), (87, 7, 8), (192, 15, 16)]",11,10_SZTU-lx_何爷爷
沙嘴路,"[(10, 12, 13)]",1,10_SZTU-lx_何爷爷
沙田,"[(138, 27, 28)]",1,10_SZTU-lx_何爷爷
沙田站,"[(140, 24, 25)]",1,10_SZTU-lx_何爷爷
泥巴路,"[(106, 44, 45)]",1,10_SZTU-lx_何爷爷
深南路,"[(354, 20, 21)]",1,10_SZTU-lx_何爷爷
深圳,"[(1, 12, 13), (8, 3, 4), (17, 7, 8), (18, 3, 4), (26, 12, 13), (102, 17, 18), (104, 6, 7), (105, 13, 14), (114, 48, 49), (117, 8, 9), (142, 14, 15), (154, 5, 6), (164, 6, 7), (164, 8, 9), (165, 13, 14), (195, 8, 9), (210, 1, 2), (214, 19, 20), (250, 13, 14), (251, 4, 5), (252, 6, 7), (258, 20, 21), (259, 4, 5), (262, 14, 15), (262, 36, 37), (263, 9, 10), (263, 18, 19), (268, 5, 6), (302, 8, 9), (314, 7, 8), (330, 7, 8), (335, 4, 5), (338, 5, 6), (342, 7, 8), (345, 5, 6), (348, 15, 16), (351, 6, 7), (352, 3, 4), (354, 45, 46), (354, 80, 81), (355, 2, 3), (360, 5, 6), (365, 17, 18), (368, 4, 5), (368, 22, 23)]",45,10_SZTU-lx_何爷爷
深圳北站,"[(315, 0, 2)]",1,10_SZTU-lx_何爷爷
深圳市,"[(5, 5, 6)]",1,10_SZTU-lx_何爷爷
煤场路,"[(106, 42, 43)]",1,10_SZTU-lx_何爷爷
盐田,"[(252, 47, 48)]",1,10_SZTU-lx_何爷爷
盐田港,"[(121, 0, 1)]",1,10_SZTU-lx_何爷爷
石芽岭,"[(70, 4, 5), (140, 20, 21), (230, 4, 5), (231, 3, 4)]",4,10_SZTU-lx_何爷爷
石芽岭地铁站,"[(21, 0, 2)]",1,10_SZTU-lx_何爷爷
福田,"[(39, 23, 24), (62, 15, 16), (65, 27, 28), (65, 35, 36), (84, 14, 15), (121, 34, 35), (138, 21, 22), (138, 36, 37), (165, 25, 26), (175, 3, 4), (188, 9, 10), (192, 13, 14), (198, 11, 12), (212, 5, 6), (212, 7, 8), (270, 33, 34)]",16,10_SZTU-lx_何爷爷
福田区,"[(5, 16, 17), (10, 11, 12), (198, 4, 5), (214, 15, 16)]",4,10_SZTU-lx_何爷爷
福田沙嘴,"[(84, 8, 9)]",1,10_SZTU-lx_何爷爷
站,"[(231, 4, 5)]",1,10_SZTU-lx_何爷爷
红岭,"[(48, 7, 8), (48, 18, 19), (48, 25, 26), (49, 10, 11), (52, 3, 4), (53, 10, 11), (54, 4, 5), (60, 5, 6), (61, 5, 6), (63, 8, 9), (63, 12, 13)]",11,10_SZTU-lx_何爷爷
红岭路,"[(8, 13, 14), (19, 14, 15), (19, 18, 19), (84, 3, 4)]",4,10_SZTU-lx_何爷爷
红树湾,"[(354, 66, 67)]",1,10_SZTU-lx_何爷爷
红桂路,"[(83, 6, 7), (106, 8, 9)]",2,10_SZTU-lx_何爷爷
罗湖,"[(6, 9, 10), (33, 8, 9), (36, 5, 6), (40, 8, 9), (41, 7, 8), (62, 11, 12), (63, 10, 11), (63, 24, 25), (65, 11, 12), (65, 15, 16), (83, 28, 29), (84, 12, 13), (93, 3, 4), (108, 10, 11), (112, 19, 20), (128, 5, 6), (129, 5, 6), (138, 38, 39), (166, 3, 4), (166, 9, 10), (166, 16, 17), (168, 3, 4), (188, 7, 8), (204, 5, 6), (204, 53, 54), (252, 39, 40), (270, 31, 32)]",27,10_SZTU-lx_何爷爷
罗湖区,"[(4, 2, 3), (196, 5, 6), (196, 14, 15)]",3,10_SZTU-lx_何爷爷
罗湖火车站,"[(130, 8, 10), (134, 44, 46), (158, 12, 14)]",3,10_SZTU-lx_何爷爷
老街,"[(48, 9, 10)]",1,10_SZTU-lx_何爷爷
莲塘,"[(35, 2, 3)]",1,10_SZTU-lx_何爷爷
蛇口,"[(180, 3, 4), (181, 3, 4), (215, 10, 11), (224, 3, 4), (225, 3, 4)]",5,10_SZTU-lx_何爷爷
赤湾港,"[(120, 15, 16), (181, 4, 5)]",2,10_SZTU-lx_何爷爷
龙岗,"[(13, 6, 7), (14, 7, 8), (138, 40, 41), (231, 38, 39), (231, 41, 42), (231, 50, 51), (252, 45, 46), (270, 29, 30)]",8,10_SZTU-lx_何爷爷
龙岗区,"[(5, 19, 20)]",1,10_SZTU-lx_何爷爷
