location_name,value,count,filename
上水,"[(354, 4, 5)]",1,10_SZTU-lx_凹凸曼&李先生
上水径,"[(349, 6, 7)]",1,10_SZTU-lx_凹凸曼&李先生
上沙,"[(13, 15, 16), (22, 13, 14)]",2,10_SZTU-lx_凹凸曼&李先生
中国,"[(181, 33, 34)]",1,10_SZTU-lx_凹凸曼&李先生
中山公园,"[(193, 8, 10)]",1,10_SZTU-lx_凹凸曼&李先生
光明,"[(196, 2, 3), (247, 6, 7)]",2,10_SZTU-lx_凹凸曼&李先生
八卦岭,"[(146, 24, 25), (155, 9, 10)]",2,10_SZTU-lx_凹凸曼&李先生
关内,"[(146, 11, 12)]",1,10_SZTU-lx_凹凸曼&李先生
前海,"[(297, 3, 4)]",1,10_SZTU-lx_凹凸曼&李先生
北京,"[(454, 5, 6), (455, 5, 6), (457, 3, 4), (457, 22, 23), (457, 26, 27)]",5,10_SZTU-lx_凹凸曼&李先生
华南城,"[(349, 11, 12)]",1,10_SZTU-lx_凹凸曼&李先生
华强北,"[(13, 20, 21), (158, 13, 14)]",2,10_SZTU-lx_凹凸曼&李先生
南山,"[(22, 30, 31), (30, 24, 25), (48, 7, 8), (48, 13, 14), (61, 2, 3), (65, 3, 4), (90, 29, 30), (122, 4, 5), (122, 16, 17), (143, 18, 19), (145, 30, 31), (146, 12, 13), (155, 28, 29), (155, 45, 46), (158, 17, 18), (159, 5, 6), (160, 3, 4), (160, 9, 10), (167, 1, 2), (174, 10, 11), (175, 5, 6), (185, 8, 9), (187, 7, 8), (188, 8, 9), (193, 4, 5), (207, 25, 26), (233, 5, 6), (251, 30, 31), (427, 14, 15)]",29,10_SZTU-lx_凹凸曼&李先生
固戍,"[(17, 5, 6)]",1,10_SZTU-lx_凹凸曼&李先生
坂田,"[(188, 12, 13)]",1,10_SZTU-lx_凹凸曼&李先生
坪地,"[(278, 12, 13)]",1,10_SZTU-lx_凹凸曼&李先生
坪山,"[(196, 0, 1), (235, 18, 19), (276, 4, 5), (278, 8, 9)]",4,10_SZTU-lx_凹凸曼&李先生
宝安,"[(13, 50, 51), (16, 5, 6), (17, 3, 4), (23, 1, 2), (30, 29, 30), (50, 8, 9), (50, 10, 11), (63, 5, 6), (90, 32, 33), (122, 19, 20), (147, 4, 5), (155, 20, 21), (167, 3, 4), (184, 6, 7), (195, 39, 40), (195, 80, 81), (205, 9, 10), (285, 9, 10), (291, 4, 5), (432, 12, 13), (471, 6, 7)]",21,10_SZTU-lx_凹凸曼&李先生
宝龙,"[(207, 33, 34)]",1,10_SZTU-lx_凹凸曼&李先生
布吉,"[(45, 13, 14), (71, 15, 16), (90, 22, 23), (120, 19, 20), (122, 11, 12), (354, 7, 8), (354, 9, 10), (425, 2, 3), (426, 12, 13), (430, 5, 6), (471, 4, 5)]",11,10_SZTU-lx_凹凸曼&李先生
平湖,"[(5, 6, 7), (29, 12, 13), (31, 23, 24), (32, 5, 6), (59, 3, 4), (71, 6, 7), (71, 13, 14), (73, 7, 8), (147, 15, 16)]",9,10_SZTU-lx_凹凸曼&李先生
平湖镇,"[(76, 8, 9)]",1,10_SZTU-lx_凹凸曼&李先生
广州,"[(454, 9, 10), (457, 49, 50)]",2,10_SZTU-lx_凹凸曼&李先生
深圳,"[(2, 10, 11), (3, 16, 17), (4, 3, 4), (10, 4, 5), (20, 5, 6), (28, 5, 6), (28, 27, 28), (36, 5, 6), (91, 2, 3), (97, 6, 7), (132, 15, 16), (134, 3, 4), (137, 7, 8), (141, 13, 14), (142, 8, 9), (143, 3, 4), (144, 9, 10), (148, 18, 19), (150, 5, 6), (150, 21, 22), (176, 14, 15), (177, 9, 10), (178, 7, 8), (179, 30, 31), (181, 39, 40), (182, 11, 12), (185, 50, 51), (189, 7, 8), (192, 12, 13), (195, 47, 48), (219, 7, 8), (231, 5, 6), (246, 15, 16), (325, 3, 4), (400, 11, 12), (400, 18, 19), (401, 7, 8), (401, 25, 26), (403, 23, 24), (404, 15, 16), (407, 5, 6), (412, 10, 11), (412, 25, 26), (415, 11, 12), (416, 2, 3), (419, 14, 15), (419, 21, 22), (422, 5, 6), (425, 6, 7), (427, 0, 1), (430, 9, 10), (432, 9, 10), (448, 5, 6), (453, 7, 8), (455, 8, 9), (457, 45, 46), (458, 12, 13), (459, 11, 12), (461, 6, 7), (463, 2, 3), (467, 3, 4), (469, 11, 12), (484, 4, 5), (484, 7, 8)]",64,10_SZTU-lx_凹凸曼&李先生
深圳市,"[(140, 43, 44), (186, 9, 10)]",2,10_SZTU-lx_凹凸曼&李先生
皇岗,"[(170, 16, 17)]",1,10_SZTU-lx_凹凸曼&李先生
福永,"[(50, 20, 21)]",1,10_SZTU-lx_凹凸曼&李先生
福田,"[(13, 14, 15), (22, 12, 13), (29, 8, 9), (29, 16, 17), (59, 6, 7), (59, 9, 10), (90, 26, 27), (92, 2, 3), (143, 12, 13), (146, 22, 23), (170, 8, 9), (170, 13, 14), (185, 5, 6), (192, 29, 30), (192, 49, 50), (239, 30, 31), (251, 27, 28), (354, 12, 13), (427, 10, 11), (442, 8, 9)]",20,10_SZTU-lx_凹凸曼&李先生
福田站,"[(442, 3, 4)]",1,10_SZTU-lx_凹凸曼&李先生
竹子林,"[(185, 14, 15)]",1,10_SZTU-lx_凹凸曼&李先生
罗湖,"[(143, 10, 11), (158, 7, 8), (158, 11, 12), (168, 7, 8), (169, 5, 6), (192, 31, 32), (239, 27, 28), (427, 12, 13)]",8,10_SZTU-lx_凹凸曼&李先生
荔枝公园,"[(192, 51, 53)]",1,10_SZTU-lx_凹凸曼&李先生
蛇口,"[(145, 3, 4), (181, 2, 3), (221, 5, 6), (221, 9, 10), (239, 20, 21)]",5,10_SZTU-lx_凹凸曼&李先生
香港,"[(170, 6, 7)]",1,10_SZTU-lx_凹凸曼&李先生
龙华,"[(205, 11, 12)]",1,10_SZTU-lx_凹凸曼&李先生
龙岗,"[(5, 5, 6), (29, 5, 6), (29, 10, 11), (30, 19, 20), (31, 19, 20), (31, 21, 22), (32, 4, 5), (71, 5, 6), (120, 17, 18), (147, 16, 17), (155, 18, 19), (195, 37, 38), (195, 78, 79), (205, 7, 8), (207, 19, 20), (426, 20, 21)]",16,10_SZTU-lx_凹凸曼&李先生
