location_name,value,count,filename
1234商场,"[(136, 7, 9)]",1,11_SZUH_LEI
cocopark,"[(137, 7, 9)]",1,11_SZUH_LEI
万象城,"[(73, 10, 11)]",1,11_SZUH_LEI
万象天地,"[(137, 15, 17)]",1,11_SZUH_LEI
万象汇,"[(179, 15, 16)]",1,11_SZUH_LEI
东莞,"[(130, 10, 11), (254, 2, 3)]",2,11_SZUH_LEI
东门,"[(73, 12, 13), (98, 17, 18), (178, 31, 32), (194, 20, 21), (194, 25, 26), (195, 2, 3)]",6,11_SZUH_LEI
中国,"[(195, 14, 15)]",1,11_SZUH_LEI
乐清,"[(257, 13, 14)]",1,11_SZUH_LEI
光明,"[(90, 29, 30), (119, 9, 10), (124, 8, 9)]",3,11_SZUH_LEI
前海,"[(158, 21, 22)]",1,11_SZUH_LEI
卓悦中心,"[(137, 10, 12)]",1,11_SZUH_LEI
南山,"[(67, 7, 8), (99, 7, 8), (139, 15, 16), (140, 6, 7), (141, 8, 9), (146, 0, 1), (158, 19, 20), (158, 25, 26), (159, 9, 10), (172, 19, 20)]",10,11_SZUH_LEI
后海,"[(159, 10, 11)]",1,11_SZUH_LEI
坪山,"[(119, 13, 14), (167, 0, 1), (322, 19, 20)]",3,11_SZUH_LEI
塘朗站,"[(304, 7, 8)]",1,11_SZUH_LEI
大鹏,"[(70, 7, 8), (90, 17, 18), (121, 8, 9)]",3,11_SZUH_LEI
天河,"[(344, 7, 8)]",1,11_SZUH_LEI
宝安,"[(14, 6, 7), (21, 6, 7), (22, 4, 5), (38, 5, 6), (38, 10, 11), (115, 5, 6), (118, 3, 4), (127, 9, 10), (131, 0, 1), (148, 11, 12), (172, 17, 18), (175, 7, 8)]",12,11_SZUH_LEI
布吉,"[(16, 8, 9), (27, 4, 5), (327, 3, 4), (332, 4, 5), (332, 12, 13), (336, 6, 7)]",6,11_SZUH_LEI
广州,"[(3, 5, 6), (10, 5, 6), (24, 2, 3), (209, 7, 8), (216, 2, 3), (338, 5, 6), (342, 7, 8), (344, 1, 2), (346, 6, 7), (348, 4, 5), (348, 22, 23), (349, 1, 2)]",12,11_SZUH_LEI
惠州,"[(130, 8, 9), (252, 4, 5), (254, 0, 1)]",3,11_SZUH_LEI
松岗,"[(3, 16, 17), (15, 2, 3), (15, 9, 10), (24, 12, 13), (32, 12, 13), (32, 25, 26), (37, 3, 4), (38, 11, 12), (44, 4, 5), (85, 3, 4), (119, 11, 12), (132, 0, 1)]",12,11_SZUH_LEI
梅林,"[(23, 10, 11), (31, 15, 16)]",2,11_SZUH_LEI
洪湖,"[(23, 4, 5)]",1,11_SZUH_LEI
深圳,"[(0, 9, 10), (2, 9, 10), (3, 10, 11), (11, 6, 7), (18, 9, 10), (28, 4, 5), (75, 11, 12), (84, 11, 12), (85, 11, 12), (86, 8, 9), (88, 16, 17), (94, 10, 11), (124, 3, 4), (148, 25, 26), (149, 12, 13), (156, 6, 7), (160, 6, 7), (180, 27, 28), (214, 1, 2), (217, 0, 1), (252, 2, 3), (257, 5, 6), (290, 5, 6), (290, 11, 12), (308, 8, 9), (314, 6, 7), (317, 8, 9), (321, 8, 9), (323, 14, 15), (326, 9, 10), (333, 9, 10), (343, 0, 1), (346, 10, 11), (348, 29, 30)]",34,11_SZUH_LEI
深圳市,"[(8, 15, 16), (250, 4, 5)]",2,11_SZUH_LEI
深圳湾公园,"[(100, 6, 8)]",1,11_SZUH_LEI
盐田,"[(70, 5, 6), (351, 19, 20)]",2,11_SZUH_LEI
福田,"[(31, 14, 15), (67, 5, 6), (86, 4, 5), (97, 19, 20), (99, 6, 7), (134, 7, 8), (139, 10, 11), (140, 7, 8), (146, 1, 2), (158, 5, 6), (158, 8, 9), (173, 8, 9), (309, 9, 10), (309, 23, 24), (322, 26, 27)]",15,11_SZUH_LEI
罗湖,"[(5, 5, 6), (14, 11, 12), (16, 3, 4), (21, 2, 3), (22, 6, 7), (25, 10, 11), (25, 22, 23), (26, 5, 6), (27, 13, 14), (31, 12, 13), (31, 21, 22), (32, 6, 7), (36, 9, 10), (45, 9, 10), (67, 3, 4), (86, 3, 4), (88, 8, 9), (97, 5, 6), (98, 7, 8), (101, 12, 13), (102, 0, 1), (103, 5, 6), (134, 5, 6), (136, 1, 2), (139, 8, 9), (145, 0, 1), (145, 8, 9), (145, 18, 19), (145, 26, 27), (146, 19, 20), (153, 5, 6), (154, 3, 4), (156, 4, 5), (172, 42, 43), (173, 10, 11), (178, 36, 37), (184, 50, 51), (192, 5, 6), (194, 2, 3), (196, 5, 6), (203, 4, 5), (322, 24, 25)]",42,11_SZUH_LEI
老街,"[(195, 3, 4)]",1,11_SZUH_LEI
西丽站,"[(302, 32, 33)]",1,11_SZUH_LEI
车公庙,"[(137, 13, 14)]",1,11_SZUH_LEI
香蜜湖,"[(246, 15, 16)]",1,11_SZUH_LEI
香蜜湖站,"[(306, 12, 13)]",1,11_SZUH_LEI
龙华,"[(70, 3, 4)]",1,11_SZUH_LEI
龙岗,"[(70, 1, 2), (112, 3, 4), (114, 3, 4), (115, 3, 4), (117, 0, 1), (118, 2, 3), (127, 7, 8), (128, 7, 8), (145, 2, 3), (145, 14, 15), (145, 30, 31), (146, 21, 22), (148, 9, 10), (161, 6, 7), (162, 0, 1), (165, 1, 2), (172, 8, 9), (172, 15, 16), (175, 5, 6), (175, 20, 21), (179, 2, 3), (292, 20, 21), (309, 7, 8), (332, 30, 31)]",24,11_SZUH_LEI
龙岗cocopark,"[(179, 10, 13)]",1,11_SZUH_LEI
