location_name,value,count,filename
万象城,"[(66, 23, 24)]",1,12_SZUL_夏天
上沙,"[(39, 7, 8), (39, 28, 29), (45, 12, 13)]",3,12_SZUL_夏天
东莞,"[(101, 12, 13)]",1,12_SZUL_夏天
中国,"[(248, 39, 40)]",1,12_SZUL_夏天
八卦岭,"[(53, 51, 52)]",1,12_SZUL_夏天
关内,"[(70, 35, 36), (77, 19, 20), (77, 26, 27), (80, 4, 5)]",4,12_SZUL_夏天
关外,"[(239, 8, 9)]",1,12_SZUL_夏天
北京,"[(153, 16, 17), (153, 26, 27), (153, 33, 34), (245, 9, 10), (245, 12, 13), (245, 22, 23), (246, 19, 20), (248, 24, 25)]",8,12_SZUL_夏天
华强北,"[(53, 31, 32), (53, 41, 42), (66, 20, 21)]",3,12_SZUL_夏天
南山,"[(70, 17, 18), (74, 24, 25), (76, 41, 42), (79, 2, 3), (84, 1, 2), (84, 13, 14), (84, 42, 43), (85, 15, 16), (90, 0, 1), (90, 14, 15), (90, 40, 41), (91, 28, 29), (92, 0, 1), (97, 21, 22), (162, 18, 19)]",15,12_SZUL_夏天
南山区,"[(68, 15, 16)]",1,12_SZUL_夏天
坪山,"[(102, 27, 28), (163, 12, 13)]",2,12_SZUL_夏天
大鹏,"[(102, 31, 32), (163, 10, 11), (218, 23, 24)]",3,12_SZUL_夏天
宝安,"[(88, 10, 11), (92, 6, 7), (101, 2, 3), (101, 6, 7), (102, 21, 22), (163, 16, 17)]",6,12_SZUL_夏天
宝安区,"[(90, 18, 19), (100, 2, 3), (100, 4, 5)]",3,12_SZUL_夏天
宝安新,"[(90, 20, 21)]",1,12_SZUL_夏天
岗厦北,"[(235, 9, 10)]",1,12_SZUL_夏天
布吉,"[(102, 29, 30)]",1,12_SZUL_夏天
新加坡,"[(251, 11, 12), (251, 17, 18)]",2,12_SZUL_夏天
新洲,"[(11, 19, 20), (16, 13, 14)]",2,12_SZUL_夏天
新洲南,"[(39, 20, 21)]",1,12_SZUL_夏天
沙井,"[(235, 51, 52), (235, 55, 56)]",2,12_SZUL_夏天
深圳,"[(3, 27, 28), (3, 35, 36), (4, 14, 15), (6, 11, 12), (7, 11, 12), (11, 7, 8), (35, 6, 7), (43, 16, 17), (52, 9, 10), (57, 6, 7), (62, 4, 5), (62, 19, 20), (64, 7, 8), (64, 23, 24), (64, 50, 51), (65, 20, 21), (66, 5, 6), (73, 0, 1), (86, 11, 12), (101, 10, 11), (104, 12, 13), (134, 6, 7), (135, 5, 6), (137, 3, 4), (151, 14, 15), (153, 10, 11), (154, 3, 4), (157, 12, 13), (182, 5, 6), (182, 10, 11), (186, 8, 9), (201, 6, 7), (217, 17, 18), (223, 10, 11), (225, 10, 11), (227, 11, 12), (246, 2, 3), (246, 24, 25), (248, 14, 15), (248, 32, 33), (248, 50, 51), (248, 62, 63), (251, 22, 23), (252, 15, 16), (254, 10, 11), (254, 41, 42), (255, 5, 6), (257, 4, 5), (259, 33, 34), (260, 11, 12), (263, 5, 6), (263, 20, 21), (263, 31, 32)]",53,12_SZUL_夏天
深圳北站,"[(231, 35, 37), (232, 1, 3)]",2,12_SZUL_夏天
深圳市,"[(71, 3, 4), (74, 6, 7)]",2,12_SZUL_夏天
深圳湾,"[(70, 11, 12), (84, 3, 4), (84, 8, 9), (84, 22, 23)]",4,12_SZUL_夏天
深汕,"[(90, 36, 37), (100, 12, 13), (101, 4, 5)]",3,12_SZUL_夏天
深莞,"[(101, 8, 9)]",1,12_SZUL_夏天
皇岗,"[(69, 13, 14), (81, 2, 3)]",2,12_SZUL_夏天
福田,"[(12, 8, 9), (12, 20, 21), (13, 4, 5), (14, 8, 9), (15, 8, 9), (15, 15, 16), (16, 11, 12), (17, 42, 43), (20, 3, 4), (24, 6, 7), (25, 5, 6), (45, 19, 20), (66, 14, 15), (69, 10, 11), (70, 1, 2), (74, 31, 32), (76, 29, 30), (78, 6, 7), (81, 0, 1), (81, 11, 12), (85, 14, 15), (89, 0, 1), (92, 2, 3), (98, 4, 5), (162, 14, 15), (232, 15, 16)]",26,12_SZUL_夏天
福田区,"[(11, 13, 14), (11, 18, 19)]",2,12_SZUL_夏天
福田站,"[(230, 33, 34), (231, 48, 49), (231, 55, 56)]",3,12_SZUL_夏天
罗湖,"[(12, 14, 15), (13, 6, 7), (14, 10, 11), (15, 19, 20), (17, 44, 45), (20, 6, 7), (20, 19, 20), (46, 2, 3), (66, 11, 12), (66, 16, 17), (68, 5, 6), (68, 8, 9), (74, 36, 37), (78, 1, 2), (80, 5, 6), (80, 10, 11), (85, 12, 13), (88, 19, 20), (148, 16, 17), (162, 20, 21)]",20,12_SZUL_夏天
蛇口,"[(218, 25, 26), (263, 41, 42)]",2,12_SZUL_夏天
车公庙,"[(45, 15, 16), (53, 48, 49), (143, 12, 13), (143, 16, 17), (144, 4, 5)]",5,12_SZUL_夏天
长沙,"[(231, 23, 24), (231, 30, 31), (251, 4, 5)]",3,12_SZUL_夏天
香港,"[(69, 2, 3), (69, 6, 7), (84, 27, 28), (84, 33, 34), (85, 4, 5), (85, 8, 9), (232, 29, 30)]",7,12_SZUL_夏天
龙岗,"[(71, 10, 11), (71, 14, 15), (71, 21, 22), (74, 68, 69), (87, 2, 3), (87, 27, 28), (92, 8, 9), (102, 2, 3), (102, 4, 5), (102, 18, 19), (163, 14, 15)]",11,12_SZUL_夏天
龙岗大运城,"[(74, 71, 74)]",1,12_SZUL_夏天
龙港,"[(92, 14, 15)]",1,12_SZUL_夏天
