location_name,value,count,filename
上海,"[(84, 9, 10), (117, 19, 20), (117, 58, 59), (185, 58, 59), (220, 0, 1), (220, 5, 6)]",6,12_SZUL_花生
中国,"[(179, 23, 24)]",1,12_SZUL_花生
光明,"[(56, 67, 68), (72, 83, 84), (72, 91, 92)]",3,12_SZUL_花生
光明招待所,"[(73, 0, 2)]",1,12_SZUL_花生
关外,"[(65, 13, 14), (88, 34, 35)]",2,12_SZUL_花生
北京,"[(84, 7, 8), (117, 18, 19), (117, 57, 58), (141, 1, 2), (141, 6, 7), (185, 56, 57), (214, 0, 1)]",7,12_SZUL_花生
北村,"[(14, 67, 68)]",1,12_SZUL_花生
华强北,"[(207, 0, 1)]",1,12_SZUL_花生
卓越汇商场,"[(68, 29, 31)]",1,12_SZUL_花生
南山,"[(56, 15, 16), (56, 20, 21), (56, 47, 48), (57, 8, 9), (192, 26, 27), (200, 0, 1), (200, 14, 15), (201, 27, 28)]",8,12_SZUL_花生
坪山,"[(56, 69, 70)]",1,12_SZUL_花生
大梅沙,"[(72, 22, 23), (72, 27, 28)]",2,12_SZUL_花生
妈岭,"[(95, 19, 20)]",1,12_SZUL_花生
宝安,"[(56, 56, 57)]",1,12_SZUL_花生
岗厦站,"[(209, 14, 15)]",1,12_SZUL_花生
广州,"[(219, 10, 11)]",1,12_SZUL_花生
景田,"[(14, 70, 71), (24, 9, 10), (64, 35, 36), (71, 6, 7)]",4,12_SZUL_花生
梅林,"[(14, 72, 73), (24, 22, 23), (64, 43, 44), (67, 21, 22), (67, 56, 57), (68, 18, 19), (68, 34, 35), (71, 4, 5), (112, 13, 14)]",9,12_SZUL_花生
梅林片区,"[(64, 46, 48)]",1,12_SZUL_花生
梅林站,"[(95, 9, 10)]",1,12_SZUL_花生
梧桐山,"[(72, 55, 56)]",1,12_SZUL_花生
深圳,"[(1, 29, 30), (2, 18, 19), (3, 9, 10), (3, 16, 17), (8, 5, 6), (11, 7, 8), (15, 14, 15), (26, 5, 6), (33, 28, 29), (41, 10, 11), (43, 3, 4), (43, 37, 38), (44, 4, 5), (46, 7, 8), (47, 26, 27), (50, 10, 11), (51, 0, 1), (53, 66, 67), (54, 20, 21), (54, 54, 55), (58, 10, 11), (58, 14, 15), (62, 6, 7), (64, 90, 91), (74, 45, 46), (74, 49, 50), (76, 9, 10), (77, 3, 4), (84, 33, 34), (84, 60, 61), (116, 14, 15), (117, 37, 38), (119, 0, 1), (119, 9, 10), (120, 14, 15), (121, 15, 16), (121, 20, 21), (122, 17, 18), (123, 1, 2), (128, 6, 7), (133, 4, 5), (138, 6, 7), (140, 16, 17), (143, 5, 6), (159, 23, 24), (164, 14, 15), (168, 3, 4), (176, 7, 8), (181, 17, 18), (182, 33, 34), (185, 8, 9), (185, 36, 37), (189, 5, 6), (190, 13, 14), (190, 30, 31), (193, 1, 2), (193, 28, 29), (196, 6, 7), (196, 12, 13), (208, 7, 8), (211, 29, 30), (222, 10, 11), (240, 4, 5), (240, 21, 22), (240, 23, 24), (258, 0, 1), (259, 2, 3)]",67,12_SZUL_花生
盐田,"[(56, 71, 72)]",1,12_SZUL_花生
福田,"[(9, 7, 8), (14, 6, 7), (14, 18, 19), (24, 21, 22), (25, 12, 13), (54, 28, 29), (56, 12, 13), (56, 45, 46), (57, 6, 7), (59, 37, 38), (61, 27, 28), (87, 22, 23), (190, 18, 19), (192, 24, 25), (197, 11, 12), (199, 0, 1), (199, 12, 13), (201, 25, 26)]",18,12_SZUL_花生
福田区,"[(14, 61, 62), (33, 11, 12), (54, 26, 27), (64, 14, 15), (64, 21, 22)]",5,12_SZUL_花生
福田口岸,"[(64, 79, 81)]",1,12_SZUL_花生
罗湖,"[(14, 26, 27), (14, 41, 42), (23, 13, 14), (25, 7, 8), (27, 11, 12), (52, 11, 12), (53, 4, 5), (53, 25, 26), (53, 63, 64), (56, 30, 31), (59, 23, 24), (61, 25, 26), (190, 17, 18), (195, 18, 19), (195, 24, 25), (197, 19, 20), (197, 21, 22), (197, 45, 46), (197, 50, 51), (201, 23, 24)]",20,12_SZUL_花生
罗湖区,"[(54, 10, 11)]",1,12_SZUL_花生
罗湖商城,"[(53, 48, 50)]",1,12_SZUL_花生
莲塘,"[(72, 19, 20), (72, 51, 52)]",2,12_SZUL_花生
莲花,"[(14, 7, 8), (14, 66, 67), (19, 9, 10)]",3,12_SZUL_花生
莲花村,"[(14, 62, 63)]",1,12_SZUL_花生
车公庙,"[(168, 62, 63)]",1,12_SZUL_花生
过关,"[(241, 30, 31)]",1,12_SZUL_花生
香港,"[(53, 31, 32), (66, 5, 6), (125, 37, 38), (125, 43, 44), (125, 83, 84), (128, 20, 21), (197, 47, 48), (197, 56, 57), (241, 32, 33)]",9,12_SZUL_花生
黄岗,"[(199, 4, 5)]",1,12_SZUL_花生
龙华,"[(65, 16, 17)]",1,12_SZUL_花生
龙岗,"[(56, 58, 59), (201, 10, 11)]",2,12_SZUL_花生
