location_name,value,count,filename
万象城,"[(270, 0, 1)]",1,13_SZTULJK_HSF
上沙,"[(51, 44, 45), (52, 4, 5)]",2,13_SZTULJK_HSF
东莞,"[(336, 19, 20)]",1,13_SZTULJK_HSF
东门,"[(177, 26, 27)]",1,13_SZTULJK_HSF
佛山,"[(336, 26, 27)]",1,13_SZTULJK_HSF
前海,"[(271, 0, 1)]",1,13_SZTULJK_HSF
北京,"[(283, 12, 13), (283, 36, 37), (284, 11, 12), (287, 32, 33), (288, 7, 8)]",5,13_SZTULJK_HSF
华强北,"[(239, 36, 37)]",1,13_SZTULJK_HSF
南山,"[(7, 6, 7), (7, 16, 17), (24, 5, 6), (24, 20, 21), (25, 12, 13), (41, 6, 7), (44, 13, 14), (53, 16, 17), (150, 30, 31), (154, 21, 22), (175, 41, 42), (177, 39, 40), (178, 9, 10), (178, 23, 24), (178, 32, 33), (178, 40, 41), (191, 18, 19), (209, 8, 9), (264, 7, 8), (269, 13, 14), (272, 8, 9), (355, 23, 24), (356, 0, 1)]",23,13_SZTULJK_HSF
南山区,"[(22, 24, 25), (49, 2, 3), (51, 9, 10), (51, 20, 21), (175, 5, 6), (190, 6, 7), (216, 8, 9), (230, 20, 21), (316, 13, 14), (316, 40, 41)]",10,13_SZTULJK_HSF
南山智园,"[(220, 26, 28)]",1,13_SZTULJK_HSF
双龙,"[(309, 7, 8)]",1,13_SZTULJK_HSF
后海,"[(316, 7, 8), (316, 10, 11)]",2,13_SZTULJK_HSF
坪山区,"[(171, 24, 25)]",1,13_SZTULJK_HSF
塘朗,"[(219, 11, 12)]",1,13_SZTULJK_HSF
塘朗站,"[(219, 16, 17), (219, 26, 27)]",2,13_SZTULJK_HSF
大梅沙,"[(336, 43, 44)]",1,13_SZTULJK_HSF
大运,"[(192, 24, 25)]",1,13_SZTULJK_HSF
大鹏,"[(311, 52, 53), (336, 53, 54)]",2,13_SZTULJK_HSF
天泽花园,"[(224, 27, 29)]",1,13_SZTULJK_HSF
天鹅堡,"[(230, 23, 24), (230, 33, 34), (230, 57, 58), (230, 62, 63)]",4,13_SZTULJK_HSF
岗厦北,"[(306, 19, 20), (307, 5, 6)]",2,13_SZTULJK_HSF
广州,"[(99, 16, 17), (113, 23, 24), (113, 25, 26), (283, 7, 8), (283, 28, 29), (284, 29, 30), (287, 30, 31), (288, 5, 6), (336, 28, 29)]",9,13_SZTULJK_HSF
惠州,"[(336, 20, 21)]",1,13_SZTULJK_HSF
桃园村,"[(48, 46, 47)]",1,13_SZTULJK_HSF
桥城东,"[(214, 29, 30)]",1,13_SZTULJK_HSF
海南,"[(113, 13, 14)]",1,13_SZTULJK_HSF
海岸城,"[(170, 4, 5)]",1,13_SZTULJK_HSF
深圳,"[(6, 10, 11), (18, 13, 14), (18, 37, 38), (96, 27, 28), (99, 18, 19), (99, 41, 42), (114, 6, 7), (120, 24, 25), (151, 26, 27), (152, 2, 3), (168, 13, 14), (171, 10, 11), (207, 14, 15), (207, 24, 25), (277, 5, 6), (282, 26, 27), (283, 32, 33), (287, 6, 7), (287, 56, 57), (299, 46, 47), (323, 16, 17), (336, 33, 34)]",22,13_SZTULJK_HSF
深圳市,"[(336, 11, 12)]",1,13_SZTULJK_HSF
深圳湾公园,"[(269, 35, 37)]",1,13_SZTULJK_HSF
渔农村,"[(93, 22, 23), (217, 70, 71), (223, 9, 10)]",3,13_SZTULJK_HSF
滨河路,"[(122, 20, 21)]",1,13_SZTULJK_HSF
