location_name,value,count,filename
东晓路,"[(206, 15, 16)]",1,13_SZTULJK_LDH
东湖,"[(197, 22, 23)]",1,13_SZTULJK_LDH
东湖公园,"[(78, 37, 39)]",1,13_SZTULJK_LDH
光明,"[(159, 10, 11), (161, 18, 19), (162, 3, 4), (171, 11, 12), (176, 17, 18)]",5,13_SZTULJK_LDH
南山,"[(24, 10, 11), (30, 5, 6), (118, 16, 17), (118, 23, 24), (120, 11, 12), (120, 15, 16), (122, 17, 18), (122, 68, 69), (125, 19, 20), (125, 42, 43), (136, 10, 11), (138, 22, 23), (143, 19, 20), (310, 12, 13), (318, 12, 13), (392, 60, 61), (398, 59, 60), (406, 15, 16)]",18,13_SZTULJK_LDH
南山区,"[(30, 7, 8)]",1,13_SZTULJK_LDH
南约,"[(47, 3, 4), (223, 19, 20)]",2,13_SZTULJK_LDH
南路,"[(278, 20, 21)]",1,13_SZTULJK_LDH
四路,"[(278, 16, 17), (278, 23, 24)]",2,13_SZTULJK_LDH
坪山,"[(93, 18, 19), (159, 12, 13), (169, 13, 14), (169, 32, 33), (171, 13, 14), (176, 39, 40)]",6,13_SZTULJK_LDH
塘朗,"[(174, 17, 18), (174, 20, 21), (246, 29, 30)]",3,13_SZTULJK_LDH
大运体育馆,"[(150, 3, 5), (151, 6, 8)]",2,13_SZTULJK_LDH
大鹏,"[(253, 32, 33)]",1,13_SZTULJK_LDH
太安,"[(233, 13, 14)]",1,13_SZTULJK_LDH
宝安,"[(116, 50, 51), (122, 24, 25), (406, 41, 42)]",3,13_SZTULJK_LDH
岗厦,"[(390, 12, 13)]",1,13_SZTULJK_LDH
岗厦北,"[(398, 4, 5)]",1,13_SZTULJK_LDH
布吉,"[(236, 4, 5), (236, 6, 7), (236, 24, 25), (238, 8, 9), (239, 14, 15), (241, 30, 31), (246, 3, 4), (252, 29, 30), (254, 48, 49), (390, 8, 9), (392, 4, 5), (392, 48, 49), (393, 4, 5)]",13,13_SZTULJK_LDH
布心,"[(49, 9, 10), (50, 16, 17), (51, 14, 15), (51, 20, 21), (52, 8, 9), (52, 12, 13), (55, 13, 14), (60, 34, 35), (178, 29, 30), (178, 57, 58), (195, 9, 10), (203, 22, 23), (203, 50, 51), (203, 83, 84), (221, 29, 30), (348, 58, 59)]",16,13_SZTULJK_LDH
布心地铁站,"[(287, 29, 31)]",1,13_SZTULJK_LDH
布心村,"[(203, 42, 43)]",1,13_SZTULJK_LDH
布心站,"[(178, 32, 33)]",1,13_SZTULJK_LDH
布心路,"[(64, 30, 31)]",1,13_SZTULJK_LDH
广州,"[(414, 7, 8), (416, 5, 6), (421, 9, 10)]",3,13_SZTULJK_LDH
民治,"[(230, 13, 14)]",1,13_SZTULJK_LDH
河南,"[(438, 6, 7)]",1,13_SZTULJK_LDH
深圳,"[(3, 24, 25), (3, 32, 33), (3, 47, 48), (6, 7, 8), (15, 43, 44), (83, 26, 27), (86, 29, 30), (89, 20, 21), (99, 22, 23), (108, 21, 22), (108, 29, 30), (204, 8, 9), (251, 30, 31), (255, 44, 45), (336, 47, 48), (337, 5, 6), (353, 19, 20), (354, 6, 7), (356, 12, 13), (372, 9, 10), (372, 17, 18), (374, 5, 6), (389, 18, 19), (398, 22, 23), (400, 11, 12), (400, 14, 15), (415, 7, 8), (416, 55, 56), (423, 10, 11), (423, 20, 21), (443, 14, 15), (450, 43, 44)]",32,13_SZTULJK_LDH
港鹏新村,"[(190, 58, 60)]",1,13_SZTULJK_LDH
田贝,"[(48, 12, 13), (59, 22, 23), (276, 22, 23), (278, 19, 20), (278, 22, 23), (348, 62, 63)]",6,13_SZTULJK_LDH
白鸽笼,"[(50, 18, 19)]",1,13_SZTULJK_LDH
皇庭广场,"[(300, 12, 14)]",1,13_SZTULJK_LDH
