location_name,value,count,filename
上海,"[(107, 29, 30), (172, 12, 13), (199, 13, 14), (199, 14, 15)]",4,14_SZUlsr-jiachunxia
东莞,"[(175, 4, 5), (176, 22, 23), (219, 35, 36)]",3,14_SZUlsr-jiachunxia
中国,"[(17, 12, 13), (33, 15, 16), (170, 37, 38), (330, 5, 6), (332, 14, 15)]",5,14_SZUlsr-jiachunxia
中国世贸大厦,"[(107, 17, 20)]",1,14_SZUlsr-jiachunxia
中山,"[(276, 28, 29)]",1,14_SZUlsr-jiachunxia
中山路,"[(457, 3, 4)]",1,14_SZUlsr-jiachunxia
云南,"[(334, 13, 14), (334, 19, 20)]",2,14_SZUlsr-jiachunxia
井冈山,"[(455, 3, 4), (462, 34, 35), (463, 3, 4), (463, 4, 5), (463, 10, 11), (465, 13, 14), (466, 9, 10)]",7,14_SZUlsr-jiachunxia
佛山,"[(219, 31, 32)]",1,14_SZUlsr-jiachunxia
俄罗斯,"[(484, 27, 28)]",1,14_SZUlsr-jiachunxia
前海,"[(274, 6, 7), (277, 20, 21), (278, 21, 22), (292, 4, 5)]",4,14_SZUlsr-jiachunxia
北京,"[(439, 58, 59)]",1,14_SZUlsr-jiachunxia
北环,"[(259, 39, 40)]",1,14_SZUlsr-jiachunxia
华发路,"[(61, 4, 5), (72, 4, 5)]",2,14_SZUlsr-jiachunxia
南京路,"[(199, 20, 21)]",1,14_SZUlsr-jiachunxia
南头营,"[(227, 12, 13)]",1,14_SZUlsr-jiachunxia
