location_name,value,count,filename
万象城,"[(135, 8, 9)]",1,15_PKU+DYE_Suning
中心城,"[(200, 14, 15)]",1,15_PKU+DYE_Suning
伦敦,"[(429, 9, 10), (429, 13, 14)]",2,15_PKU+DYE_Suning
体育西路,"[(256, 4, 6)]",1,15_PKU+DYE_Suning
保安,"[(472, 20, 21)]",1,15_PKU+DYE_Suning
南山,"[(86, 64, 65), (91, 4, 5), (95, 50, 51), (95, 76, 77), (100, 49, 50), (180, 34, 35), (352, 44, 45), (353, 11, 12), (469, 7, 8), (472, 18, 19), (475, 60, 61)]",11,15_PKU+DYE_Suning
大运,"[(172, 9, 10), (172, 20, 21)]",2,15_PKU+DYE_Suning
宝安,"[(95, 52, 53), (100, 31, 32), (467, 9, 10), (468, 4, 5)]",4,15_PKU+DYE_Suning
岗厦,"[(172, 13, 14), (172, 24, 25), (433, 42, 43)]",3,15_PKU+DYE_Suning
岗厦北,"[(152, 22, 23), (180, 23, 24), (402, 51, 52)]",3,15_PKU+DYE_Suning
布吉,"[(106, 5, 6), (106, 12, 13), (106, 23, 24), (106, 41, 42), (106, 45, 46), (109, 6, 7), (113, 3, 4), (115, 8, 9), (286, 13, 14), (393, 17, 18), (402, 5, 6)]",11,15_PKU+DYE_Suning
广州,"[(254, 6, 7), (255, 3, 4), (267, 13, 14), (269, 3, 4), (426, 3, 4)]",5,15_PKU+DYE_Suning
梅林,"[(279, 33, 34), (279, 36, 37), (279, 46, 47), (280, 13, 14)]",4,15_PKU+DYE_Suning
沙头角,"[(71, 9, 10), (463, 8, 9)]",2,15_PKU+DYE_Suning
深圳,"[(1, 5, 6), (1, 37, 38), (1, 68, 69), (5, 8, 9), (84, 10, 11), (84, 24, 25), (84, 55, 56), (102, 11, 12), (103, 1, 2), (127, 8, 9), (129, 13, 14), (177, 6, 7), (178, 7, 8), (223, 3, 4), (224, 7, 8), (263, 6, 7), (269, 7, 8), (333, 15, 16), (350, 8, 9), (366, 13, 14), (368, 5, 6), (368, 19, 20), (369, 3, 4), (371, 3, 4), (392, 18, 19), (393, 13, 14), (394, 5, 6), (396, 7, 8), (397, 7, 8), (405, 45, 46), (405, 53, 54), (430, 9, 10), (433, 48, 49), (440, 7, 8), (442, 6, 7)]",35,15_PKU+DYE_Suning
盐田,"[(25, 1, 2), (25, 7, 8), (46, 3, 4), (50, 7, 8), (72, 5, 6), (80, 18, 19), (95, 82, 83), (100, 25, 26), (148, 14, 15), (148, 29, 30), (149, 4, 5), (197, 5, 6), (199, 4, 5), (200, 10, 11), (352, 15, 16), (402, 36, 37)]",16,15_PKU+DYE_Suning
盐田区,"[(71, 7, 8)]",1,15_PKU+DYE_Suning
盐田港西,"[(152, 15, 16)]",1,15_PKU+DYE_Suning
福田,"[(23, 14, 15), (25, 26, 27), (30, 13, 14), (71, 18, 19), (80, 23, 24), (86, 48, 49), (95, 21, 22), (95, 46, 47), (100, 46, 47), (101, 39, 40), (148, 19, 20), (148, 31, 32), (149, 6, 7), (180, 33, 34), (208, 8, 9), (352, 42, 43), (389, 5, 6), (402, 33, 34), (411, 2, 3), (417, 5, 6), (420, 14, 15), (453, 2, 3), (466, 15, 16), (475, 54, 55)]",24,15_PKU+DYE_Suning
福田区,"[(209, 3, 4)]",1,15_PKU+DYE_Suning
福田站,"[(413, 17, 18), (416, 10, 11), (416, 25, 26)]",3,15_PKU+DYE_Suning
纽卡斯尔,"[(429, 15, 16)]",1,15_PKU+DYE_Suning
罗湖,"[(33, 7, 8), (34, 6, 7), (50, 15, 16), (71, 14, 15), (80, 20, 21), (86, 14, 15), (95, 16, 17), (95, 54, 55), (95, 80, 81), (100, 44, 45), (172, 3, 4), (190, 28, 29), (208, 9, 10), (352, 32, 33), (402, 31, 32)]",15,15_PKU+DYE_Suning
罗湖区,"[(173, 8, 9), (209, 5, 6)]",2,15_PKU+DYE_Suning
罗湖市,"[(86, 4, 5)]",1,15_PKU+DYE_Suning
罗湖火车站,"[(129, 30, 32), (130, 3, 5), (135, 3, 5)]",3,15_PKU+DYE_Suning
英国,"[(429, 5, 6), (429, 22, 23)]",2,15_PKU+DYE_Suning
香港,"[(428, 7, 8), (428, 11, 12)]",2,15_PKU+DYE_Suning
龙华,"[(95, 68, 69), (117, 4, 5), (117, 6, 7), (123, 11, 12), (304, 8, 9), (402, 29, 30)]",6,15_PKU+DYE_Suning
龙岗,"[(11, 47, 48), (44, 6, 7), (46, 10, 11), (100, 27, 28), (107, 3, 4), (108, 3, 4), (112, 4, 5), (123, 6, 7), (158, 16, 17), (171, 3, 4), (172, 6, 7), (180, 11, 12), (184, 1, 2), (196, 3, 4), (197, 3, 4), (199, 9, 10), (200, 3, 4), (204, 8, 9), (279, 31, 32), (279, 44, 45), (281, 3, 4), (283, 3, 4), (376, 11, 12), (387, 5, 6), (389, 3, 4), (402, 27, 28), (433, 18, 19), (448, 3, 4), (452, 6, 7), (453, 0, 1), (467, 1, 2)]",31,15_PKU+DYE_Suning
