location_name,value,count,filename
东门,"[(95, 16, 17), (95, 22, 23)]",2,17_SCNUC_小于女士
关内,"[(73, 32, 33)]",1,17_SCNUC_小于女士
关外,"[(74, 0, 1), (90, 30, 31)]",2,17_SCNUC_小于女士
前海,"[(86, 17, 18), (87, 0, 1)]",2,17_SCNUC_小于女士
南山,"[(81, 15, 16), (90, 52, 53)]",2,17_SCNUC_小于女士
南山区,"[(81, 0, 1), (82, 2, 3)]",2,17_SCNUC_小于女士
南山区科技园,"[(108, 18, 20)]",1,17_SCNUC_小于女士
南山科技园,"[(108, 5, 7)]",1,17_SCNUC_小于女士
宝体,"[(48, 19, 20), (214, 8, 9)]",2,17_SCNUC_小于女士
宝体站,"[(21, 30, 31)]",1,17_SCNUC_小于女士
宝安,"[(16, 23, 24), (16, 29, 30), (18, 27, 28), (19, 8, 9), (21, 9, 10), (33, 37, 38), (37, 18, 19), (43, 18, 19), (46, 8, 9), (48, 11, 12), (75, 1, 2), (84, 10, 11), (84, 22, 23), (86, 4, 5), (86, 8, 9), (87, 6, 7), (96, 11, 12), (102, 2, 3), (106, 11, 12), (106, 15, 16), (108, 16, 17), (110, 4, 5), (110, 18, 19), (111, 31, 32), (166, 6, 7), (176, 8, 9), (215, 15, 16), (257, 6, 7), (276, 21, 22)]",29,17_SCNUC_小于女士
宝安区,"[(74, 4, 5), (82, 4, 5), (90, 33, 34), (99, 41, 42)]",4,17_SCNUC_小于女士
宝安机场,"[(105, 22, 24), (140, 38, 40)]",2,17_SCNUC_小于女士
岗厦北,"[(173, 27, 28)]",1,17_SCNUC_小于女士
布吉,"[(79, 3, 4), (169, 10, 11), (170, 13, 14), (298, 5, 6), (298, 7, 8), (309, 7, 8)]",6,17_SCNUC_小于女士
广州,"[(271, 10, 11), (275, 9, 10), (277, 9, 10), (280, 29, 30)]",4,17_SCNUC_小于女士
新安公园,"[(185, 22, 24)]",1,17_SCNUC_小于女士
梅林,"[(33, 13, 14), (33, 19, 20), (44, 23, 24)]",3,17_SCNUC_小于女士
横岗,"[(306, 22, 23), (309, 9, 10)]",2,17_SCNUC_小于女士
深圳,"[(2, 6, 7), (2, 63, 64), (7, 13, 14), (17, 21, 22), (72, 13, 14), (72, 39, 40), (103, 6, 7), (111, 20, 21), (120, 32, 33), (121, 7, 8), (123, 8, 9), (138, 13, 14), (150, 2, 3), (152, 7, 8), (213, 1, 2), (228, 22, 23), (240, 15, 16), (241, 9, 10), (258, 7, 8), (263, 9, 10), (274, 1, 2), (277, 21, 22), (280, 0, 1), (281, 9, 10), (283, 12, 13), (287, 5, 6), (289, 16, 17), (292, 8, 9), (304, 19, 20), (304, 42, 43), (318, 2, 3), (321, 2, 3)]",32,17_SCNUC_小于女士
深大,"[(34, 6, 7), (105, 16, 17), (140, 20, 21), (140, 30, 31)]",4,17_SCNUC_小于女士
清水河,"[(27, 18, 19), (27, 34, 35), (44, 6, 7), (59, 25, 26), (61, 36, 37), (63, 14, 15)]",6,17_SCNUC_小于女士
白马,"[(95, 36, 37)]",1,17_SCNUC_小于女士
盐田,"[(73, 28, 29), (81, 13, 14)]",2,17_SCNUC_小于女士
福田,"[(16, 14, 15), (17, 13, 14), (18, 16, 17), (73, 20, 21), (76, 0, 1), (77, 0, 1), (81, 11, 12), (90, 50, 51), (99, 16, 17), (171, 12, 13)]",10,17_SCNUC_小于女士
罗湖,"[(16, 12, 13), (17, 11, 12), (18, 14, 15), (27, 12, 13), (43, 20, 21), (73, 22, 23), (76, 2, 3), (80, 11, 12), (81, 9, 10), (90, 48, 49), (99, 17, 18), (101, 16, 17), (140, 9, 10), (140, 44, 45), (141, 8, 9), (148, 4, 5), (148, 13, 14)]",17,17_SCNUC_小于女士
罗湖科学馆,"[(33, 5, 7)]",1,17_SCNUC_小于女士
老街,"[(168, 11, 12), (170, 31, 32)]",2,17_SCNUC_小于女士
莲塘,"[(27, 23, 24), (27, 36, 37), (44, 8, 9)]",3,17_SCNUC_小于女士
车公庙,"[(293, 6, 7), (297, 6, 7)]",2,17_SCNUC_小于女士
香港,"[(271, 14, 15), (275, 10, 11), (277, 11, 12), (280, 31, 32)]",4,17_SCNUC_小于女士
龙岗,"[(61, 24, 25), (61, 49, 50), (63, 16, 17), (74, 2, 3), (74, 8, 9), (75, 4, 5), (80, 9, 10), (84, 8, 9), (96, 9, 10), (166, 10, 11), (167, 4, 5), (168, 16, 17), (173, 5, 6), (173, 32, 33), (276, 23, 24), (306, 24, 25)]",16,17_SCNUC_小于女士
龙岗区,"[(90, 31, 32)]",1,17_SCNUC_小于女士
