location_name,value,count,filename
上海,"[(54, 0, 1), (90, 17, 18), (248, 21, 22), (250, 34, 35)]",4,18_SZU_XZA_HE
上海宾馆,"[(53, 16, 18)]",1,18_SZU_XZA_HE
东湖水库,"[(51, 33, 35)]",1,18_SZU_XZA_HE
东门,"[(90, 5, 6), (115, 26, 27), (117, 3, 4)]",3,18_SZU_XZA_HE
云湖,"[(118, 31, 32)]",1,18_SZU_XZA_HE
仙湖,"[(122, 13, 14), (125, 1, 2)]",2,18_SZU_XZA_HE
仙湖植物园,"[(126, 0, 2)]",1,18_SZU_XZA_HE
佛山,"[(299, 1, 2)]",1,18_SZU_XZA_HE
八卦岭,"[(86, 23, 24)]",1,18_SZU_XZA_HE
前海,"[(84, 57, 58)]",1,18_SZU_XZA_HE
华南城,"[(96, 11, 12)]",1,18_SZU_XZA_HE
华强北,"[(86, 7, 8), (115, 2, 3)]",2,18_SZU_XZA_HE
华清园,"[(13, 2, 3), (14, 0, 1), (15, 3, 4), (38, 13, 14), (42, 4, 5)]",5,18_SZU_XZA_HE
南路,"[(118, 55, 56)]",1,18_SZU_XZA_HE
双龙,"[(68, 6, 7), (257, 25, 26)]",2,18_SZU_XZA_HE
宝安,"[(84, 51, 52)]",1,18_SZU_XZA_HE
宝安机场,"[(287, 8, 10)]",1,18_SZU_XZA_HE
布吉,"[(110, 9, 10)]",1,18_SZU_XZA_HE
广东,"[(299, 8, 9)]",1,18_SZU_XZA_HE
广东省,"[(118, 16, 17)]",1,18_SZU_XZA_HE
广州,"[(248, 4, 5), (249, 0, 1), (250, 32, 33)]",3,18_SZU_XZA_HE
怡景,"[(195, 18, 19)]",1,18_SZU_XZA_HE
惠州,"[(118, 10, 11), (257, 19, 20)]",2,18_SZU_XZA_HE
梧桐山,"[(84, 31, 32), (124, 2, 3), (126, 3, 4)]",3,18_SZU_XZA_HE
水贝,"[(9, 21, 22), (38, 6, 7)]",2,18_SZU_XZA_HE
汕尾,"[(118, 12, 13)]",1,18_SZU_XZA_HE
淡水,"[(67, 10, 11)]",1,18_SZU_XZA_HE
深南路,"[(81, 4, 5)]",1,18_SZU_XZA_HE
深圳,"[(0, 31, 32), (6, 5, 6), (7, 19, 20), (7, 28, 29), (7, 36, 37), (9, 1, 2), (78, 17, 18), (85, 9, 10), (91, 3, 4), (93, 6, 7), (98, 7, 8), (103, 10, 11), (103, 29, 30), (111, 4, 5), (205, 12, 13), (223, 4, 5), (230, 9, 10), (231, 0, 1), (239, 8, 9), (241, 7, 8), (250, 5, 6), (250, 37, 38), (253, 29, 30), (254, 3, 4), (255, 0, 1), (257, 17, 18), (264, 8, 9), (270, 1, 2), (272, 2, 3), (289, 3, 4), (296, 31, 32)]",31,18_SZU_XZA_HE
深圳市,"[(0, 59, 60), (86, 32, 33)]",2,18_SZU_XZA_HE
湖贝,"[(131, 8, 9), (195, 6, 7)]",2,18_SZU_XZA_HE
盐田,"[(115, 51, 52)]",1,18_SZU_XZA_HE
福田,"[(90, 7, 8), (96, 2, 3), (109, 2, 3)]",3,18_SZU_XZA_HE
福田站,"[(240, 2, 3)]",1,18_SZU_XZA_HE
竹子林,"[(59, 17, 18), (220, 4, 5)]",2,18_SZU_XZA_HE
绿道,"[(84, 45, 46)]",1,18_SZU_XZA_HE
罗湖,"[(7, 50, 51), (7, 56, 57), (58, 45, 46), (58, 50, 51), (62, 11, 12), (96, 0, 1), (109, 0, 1), (115, 38, 39), (178, 2, 3), (222, 3, 4)]",10,18_SZU_XZA_HE
罗湖体育馆,"[(74, 16, 18)]",1,18_SZU_XZA_HE
罗湖区,"[(107, 20, 21)]",1,18_SZU_XZA_HE
老街,"[(131, 17, 18)]",1,18_SZU_XZA_HE
莲塘,"[(296, 32, 33)]",1,18_SZU_XZA_HE
螺岭,"[(9, 24, 25), (11, 5, 6), (17, 29, 30), (28, 5, 6), (34, 5, 6), (38, 8, 9), (44, 4, 5), (58, 25, 26), (139, 20, 21), (139, 22, 23)]",10,18_SZU_XZA_HE
西乡,"[(70, 4, 5), (72, 21, 22), (84, 49, 50)]",3,18_SZU_XZA_HE
车公庙,"[(60, 2, 3)]",1,18_SZU_XZA_HE
香港,"[(115, 22, 23), (270, 23, 24)]",2,18_SZU_XZA_HE
马峦山,"[(84, 19, 20), (126, 4, 5)]",2,18_SZU_XZA_HE
黄贝岭,"[(131, 12, 13)]",1,18_SZU_XZA_HE
龙岗,"[(257, 24, 25)]",1,18_SZU_XZA_HE
