location_name,value,count,filename
上步路,"[(436, 11, 12)]",1,19_sustech_qk_meng
上沙,"[(37, 91, 92), (50, 53, 54)]",2,19_sustech_qk_meng
上海,"[(407, 61, 62), (502, 8, 9), (504, 0, 1), (504, 9, 10)]",4,19_sustech_qk_meng
东莞,"[(38, 29, 30), (39, 2, 3), (52, 16, 17), (52, 21, 22)]",4,19_sustech_qk_meng
五和,"[(204, 5, 6), (328, 4, 5), (328, 6, 7), (328, 11, 12), (349, 17, 18)]",5,19_sustech_qk_meng
五和站,"[(328, 20, 21)]",1,19_sustech_qk_meng
五河,"[(349, 31, 32)]",1,19_sustech_qk_meng
亚洲,"[(234, 26, 27), (281, 19, 20)]",2,19_sustech_qk_meng
光雅园,"[(349, 29, 30)]",1,19_sustech_qk_meng
八卦岭,"[(436, 18, 19)]",1,19_sustech_qk_meng
冬瓜岭,"[(69, 15, 16), (429, 19, 20)]",2,19_sustech_qk_meng
前海,"[(324, 20, 21), (431, 3, 4)]",2,19_sustech_qk_meng
北京,"[(407, 60, 61)]",1,19_sustech_qk_meng
华强,"[(39, 26, 27)]",1,19_sustech_qk_meng
华强北,"[(52, 35, 36), (126, 42, 43), (130, 38, 39), (226, 19, 20)]",4,19_sustech_qk_meng
南坑,"[(349, 24, 25), (429, 8, 9)]",2,19_sustech_qk_meng
南坑站,"[(69, 8, 9), (69, 10, 11)]",2,19_sustech_qk_meng
南坪,"[(75, 44, 45)]",1,19_sustech_qk_meng
南头火车站,"[(330, 5, 7), (331, 40, 42)]",2,19_sustech_qk_meng
南山,"[(185, 31, 32), (232, 34, 35), (232, 38, 39), (236, 37, 38), (263, 31, 32), (380, 42, 43), (400, 3, 4), (542, 29, 30), (594, 26, 27)]",9,19_sustech_qk_meng
南山科技园,"[(320, 62, 64)]",1,19_sustech_qk_meng
双拥街,"[(83, 9, 10)]",1,19_sustech_qk_meng
后海,"[(263, 33, 34), (263, 35, 36), (376, 33, 34), (400, 4, 5)]",4,19_sustech_qk_meng
啊园岭,"[(437, 2, 3)]",1,19_sustech_qk_meng
四季,"[(359, 4, 5)]",1,19_sustech_qk_meng
四季花城,"[(354, 33, 35), (355, 15, 16), (356, 1, 3), (357, 2, 3), (363, 7, 8)]",5,19_sustech_qk_meng
地王,"[(226, 45, 46), (226, 47, 48), (548, 14, 15)]",3,19_sustech_qk_meng
地王旁边,"[(229, 41, 43)]",1,19_sustech_qk_meng
坂田,"[(19, 17, 18), (31, 28, 29), (344, 12, 13), (568, 6, 7)]",4,19_sustech_qk_meng
坪山,"[(272, 4, 5), (315, 43, 44), (320, 20, 21), (320, 35, 36), (321, 5, 6), (321, 22, 23), (322, 27, 28), (322, 32, 33), (341, 6, 7), (398, 20, 21)]",10,19_sustech_qk_meng
塘朗山,"[(146, 8, 9)]",1,19_sustech_qk_meng
大亚湾,"[(319, 23, 24), (398, 22, 23)]",2,19_sustech_qk_meng
大梅沙,"[(176, 9, 10), (176, 83, 84), (443, 9, 10)]",3,19_sustech_qk_meng
大运体育馆,"[(237, 3, 5)]",1,19_sustech_qk_meng
大鹏,"[(272, 10, 11)]",1,19_sustech_qk_meng
宝安,"[(246, 19, 20), (263, 41, 42), (266, 48, 49), (273, 6, 7)]",4,19_sustech_qk_meng
就园岭,"[(436, 27, 28)]",1,19_sustech_qk_meng
山姆,"[(207, 49, 50)]",1,19_sustech_qk_meng
山姆会员,"[(207, 41, 43)]",1,19_sustech_qk_meng
岗厦,"[(580, 4, 5)]",1,19_sustech_qk_meng
岗厦北,"[(338, 75, 76), (338, 78, 79), (573, 24, 25)]",3,19_sustech_qk_meng
广东,"[(408, 2, 3), (409, 7, 8)]",2,19_sustech_qk_meng
广州,"[(407, 54, 55), (407, 59, 60), (410, 0, 1), (414, 33, 34), (496, 7, 8), (577, 19, 20)]",6,19_sustech_qk_meng
惠州南站,"[(324, 7, 9), (324, 12, 14)]",2,19_sustech_qk_meng
振兴,"[(128, 24, 25)]",1,19_sustech_qk_meng
星河,"[(60, 23, 24), (344, 64, 65)]",2,19_sustech_qk_meng
景田,"[(37, 68, 69), (37, 74, 75), (37, 81, 82), (48, 6, 7), (124, 29, 30), (135, 30, 31), (135, 32, 33), (135, 73, 74), (207, 13, 14), (207, 53, 54)]",10,19_sustech_qk_meng
松岗,"[(239, 78, 79)]",1,19_sustech_qk_meng
桃源村,"[(217, 31, 32)]",1,19_sustech_qk_meng
梅关,"[(60, 42, 43)]",1,19_sustech_qk_meng
梅林,"[(95, 12, 13), (135, 10, 11), (135, 17, 18)]",3,19_sustech_qk_meng
