location_name,value,count,filename
东二,"[(119, 11, 12)]",1,1_SZUZJY_来深33年邹先生
东莞,"[(87, 5, 6), (87, 18, 19), (88, 1, 2)]",3,1_SZUZJY_来深33年邹先生
中国,"[(50, 34, 35)]",1,1_SZUZJY_来深33年邹先生
亚洲,"[(298, 23, 24), (301, 2, 3)]",2,1_SZUZJY_来深33年邹先生
人民路,"[(296, 6, 7)]",1,1_SZUZJY_来深33年邹先生
光明,"[(64, 6, 7)]",1,1_SZUZJY_来深33年邹先生
关内,"[(214, 10, 11), (215, 21, 22), (325, 3, 4)]",3,1_SZUZJY_来深33年邹先生
兴宁,"[(130, 27, 28)]",1,1_SZUZJY_来深33年邹先生
兴宁汽车站,"[(36, 8, 10)]",1,1_SZUZJY_来深33年邹先生
前海,"[(60, 18, 19), (241, 7, 8), (242, 18, 19)]",3,1_SZUZJY_来深33年邹先生
前海湾,"[(242, 0, 1)]",1,1_SZUZJY_来深33年邹先生
华强北,"[(60, 55, 56)]",1,1_SZUZJY_来深33年邹先生
南山,"[(56, 22, 23), (64, 0, 1), (67, 14, 15), (211, 26, 27), (214, 18, 19), (215, 24, 25), (219, 18, 19)]",7,1_SZUZJY_来深33年邹先生
南山区,"[(60, 17, 18), (74, 10, 11)]",2,1_SZUZJY_来深33年邹先生
台湾,"[(294, 19, 20)]",1,1_SZUZJY_来深33年邹先生
地王大厦,"[(234, 27, 29)]",1,1_SZUZJY_来深33年邹先生
坪山,"[(64, 11, 12)]",1,1_SZUZJY_来深33年邹先生
坪山区,"[(61, 6, 7)]",1,1_SZUZJY_来深33年邹先生
塘朗,"[(183, 11, 12)]",1,1_SZUZJY_来深33年邹先生
大浪,"[(30, 23, 24)]",1,1_SZUZJY_来深33年邹先生
宝安,"[(57, 6, 7), (61, 16, 17), (64, 28, 29), (74, 38, 39), (216, 32, 33), (220, 4, 5)]",6,1_SZUZJY_来深33年邹先生
客家,"[(119, 14, 15)]",1,1_SZUZJY_来深33年邹先生
广东,"[(133, 17, 18)]",1,1_SZUZJY_来深33年邹先生
广州,"[(249, 8, 9), (249, 12, 13), (251, 5, 6), (252, 3, 4), (256, 5, 6), (258, 0, 1), (259, 20, 21), (272, 25, 26)]",8,1_SZUZJY_来深33年邹先生
德国,"[(287, 5, 6)]",1,1_SZUZJY_来深33年邹先生
明区,"[(61, 24, 25)]",1,1_SZUZJY_来深33年邹先生
梅州,"[(130, 26, 27)]",1,1_SZUZJY_来深33年邹先生
梅林关,"[(32, 29, 30), (327, 5, 6)]",2,1_SZUZJY_来深33年邹先生
梧桐山,"[(129, 8, 9), (130, 58, 59)]",2,1_SZUZJY_来深33年邹先生
欧洲,"[(287, 7, 8)]",1,1_SZUZJY_来深33年邹先生
民治,"[(119, 8, 9)]",1,1_SZUZJY_来深33年邹先生
民治街道办东二市场,"[(8, 45, 49)]",1,1_SZUZJY_来深33年邹先生
汕头,"[(61, 8, 9)]",1,1_SZUZJY_来深33年邹先生
沙田,"[(185, 10, 11)]",1,1_SZUZJY_来深33年邹先生
深圳,"[(1, 2, 3), (1, 30, 31), (6, 10, 11), (24, 15, 16), (41, 11, 12), (41, 22, 23), (46, 15, 16), (47, 26, 27), (47, 31, 32), (47, 45, 46), (49, 2, 3), (49, 15, 16), (49, 38, 39), (49, 45, 46), (50, 12, 13), (50, 32, 33), (51, 5, 6), (51, 17, 18), (51, 30, 31), (52, 10, 11), (56, 14, 15), (65, 12, 13), (69, 19, 20), (72, 0, 1), (74, 8, 9), (77, 2, 3), (156, 5, 6), (156, 13, 14), (156, 19, 20), (167, 14, 15), (171, 2, 3), (186, 9, 10), (204, 15, 16), (204, 23, 24), (209, 16, 17), (210, 10, 11), (211, 3, 4), (211, 8, 9), (216, 6, 7), (223, 1, 2), (224, 5, 6), (224, 19, 20), (225, 7, 8), (225, 12, 13), (226, 6, 7), (226, 21, 22), (226, 29, 30), (226, 49, 50), (230, 10, 11), (236, 11, 12), (237, 3, 4), (237, 11, 12), (237, 15, 16), (241, 5, 6), (250, 7, 8), (251, 10, 11), (255, 10, 11), (255, 17, 18), (258, 20, 21), (259, 0, 1), (260, 9, 10), (261, 3, 4), (265, 1, 2), (265, 23, 24), (266, 10, 11), (272, 6, 7), (274, 4, 5), (282, 20, 21), (284, 6, 7), (285, 5, 6), (288, 3, 4), (295, 5, 6), (298, 20, 21)]",73,1_SZUZJY_来深33年邹先生
深圳市,"[(47, 12, 13), (78, 0, 1), (187, 9, 10), (211, 19, 20), (326, 14, 15)]",5,1_SZUZJY_来深33年邹先生
深圳帝王大厦,"[(297, 26, 29), (301, 7, 10)]",2,1_SZUZJY_来深33年邹先生
清湖,"[(130, 56, 57), (136, 8, 9), (183, 9, 10)]",3,1_SZUZJY_来深33年邹先生
清湖站,"[(130, 35, 36), (130, 43, 44)]",2,1_SZUZJY_来深33年邹先生
清福站,"[(185, 8, 9)]",1,1_SZUZJY_来深33年邹先生
牛地铺,"[(32, 6, 7)]",1,1_SZUZJY_来深33年邹先生
福田,"[(56, 20, 21), (65, 2, 3), (67, 12, 13), (67, 43, 44), (107, 9, 10), (211, 24, 25), (214, 15, 16), (215, 26, 27), (219, 17, 18), (307, 12, 13)]",10,1_SZUZJY_来深33年邹先生
福田区,"[(60, 27, 28), (60, 29, 30), (74, 11, 12)]",3,1_SZUZJY_来深33年邹先生
第四工业区,"[(11, 8, 10)]",1,1_SZUZJY_来深33年邹先生
罗湖,"[(56, 18, 19), (63, 21, 22), (67, 16, 17), (106, 6, 7), (107, 7, 8), (204, 16, 17), (211, 22, 23), (212, 5, 6), (214, 13, 14), (215, 22, 23), (233, 2, 3), (320, 3, 4), (321, 6, 7)]",13,1_SZUZJY_来深33年邹先生
罗湖书城,"[(8, 33, 35), (234, 30, 32)]",2,1_SZUZJY_来深33年邹先生
罗湖区,"[(74, 12, 13), (311, 3, 4), (312, 4, 5)]",3,1_SZUZJY_来深33年邹先生
罗湖地铁站,"[(232, 14, 16)]",1,1_SZUZJY_来深33年邹先生
美国,"[(287, 12, 13)]",1,1_SZUZJY_来深33年邹先生
莲花山公园,"[(235, 17, 19)]",1,1_SZUZJY_来深33年邹先生
观澜,"[(79, 11, 12), (82, 4, 5), (83, 4, 5), (84, 6, 7), (85, 6, 7), (87, 1, 2)]",6,1_SZUZJY_来深33年邹先生
金桥花园,"[(31, 5, 7)]",1,1_SZUZJY_来深33年邹先生
阳台山,"[(129, 3, 4), (130, 52, 53)]",2,1_SZUZJY_来深33年邹先生
阳台山公园,"[(136, 11, 13)]",1,1_SZUZJY_来深33年邹先生
香港,"[(234, 11, 12)]",1,1_SZUZJY_来深33年邹先生
