location_name,value,count,filename
三亚,"[(154, 14, 15)]",1,2_JNU LLW_RRAY
上海,"[(541, 6, 7), (541, 11, 12)]",2,2_JNU LLW_RRAY
东莞,"[(259, 31, 32)]",1,2_JNU LLW_RRAY
中山,"[(135, 7, 8)]",1,2_JNU LLW_RRAY
前海,"[(249, 17, 18), (249, 22, 23)]",2,2_JNU LLW_RRAY
南坪,"[(195, 28, 29)]",1,2_JNU LLW_RRAY
南山,"[(45, 10, 11), (47, 4, 5), (48, 3, 4), (56, 13, 14), (62, 8, 9), (63, 3, 4), (68, 21, 22), (68, 33, 34), (199, 12, 13), (199, 23, 24), (200, 20, 21), (201, 2, 3), (201, 3, 4), (209, 41, 42), (209, 46, 47), (215, 12, 13), (216, 3, 4), (216, 5, 6), (216, 10, 11), (216, 19, 20), (222, 5, 6), (223, 3, 4), (223, 7, 8), (223, 23, 24), (238, 24, 25), (241, 0, 1), (244, 5, 6), (245, 11, 12), (257, 53, 54), (359, 30, 31), (377, 10, 11), (378, 12, 13), (378, 22, 23), (379, 0, 1), (583, 10, 11), (584, 7, 8)]",36,2_JNU LLW_RRAY
台湾,"[(162, 3, 4)]",1,2_JNU LLW_RRAY
台湾花园,"[(159, 8, 10), (159, 12, 14)]",2,2_JNU LLW_RRAY
四川,"[(16, 9, 10)]",1,2_JNU LLW_RRAY
坂田,"[(231, 27, 28), (257, 49, 50), (273, 14, 15)]",3,2_JNU LLW_RRAY
大芬,"[(387, 5, 6), (533, 24, 25)]",2,2_JNU LLW_RRAY
安徽,"[(407, 3, 4), (408, 3, 4)]",2,2_JNU LLW_RRAY
宜宾,"[(14, 3, 4), (15, 3, 4), (16, 7, 8), (16, 10, 11), (18, 3, 4)]",5,2_JNU LLW_RRAY
宝安,"[(209, 47, 48), (217, 6, 7), (217, 10, 11), (217, 18, 19), (218, 6, 7), (218, 7, 8), (236, 75, 76), (257, 56, 57)]",8,2_JNU LLW_RRAY
宝安机场,"[(525, 9, 11)]",1,2_JNU LLW_RRAY
巴丁街,"[(163, 5, 6), (165, 5, 6)]",2,2_JNU LLW_RRAY
布吉,"[(45, 5, 6), (45, 24, 25), (46, 7, 8), (46, 11, 12), (50, 7, 8), (51, 10, 11), (51, 12, 13), (51, 15, 16), (52, 7, 8), (53, 6, 7), (53, 16, 17), (54, 6, 7), (56, 17, 18), (302, 11, 12), (320, 13, 14), (533, 28, 29)]",16,2_JNU LLW_RRAY
广州,"[(116, 19, 20), (135, 10, 11), (259, 43, 44), (529, 14, 15), (529, 30, 31), (539, 8, 9), (540, 3, 4), (541, 4, 5), (543, 0, 1), (544, 4, 5), (544, 6, 7), (544, 10, 11)]",12,2_JNU LLW_RRAY
惠州,"[(135, 4, 5), (136, 3, 4), (236, 21, 22), (259, 33, 34)]",4,2_JNU LLW_RRAY
泉州,"[(150, 15, 16), (151, 3, 4), (152, 5, 6)]",3,2_JNU LLW_RRAY
深南,"[(184, 8, 9)]",1,2_JNU LLW_RRAY
深南大道,"[(193, 16, 18)]",1,2_JNU LLW_RRAY
深圳,"[(1, 13, 14), (12, 6, 7), (34, 13, 14), (35, 9, 10), (44, 12, 13), (56, 10, 11), (79, 10, 11), (106, 22, 23), (155, 11, 12), (170, 3, 4), (187, 1, 2), (199, 25, 26), (230, 11, 12), (232, 17, 18), (268, 13, 14), (316, 54, 55), (326, 15, 16), (435, 22, 23), (455, 12, 13), (455, 20, 21), (462, 9, 10), (463, 3, 4), (464, 15, 16), (464, 25, 26), (483, 8, 9), (502, 16, 17), (511, 8, 9), (528, 3, 4), (529, 4, 5), (529, 8, 9), (529, 24, 25), (551, 6, 7), (551, 10, 11), (557, 6, 7)]",34,2_JNU LLW_RRAY
深圳北站,"[(527, 1, 3)]",1,2_JNU LLW_RRAY
深圳大剧院,"[(515, 8, 11)]",1,2_JNU LLW_RRAY
深圳市,"[(234, 2, 3), (260, 16, 17)]",2,2_JNU LLW_RRAY
深圳湾,"[(226, 25, 26), (227, 0, 1), (227, 9, 10), (227, 11, 12), (227, 15, 16), (521, 10, 11)]",6,2_JNU LLW_RRAY
皇岗,"[(226, 11, 12)]",1,2_JNU LLW_RRAY
福建,"[(148, 60, 61), (152, 4, 5), (154, 12, 13)]",3,2_JNU LLW_RRAY
福田,"[(200, 14, 15), (200, 16, 17), (209, 31, 32), (210, 9, 10), (215, 5, 6), (215, 8, 9), (216, 17, 18), (226, 15, 16), (238, 20, 21), (238, 22, 23), (258, 7, 8), (519, 7, 8), (521, 7, 8)]",13,2_JNU LLW_RRAY
福田区,"[(163, 4, 5)]",1,2_JNU LLW_RRAY
笋岗,"[(98, 21, 22), (313, 8, 9), (315, 9, 10), (389, 25, 26), (390, 3, 4), (586, 6, 7), (587, 7, 8), (596, 7, 8)]",8,2_JNU LLW_RRAY
罗湖,"[(68, 19, 20), (68, 27, 28), (98, 13, 14), (98, 20, 21), (200, 7, 8), (200, 11, 12), (200, 12, 13), (203, 5, 6), (204, 7, 8), (205, 4, 5), (205, 6, 7), (205, 19, 20), (207, 14, 15), (208, 8, 9), (209, 18, 19), (225, 14, 15), (225, 19, 20), (225, 37, 38), (226, 3, 4), (228, 8, 9), (229, 3, 4), (230, 4, 5), (231, 3, 4), (232, 7, 8), (233, 16, 17), (235, 11, 12), (236, 13, 14), (258, 5, 6), (313, 7, 8), (315, 8, 9), (339, 7, 8), (359, 10, 11), (359, 27, 28), (377, 9, 10), (378, 6, 7), (378, 10, 11), (388, 3, 4), (389, 4, 5), (519, 4, 5), (521, 4, 5), (581, 3, 4)]",41,2_JNU LLW_RRAY
