location_name,value,count,filename
上步,"[(284, 12, 13)]",1,2_JNU LLW_XBB
上步区,"[(249, 41, 42)]",1,2_JNU LLW_XBB
东湖,"[(254, 13, 14), (254, 18, 19)]",2,2_JNU LLW_XBB
东莞,"[(295, 1, 2), (685, 25, 26), (692, 4, 5), (693, 10, 11), (694, 6, 7)]",5,2_JNU LLW_XBB
五湖,"[(254, 3, 4)]",1,2_JNU LLW_XBB
人民公园,"[(99, 12, 14)]",1,2_JNU LLW_XBB
光明,"[(215, 25, 26)]",1,2_JNU LLW_XBB
前海,"[(233, 8, 9), (235, 18, 19), (236, 6, 7), (236, 15, 16)]",4,2_JNU LLW_XBB
北京,"[(385, 4, 5), (385, 6, 7), (386, 4, 5), (402, 9, 10), (657, 6, 7), (659, 4, 5), (663, 5, 6), (664, 5, 6), (665, 3, 4)]",9,2_JNU LLW_XBB
北环路,"[(424, 9, 10)]",1,2_JNU LLW_XBB
华强北,"[(284, 21, 22), (286, 13, 14), (287, 2, 3), (413, 60, 61)]",4,2_JNU LLW_XBB
南头,"[(249, 51, 52)]",1,2_JNU LLW_XBB
南山,"[(202, 23, 24), (249, 28, 29), (249, 43, 44), (249, 45, 46), (249, 49, 50), (708, 22, 23), (711, 7, 8), (714, 8, 9), (715, 5, 6)]",9,2_JNU LLW_XBB
塘坑,"[(603, 5, 6)]",1,2_JNU LLW_XBB
大湾区,"[(218, 32, 33), (219, 7, 8), (220, 8, 9), (220, 20, 21), (224, 8, 9)]",5,2_JNU LLW_XBB
宝安,"[(214, 17, 18), (215, 10, 11), (215, 20, 21), (215, 27, 28), (260, 4, 5), (261, 3, 4)]",6,2_JNU LLW_XBB
宝安县,"[(212, 38, 39), (244, 8, 9)]",2,2_JNU LLW_XBB
布吉,"[(18, 0, 1), (35, 14, 15), (43, 21, 22), (109, 13, 14), (361, 60, 61), (706, 15, 16), (707, 6, 7), (708, 6, 7), (713, 25, 26)]",9,2_JNU LLW_XBB
平山,"[(215, 42, 43)]",1,2_JNU LLW_XBB
广州,"[(658, 3, 4), (659, 5, 6), (660, 11, 12), (661, 4, 5), (685, 27, 28), (694, 9, 10), (696, 11, 12), (702, 5, 6)]",8,2_JNU LLW_XBB
惠州,"[(295, 4, 5), (689, 11, 12), (691, 37, 38)]",3,2_JNU LLW_XBB
新城大厦,"[(163, 4, 6)]",1,2_JNU LLW_XBB
新疆,"[(458, 10, 11), (460, 3, 4), (460, 10, 11), (462, 2, 3), (465, 3, 4), (466, 4, 5)]",6,2_JNU LLW_XBB
松井,"[(692, 14, 15)]",1,2_JNU LLW_XBB
松岗,"[(692, 21, 22)]",1,2_JNU LLW_XBB
梅林,"[(116, 5, 6)]",1,2_JNU LLW_XBB
沙井,"[(692, 16, 17), (692, 18, 19)]",2,2_JNU LLW_XBB
沙头角,"[(598, 23, 24)]",1,2_JNU LLW_XBB
深圳,"[(5, 9, 10), (8, 3, 4), (21, 38, 39), (21, 65, 66), (23, 9, 10), (23, 15, 16), (42, 26, 27), (43, 4, 5), (149, 32, 33), (179, 10, 11), (179, 23, 24), (184, 14, 15), (212, 2, 3), (218, 12, 13), (218, 16, 17), (226, 4, 5), (228, 4, 5), (252, 8, 9), (267, 7, 8), (274, 14, 15), (275, 3, 4), (320, 9, 10), (330, 17, 18), (335, 0, 1), (338, 17, 18), (338, 22, 23), (382, 9, 10), (383, 17, 18), (384, 4, 5), (388, 5, 6), (390, 15, 16), (393, 5, 6), (400, 25, 26), (403, 3, 4), (539, 6, 7), (550, 10, 11), (581, 15, 16), (611, 10, 11), (611, 12, 13), (620, 14, 15), (646, 9, 10), (660, 15, 16), (661, 9, 10), (667, 12, 13), (669, 13, 14), (675, 0, 1), (679, 15, 16), (682, 3, 4), (685, 20, 21), (696, 24, 25)]",50,2_JNU LLW_XBB
深圳市,"[(211, 7, 8), (212, 4, 5), (212, 8, 9), (212, 32, 33), (244, 11, 12), (268, 3, 4), (453, 0, 1), (512, 22, 23)]",8,2_JNU LLW_XBB
深圳湾,"[(263, 12, 13), (413, 42, 43), (413, 52, 53)]",3,2_JNU LLW_XBB
深圳经济特区,"[(212, 10, 13)]",1,2_JNU LLW_XBB
白云县,"[(214, 3, 4)]",1,2_JNU LLW_XBB
盐田,"[(202, 27, 28)]",1,2_JNU LLW_XBB
石岩湖,"[(256, 5, 6), (256, 11, 12), (259, 3, 4), (261, 5, 6)]",4,2_JNU LLW_XBB
福田,"[(19, 9, 10), (20, 6, 7), (27, 9, 10), (33, 8, 9), (43, 16, 17), (50, 15, 16), (56, 4, 5), (121, 19, 20), (121, 24, 25), (121, 26, 27), (163, 9, 10), (173, 30, 31), (202, 21, 22), (247, 8, 9), (249, 31, 32), (249, 33, 34), (249, 37, 38), (324, 18, 19), (354, 7, 8), (648, 12, 13), (706, 17, 18), (707, 8, 9), (708, 17, 18), (709, 7, 8), (713, 18, 19), (713, 21, 22)]",26,2_JNU LLW_XBB
福田区,"[(323, 18, 19)]",1,2_JNU LLW_XBB
福田民俗村,"[(109, 4, 6)]",1,2_JNU LLW_XBB
笔架山,"[(121, 3, 4)]",1,2_JNU LLW_XBB
罗湖,"[(24, 7, 8), (24, 9, 10), (31, 4, 5), (32, 3, 4), (48, 6, 7), (48, 7, 8), (48, 8, 9), (49, 4, 5), (159, 22, 23), (160, 3, 4), (164, 15, 16), (167, 6, 7), (173, 19, 20), (202, 19, 20), (206, 5, 6), (207, 10, 11), (209, 8, 9), (210, 5, 6), (214, 11, 12), (241, 30, 31), (248, 5, 6), (248, 35, 36), (251, 6, 7), (705, 5, 6), (706, 3, 4), (706, 9, 10), (706, 10, 11), (706, 13, 14), (707, 4, 5), (708, 12, 13), (709, 3, 4), (713, 15, 16), (716, 6, 7), (722, 4, 5)]",34,2_JNU LLW_XBB
罗湖区,"[(173, 6, 7)]",1,2_JNU LLW_XBB
西丽,"[(413, 36, 37)]",1,2_JNU LLW_XBB
西丽湖,"[(256, 3, 4)]",1,2_JNU LLW_XBB
西噢西丽,"[(109, 7, 8)]",1,2_JNU LLW_XBB
解放路,"[(30, 5, 6), (31, 5, 6), (32, 5, 6), (49, 5, 6), (155, 8, 9), (156, 6, 7), (156, 10, 11), (158, 5, 6), (171, 5, 6), (717, 12, 13), (719, 4, 5), (721, 3, 4), (722, 5, 6), (725, 16, 17), (725, 19, 20)]",15,2_JNU LLW_XBB
谷歌,"[(712, 14, 15)]",1,2_JNU LLW_XBB
银湖,"[(116, 6, 7), (116, 8, 9), (121, 12, 13), (142, 7, 8), (254, 22, 23), (254, 26, 27)]",6,2_JNU LLW_XBB
香港,"[(597, 3, 4)]",1,2_JNU LLW_XBB
香蜜湖,"[(254, 33, 34)]",1,2_JNU LLW_XBB
黄冈山,"[(109, 16, 17)]",1,2_JNU LLW_XBB
黄港,"[(112, 8, 9)]",1,2_JNU LLW_XBB
龙岗,"[(20, 8, 9), (43, 20, 21), (44, 37, 38), (47, 7, 8), (214, 21, 22), (215, 2, 3), (215, 33, 34), (215, 46, 47), (291, 13, 14), (323, 31, 32), (355, 11, 12), (708, 7, 8)]",12,2_JNU LLW_XBB
龙龙华,"[(215, 30, 31)]",1,2_JNU LLW_XBB
