location_name,value,count,filename
上塘,"[(19, 31, 32), (19, 34, 35), (23, 3, 4)]",3,3_SZTUWWX_李先生
上塘站,"[(309, 10, 12)]",1,3_SZTUWWX_李先生
东门,"[(179, 53, 54), (181, 9, 10)]",2,3_SZTUWWX_李先生
关内,"[(178, 30, 31), (179, 13, 14)]",2,3_SZTUWWX_李先生
北京,"[(573, 9, 10), (574, 5, 6), (597, 7, 8), (597, 9, 10), (608, 3, 4), (612, 10, 11)]",6,3_SZTUWWX_李先生
华强北,"[(18, 5, 6), (87, 3, 4), (226, 10, 11), (251, 9, 10), (255, 10, 11)]",5,3_SZTUWWX_李先生
南山,"[(178, 18, 19), (180, 13, 14), (180, 18, 19), (180, 31, 32), (187, 18, 19)]",5,3_SZTUWWX_李先生
厦门,"[(313, 3, 4), (569, 9, 10), (569, 13, 14), (572, 3, 4), (574, 3, 4), (575, 7, 8), (575, 12, 13), (575, 18, 19), (575, 42, 43), (576, 3, 4), (591, 5, 6)]",11,3_SZTUWWX_李先生
园岭,"[(17, 17, 18), (179, 51, 52)]",2,3_SZTUWWX_李先生
园林,"[(184, 1, 2)]",1,3_SZTUWWX_李先生
宝安,"[(194, 48, 49)]",1,3_SZTUWWX_李先生
布吉,"[(529, 3, 4), (533, 0, 1)]",2,3_SZTUWWX_李先生
新岭,"[(140, 7, 8)]",1,3_SZTUWWX_李先生
杭州,"[(573, 11, 12), (574, 7, 8), (614, 4, 5)]",3,3_SZTUWWX_李先生
桂园,"[(179, 52, 53)]",1,3_SZTUWWX_李先生
梅岭,"[(398, 2, 3), (399, 4, 5)]",2,3_SZTUWWX_李先生
梅林,"[(87, 6, 7), (91, 8, 9), (98, 35, 36), (105, 3, 4), (125, 5, 6), (134, 11, 12), (140, 4, 5), (140, 10, 11), (142, 14, 15), (142, 24, 25), (365, 17, 18), (366, 18, 19), (366, 21, 22), (402, 14, 15)]",14,3_SZTUWWX_李先生
梅林站,"[(364, 14, 15), (364, 20, 21)]",2,3_SZTUWWX_李先生
横岗,"[(341, 3, 4), (342, 3, 4), (344, 3, 4), (350, 9, 10), (353, 49, 50)]",5,3_SZTUWWX_李先生
深圳,"[(1, 31, 32), (1, 64, 65), (15, 7, 8), (28, 6, 7), (66, 14, 15), (157, 9, 10), (158, 17, 18), (167, 9, 10), (187, 39, 40), (191, 6, 7), (222, 11, 12), (285, 20, 21), (309, 4, 5), (309, 7, 8), (418, 26, 27), (441, 5, 6), (445, 12, 13), (445, 22, 23), (446, 4, 5), (465, 27, 28), (469, 7, 8), (504, 15, 16), (510, 4, 5), (517, 32, 33), (527, 11, 12), (536, 8, 9), (537, 4, 5), (575, 14, 15), (594, 18, 19), (595, 12, 13), (598, 5, 6), (605, 0, 1), (608, 28, 29), (611, 8, 9), (615, 8, 9), (625, 17, 18)]",36,3_SZTUWWX_李先生
深圳北站,"[(509, 12, 14)]",1,3_SZTUWWX_李先生
石岩,"[(194, 52, 53)]",1,3_SZTUWWX_李先生
福建,"[(315, 3, 4)]",1,3_SZTUWWX_李先生
福建省,"[(314, 0, 1)]",1,3_SZTUWWX_李先生
福永,"[(194, 51, 52)]",1,3_SZTUWWX_李先生
福田,"[(12, 27, 28), (17, 14, 15), (104, 22, 23), (178, 11, 12), (179, 41, 42), (179, 42, 43), (187, 11, 12), (247, 13, 14), (249, 3, 4), (565, 5, 6)]",10,3_SZTUWWX_李先生
红荔路,"[(251, 11, 12), (251, 13, 14)]",2,3_SZTUWWX_李先生
罗湖,"[(104, 17, 18), (178, 13, 14), (179, 44, 45), (187, 13, 14), (247, 5, 6)]",5,3_SZTUWWX_李先生
罗湖区,"[(71, 3, 4)]",1,3_SZTUWWX_李先生
老街,"[(533, 2, 3)]",1,3_SZTUWWX_李先生
莲塘,"[(69, 20, 21), (69, 26, 27), (71, 4, 5), (78, 7, 8), (239, 8, 9), (240, 1, 2), (268, 2, 3)]",7,3_SZTUWWX_李先生
莲塘站,"[(283, 7, 8)]",1,3_SZTUWWX_李先生
西乡,"[(201, 3, 4)]",1,3_SZTUWWX_李先生
车公庙,"[(533, 4, 5), (543, 28, 29)]",2,3_SZTUWWX_李先生
通新岭,"[(142, 6, 7), (142, 18, 19), (350, 5, 6), (450, 33, 34)]",4,3_SZTUWWX_李先生
银湖,"[(409, 5, 6)]",1,3_SZTUWWX_李先生
长岭东,"[(125, 3, 4), (126, 6, 7)]",2,3_SZTUWWX_李先生
高德,"[(101, 16, 17), (106, 25, 26)]",2,3_SZTUWWX_李先生
黄木岗,"[(552, 0, 1), (554, 0, 1), (558, 23, 24), (562, 7, 8), (565, 3, 4)]",5,3_SZTUWWX_李先生
黄木岗站,"[(551, 6, 7)]",1,3_SZTUWWX_李先生
龙华,"[(12, 29, 30), (19, 29, 30), (187, 23, 24), (187, 27, 28), (187, 34, 35), (229, 7, 8), (247, 11, 12), (268, 0, 1), (508, 3, 4), (509, 7, 8)]",10,3_SZTUWWX_李先生
龙华北站,"[(507, 37, 39)]",1,3_SZTUWWX_李先生
龙岗,"[(194, 43, 44), (507, 32, 33)]",2,3_SZTUWWX_李先生
龙胜,"[(366, 8, 9), (398, 6, 7), (399, 6, 7)]",3,3_SZTUWWX_李先生
龙胜站,"[(364, 9, 10)]",1,3_SZTUWWX_李先生
