location_name,value,count,filename
上海,"[(600, 5, 6)]",1,4_UT_LJY_XW
中英街,"[(258, 19, 20)]",1,4_UT_LJY_XW
五华,"[(120, 5, 6)]",1,4_UT_LJY_XW
人民桥,"[(130, 38, 39)]",1,4_UT_LJY_XW
保安,"[(166, 41, 42)]",1,4_UT_LJY_XW
光明,"[(33, 72, 73), (568, 12, 13)]",2,4_UT_LJY_XW
八卦岭,"[(204, 20, 21), (206, 19, 20)]",2,4_UT_LJY_XW
关内,"[(75, 9, 10), (564, 2, 3)]",2,4_UT_LJY_XW
冈厦北,"[(597, 1, 2)]",1,4_UT_LJY_XW
北京,"[(600, 3, 4)]",1,4_UT_LJY_XW
北站,"[(221, 21, 22)]",1,4_UT_LJY_XW
区中区,"[(60, 1, 2)]",1,4_UT_LJY_XW
华强北,"[(202, 31, 32), (254, 24, 25)]",2,4_UT_LJY_XW
南山,"[(33, 44, 45), (403, 35, 36), (414, 6, 7)]",3,4_UT_LJY_XW
厦,"[(592, 6, 7)]",1,4_UT_LJY_XW
厦北地铁站,"[(587, 7, 10)]",1,4_UT_LJY_XW
地王,"[(103, 8, 9), (583, 9, 10)]",2,4_UT_LJY_XW
坪山,"[(27, 27, 28), (27, 29, 30), (27, 35, 36), (33, 70, 71), (166, 37, 38), (174, 7, 8), (182, 14, 15), (413, 8, 9), (414, 9, 10), (419, 7, 8), (543, 16, 17), (559, 6, 7)]",12,4_UT_LJY_XW
坪山新区,"[(167, 23, 25), (174, 22, 24)]",2,4_UT_LJY_XW
大运体育中心,"[(308, 4, 7)]",1,4_UT_LJY_XW
宝安,"[(33, 64, 65)]",1,4_UT_LJY_XW
岗厦北,"[(593, 1, 2)]",1,4_UT_LJY_XW
