location_name,value,count,filename
东门,"[(163, 4, 5)]",1,5_CS+刘阿姨
五洲城,"[(723, 6, 7)]",1,5_CS+刘阿姨
人人购物广场,"[(83, 10, 13)]",1,5_CS+刘阿姨
华强,"[(629, 8, 9)]",1,5_CS+刘阿姨
南山,"[(40, 4, 5), (45, 16, 17), (132, 6, 7), (133, 3, 4)]",4,5_CS+刘阿姨
南山区,"[(41, 6, 7), (379, 9, 10), (380, 3, 4), (633, 30, 31)]",4,5_CS+刘阿姨
博罗,"[(226, 10, 11)]",1,5_CS+刘阿姨
厦门,"[(410, 6, 7)]",1,5_CS+刘阿姨
双龙,"[(69, 10, 11), (72, 22, 23), (150, 5, 6), (168, 5, 6), (177, 3, 4), (694, 10, 11), (718, 7, 8), (718, 10, 11), (723, 3, 4), (734, 5, 6), (805, 3, 4), (839, 19, 20), (856, 14, 15), (911, 9, 10), (911, 19, 20), (919, 24, 25), (920, 4, 5)]",17,5_CS+刘阿姨
地铁站,"[(731, 9, 10)]",1,5_CS+刘阿姨
圳北,"[(392, 20, 21)]",1,5_CS+刘阿姨
坪地,"[(19, 3, 4), (209, 10, 11), (571, 5, 6)]",3,5_CS+刘阿姨
坪山,"[(396, 12, 13), (641, 10, 11), (643, 21, 22), (644, 3, 4), (644, 7, 8), (674, 4, 5), (675, 6, 7), (885, 6, 7), (886, 4, 5), (948, 12, 13), (950, 8, 9), (951, 3, 4), (955, 20, 21), (956, 6, 7)]",14,5_CS+刘阿姨
坪山公园,"[(647, 8, 10)]",1,5_CS+刘阿姨
大丰油画村,"[(439, 30, 32)]",1,5_CS+刘阿姨
大亚湾,"[(551, 13, 14)]",1,5_CS+刘阿姨
大鹏,"[(667, 1, 2), (667, 6, 7)]",2,5_CS+刘阿姨
宝安,"[(119, 11, 12), (132, 4, 5), (133, 31, 32), (135, 3, 4), (135, 9, 10), (138, 2, 3)]",6,5_CS+刘阿姨
宝安县,"[(135, 15, 16), (136, 4, 5)]",2,5_CS+刘阿姨
布吉,"[(308, 4, 5), (493, 0, 1), (493, 1, 2)]",3,5_CS+刘阿姨
布吉大丰油画村,"[(308, 9, 12)]",1,5_CS+刘阿姨
广州,"[(388, 25, 26), (390, 10, 11), (467, 6, 7), (467, 27, 28), (469, 9, 10)]",5,5_CS+刘阿姨
惠州,"[(396, 16, 17), (404, 12, 13), (406, 8, 9)]",3,5_CS+刘阿姨
所城,"[(667, 7, 8)]",1,5_CS+刘阿姨
摩尔城,"[(608, 17, 18)]",1,5_CS+刘阿姨
梧桐山,"[(890, 12, 13)]",1,5_CS+刘阿姨
横岗,"[(727, 9, 10), (727, 12, 13)]",2,5_CS+刘阿姨
横港地,"[(731, 4, 5)]",1,5_CS+刘阿姨
永福,"[(759, 18, 19), (759, 20, 21)]",2,5_CS+刘阿姨
沙田,"[(550, 4, 5), (551, 4, 5)]",2,5_CS+刘阿姨
深,"[(392, 19, 20)]",1,5_CS+刘阿姨
深圳,"[(5, 7, 8), (6, 16, 17), (24, 15, 16), (78, 5, 6), (116, 14, 15), (116, 40, 41), (130, 22, 23), (139, 26, 27), (392, 15, 16), (404, 10, 11), (467, 42, 43), (476, 7, 8), (484, 27, 28), (520, 23, 24), (554, 10, 11), (554, 16, 17), (554, 24, 25), (557, 6, 7), (562, 17, 18), (605, 11, 12), (613, 10, 11), (633, 7, 8), (635, 25, 26), (643, 15, 16), (679, 7, 8), (762, 11, 12), (843, 10, 11), (851, 12, 13), (852, 23, 24), (866, 11, 12), (876, 5, 6), (876, 29, 30), (897, 10, 11), (963, 21, 22), (963, 33, 34), (969, 8, 9), (971, 6, 7)]",37,5_CS+刘阿姨
深圳少年宫,"[(228, 4, 6)]",1,5_CS+刘阿姨
深圳市,"[(36, 8, 9), (824, 20, 21)]",2,5_CS+刘阿姨
深圳市少年宫,"[(226, 5, 7)]",1,5_CS+刘阿姨
深惠路,"[(73, 25, 26), (267, 13, 14)]",2,5_CS+刘阿姨
百家购物广场,"[(83, 21, 24)]",1,5_CS+刘阿姨
福田,"[(133, 15, 16), (539, 12, 13), (629, 10, 11), (633, 20, 21)]",4,5_CS+刘阿姨
红花岭,"[(101, 18, 19), (102, 3, 4)]",2,5_CS+刘阿姨
罗湖,"[(127, 3, 4), (128, 3, 4), (128, 9, 10), (130, 11, 12), (130, 23, 24), (133, 6, 7), (133, 14, 15), (139, 11, 12), (151, 6, 7), (529, 8, 9), (633, 21, 22)]",11,5_CS+刘阿姨
罗瑞河,"[(667, 16, 17)]",1,5_CS+刘阿姨
罗龙岗,"[(128, 21, 22)]",1,5_CS+刘阿姨
老街,"[(168, 8, 9), (212, 11, 12)]",2,5_CS+刘阿姨
荷坳,"[(731, 7, 8), (731, 8, 9), (736, 4, 5), (759, 24, 25)]",4,5_CS+刘阿姨
荷坳地铁站,"[(732, 3, 5)]",1,5_CS+刘阿姨
莲花北,"[(900, 15, 16)]",1,5_CS+刘阿姨
西湖,"[(293, 7, 8)]",1,5_CS+刘阿姨
西湖苑别墅,"[(293, 18, 20)]",1,5_CS+刘阿姨
车公庙,"[(794, 7, 8), (856, 16, 17)]",2,5_CS+刘阿姨
香港,"[(470, 11, 12)]",1,5_CS+刘阿姨
高桥,"[(99, 19, 20)]",1,5_CS+刘阿姨
黄竹村,"[(99, 17, 18), (99, 21, 22), (99, 29, 30)]",3,5_CS+刘阿姨
龙华,"[(119, 10, 11), (509, 5, 6), (635, 9, 10)]",3,5_CS+刘阿姨
龙华区,"[(505, 3, 4), (506, 3, 4), (507, 0, 1)]",3,5_CS+刘阿姨
龙岗,"[(6, 23, 24), (6, 26, 27), (41, 15, 16), (43, 10, 11), (51, 6, 7), (52, 8, 9), (53, 6, 7), (55, 5, 6), (59, 3, 4), (69, 9, 10), (77, 20, 21), (83, 6, 7), (98, 5, 6), (99, 7, 8), (117, 4, 5), (122, 1, 2), (130, 9, 10), (133, 33, 34), (141, 9, 10), (209, 4, 5), (267, 4, 5), (267, 16, 17), (268, 4, 5), (279, 5, 6), (294, 7, 8), (319, 14, 15), (334, 6, 7), (377, 9, 10), (532, 5, 6), (534, 16, 17), (570, 10, 11), (625, 2, 3), (626, 4, 5), (635, 7, 8), (661, 8, 9), (667, 13, 14), (796, 7, 8), (797, 4, 5), (904, 5, 6), (906, 5, 6), (907, 7, 8), (920, 8, 9), (948, 10, 11), (955, 5, 6)]",44,5_CS+刘阿姨
龙岗区,"[(11, 3, 4), (12, 12, 13), (57, 6, 7), (494, 5, 6), (495, 5, 6)]",5,5_CS+刘阿姨
龙岗大道,"[(73, 21, 22)]",1,5_CS+刘阿姨
