location_name,value,count,filename
万象城,"[(229, 54, 55)]",1,7_SZUF_坚
东海,"[(229, 68, 69), (231, 49, 50), (232, 0, 1), (235, 77, 78)]",4,7_SZUF_坚
东海站,"[(235, 34, 35)]",1,7_SZUF_坚
东门町,"[(229, 37, 38)]",1,7_SZUF_坚
中国,"[(247, 41, 42)]",1,7_SZUF_坚
人民桥站,"[(77, 35, 37)]",1,7_SZUF_坚
北京,"[(170, 2, 3), (184, 17, 18), (184, 19, 20)]",3,7_SZUF_坚
华强北,"[(228, 9, 10)]",1,7_SZUF_坚
华强北站,"[(273, 11, 13), (273, 18, 20)]",2,7_SZUF_坚
南山,"[(1, 73, 74), (4, 23, 24), (7, 27, 28), (7, 30, 31), (7, 35, 36), (40, 58, 59), (42, 25, 26), (42, 42, 43), (168, 34, 35), (177, 43, 44), (177, 57, 58), (177, 71, 72)]",12,7_SZUF_坚
后海,"[(198, 26, 27)]",1,7_SZUF_坚
坂田,"[(7, 45, 46)]",1,7_SZUF_坚
坪山,"[(131, 19, 20)]",1,7_SZUF_坚
大鹏,"[(186, 31, 32)]",1,7_SZUF_坚
宝安,"[(41, 16, 17), (41, 48, 49), (42, 44, 45), (178, 5, 6)]",4,7_SZUF_坚
岗厦站,"[(150, 15, 16), (150, 71, 72), (235, 24, 25), (235, 29, 30)]",4,7_SZUF_坚
广州,"[(110, 37, 38)]",1,7_SZUF_坚
新华宾馆,"[(77, 38, 40), (77, 43, 45)]",2,7_SZUF_坚
新岭站,"[(197, 28, 29)]",1,7_SZUF_坚
日本,"[(112, 24, 25), (112, 41, 42), (113, 42, 43), (132, 7, 8), (132, 9, 10)]",5,7_SZUF_坚
景田,"[(137, 6, 7)]",1,7_SZUF_坚
松岗,"[(186, 33, 34), (187, 16, 17), (187, 28, 29)]",3,7_SZUF_坚
欢乐海岸地铁站,"[(223, 14, 17)]",1,7_SZUF_坚
河北,"[(170, 13, 14)]",1,7_SZUF_坚
泰然,"[(46, 13, 14)]",1,7_SZUF_坚
深圳,"[(0, 14, 15), (6, 9, 10), (18, 9, 10), (33, 7, 8), (34, 8, 9), (35, 21, 22), (35, 40, 41), (36, 31, 32), (36, 48, 49), (38, 9, 10), (39, 59, 60), (41, 1, 2), (53, 14, 15), (64, 6, 7), (111, 5, 6), (111, 43, 44), (113, 6, 7), (125, 6, 7), (126, 37, 38), (131, 17, 18), (132, 36, 37), (137, 2, 3), (139, 22, 23), (140, 20, 21), (141, 7, 8), (146, 13, 14), (154, 41, 42), (156, 9, 10), (156, 34, 35), (158, 7, 8), (161, 7, 8), (167, 11, 12), (167, 24, 25), (168, 14, 15), (168, 20, 21), (168, 60, 61), (175, 1, 2), (177, 32, 33), (180, 0, 1), (181, 55, 56), (181, 70, 71), (183, 36, 37), (184, 0, 1), (186, 15, 16), (187, 75, 76), (194, 14, 15), (237, 7, 8), (267, 15, 16), (270, 2, 3)]",49,7_SZUF_坚
深圳市,"[(65, 47, 48), (82, 37, 38)]",2,7_SZUF_坚
燕南,"[(197, 6, 7), (205, 24, 25), (205, 50, 51), (214, 10, 11)]",4,7_SZUF_坚
燕南站,"[(197, 30, 31), (198, 24, 25), (273, 9, 10)]",3,7_SZUF_坚
玖钻,"[(141, 62, 63)]",1,7_SZUF_坚
皇庭广场,"[(264, 7, 9)]",1,7_SZUF_坚
盐田,"[(42, 27, 28), (42, 33, 34)]",2,7_SZUF_坚
福永站,"[(246, 5, 6)]",1,7_SZUF_坚
福田,"[(1, 53, 54), (1, 58, 59), (4, 15, 16), (4, 31, 32), (7, 12, 13), (7, 14, 15), (40, 44, 45), (40, 47, 48), (42, 14, 15), (46, 4, 5), (47, 0, 1), (73, 8, 9), (168, 32, 33), (177, 41, 42), (177, 45, 46), (180, 21, 22), (195, 4, 5), (246, 27, 28)]",18,7_SZUF_坚
福田区,"[(45, 16, 17)]",1,7_SZUF_坚
站,"[(77, 45, 46)]",1,7_SZUF_坚
红树林,"[(223, 25, 26)]",1,7_SZUF_坚
罗湖,"[(1, 32, 33), (7, 8, 9), (40, 26, 27), (40, 36, 37), (42, 12, 13), (73, 13, 14), (168, 25, 26), (180, 19, 20)]",8,7_SZUF_坚
罗湖区,"[(4, 8, 9)]",1,7_SZUF_坚
罗湖站,"[(245, 6, 8)]",1,7_SZUF_坚
蛇口,"[(199, 24, 25)]",1,7_SZUF_坚
赤湾,"[(198, 39, 40)]",1,7_SZUF_坚
车公庙,"[(46, 17, 18)]",1,7_SZUF_坚
重庆,"[(113, 39, 40)]",1,7_SZUF_坚
金中环,"[(47, 6, 7)]",1,7_SZUF_坚
雄安新区,"[(170, 18, 20)]",1,7_SZUF_坚
香港,"[(108, 60, 61), (108, 66, 67), (111, 11, 12), (150, 50, 51), (150, 60, 61), (156, 21, 22), (245, 25, 26), (246, 13, 14), (246, 32, 33), (246, 40, 41)]",10,7_SZUF_坚
高新园,"[(244, 1, 2)]",1,7_SZUF_坚
龙光,"[(141, 61, 62)]",1,7_SZUF_坚
龙华,"[(41, 19, 20), (42, 53, 54), (168, 43, 44)]",3,7_SZUF_坚
龙岗,"[(41, 21, 22), (41, 50, 51), (42, 51, 52), (168, 41, 42), (177, 16, 17)]",5,7_SZUF_坚
