location_name,value,count,filename
上步路,"[(91, 81, 82)]",1,8_hkust_wdq_q
上海,"[(237, 4, 5), (240, 20, 21)]",2,8_hkust_wdq_q
下北,"[(228, 18, 19)]",1,8_hkust_wdq_q
东莞,"[(86, 69, 70)]",1,8_hkust_wdq_q
东门,"[(23, 14, 15), (38, 15, 16)]",2,8_hkust_wdq_q
中国,"[(131, 33, 34), (181, 34, 35), (181, 40, 41)]",3,8_hkust_wdq_q
乐园路,"[(55, 25, 26)]",1,8_hkust_wdq_q
书院街,"[(38, 18, 19)]",1,8_hkust_wdq_q
八卦岭,"[(19, 31, 32), (33, 9, 10), (38, 11, 12), (68, 11, 12), (91, 79, 80)]",5,8_hkust_wdq_q
前海,"[(223, 52, 53), (228, 33, 34)]",2,8_hkust_wdq_q
北京,"[(237, 6, 7)]",1,8_hkust_wdq_q
南山,"[(85, 28, 29), (85, 31, 32), (89, 47, 48), (223, 16, 17), (223, 45, 46)]",5,8_hkust_wdq_q
南山区,"[(98, 19, 20)]",1,8_hkust_wdq_q
后海,"[(228, 27, 28)]",1,8_hkust_wdq_q
园岭,"[(7, 15, 16)]",1,8_hkust_wdq_q
圆岭,"[(33, 6, 7), (68, 13, 14)]",2,8_hkust_wdq_q
圆岭街道,"[(19, 28, 30)]",1,8_hkust_wdq_q
安托山站,"[(153, 41, 42)]",1,8_hkust_wdq_q
宝安,"[(89, 53, 54)]",1,8_hkust_wdq_q
宝安机场,"[(144, 36, 38)]",1,8_hkust_wdq_q
布吉,"[(228, 24, 25)]",1,8_hkust_wdq_q
惠州,"[(86, 71, 72)]",1,8_hkust_wdq_q
成都,"[(237, 10, 11)]",1,8_hkust_wdq_q
景田,"[(21, 18, 19)]",1,8_hkust_wdq_q
梅沙,"[(71, 9, 10)]",1,8_hkust_wdq_q
深圳,"[(1, 6, 7), (1, 37, 38), (6, 3, 4), (17, 8, 9), (18, 23, 24), (19, 3, 4), (20, 2, 3), (21, 2, 3), (21, 17, 18), (23, 2, 3), (25, 18, 19), (26, 8, 9), (26, 16, 17), (28, 9, 10), (28, 19, 20), (71, 6, 7), (71, 11, 12), (71, 28, 29), (71, 33, 34), (76, 20, 21), (76, 33, 34), (77, 17, 18), (78, 16, 17), (81, 20, 21), (82, 8, 9), (84, 2, 3), (84, 25, 26), (84, 29, 30), (84, 37, 38), (85, 22, 23), (89, 28, 29), (90, 1, 2), (90, 7, 8), (91, 4, 5), (91, 20, 21), (98, 26, 27), (99, 9, 10), (101, 42, 43), (104, 1, 2), (106, 2, 3), (106, 18, 19), (106, 31, 32), (106, 40, 41), (107, 35, 36), (124, 21, 22), (124, 34, 35), (126, 2, 3), (126, 25, 26), (129, 4, 5), (131, 30, 31), (132, 12, 13), (132, 22, 23), (138, 12, 13), (168, 11, 12), (168, 17, 18), (187, 4, 5), (191, 2, 3), (193, 10, 11), (197, 58, 59), (204, 11, 12), (207, 22, 23), (221, 24, 25), (222, 9, 10), (222, 16, 17), (223, 1, 2), (223, 39, 40), (223, 58, 59), (224, 2, 3), (224, 9, 10), (224, 17, 18), (224, 22, 23), (226, 6, 7), (228, 2, 3), (237, 49, 50), (237, 61, 62), (240, 6, 7), (243, 3, 4)]",77,8_hkust_wdq_q
深圳北站,"[(228, 14, 16)]",1,8_hkust_wdq_q
深圳市,"[(136, 52, 53)]",1,8_hkust_wdq_q
深圳火车站,"[(129, 7, 9), (129, 11, 13)]",2,8_hkust_wdq_q
深圳特区,"[(89, 23, 25)]",1,8_hkust_wdq_q
福田,"[(81, 12, 13), (81, 25, 26), (85, 12, 13), (89, 41, 42), (89, 45, 46), (97, 18, 19), (223, 9, 10), (228, 20, 21)]",8,8_hkust_wdq_q
福田区,"[(7, 13, 14), (8, 5, 6), (11, 8, 9), (19, 20, 21)]",4,8_hkust_wdq_q
罗湖,"[(81, 23, 24), (84, 59, 60), (89, 43, 44), (97, 16, 17), (129, 5, 6), (223, 7, 8)]",6,8_hkust_wdq_q
罗湖区,"[(23, 12, 13), (38, 13, 14)]",2,8_hkust_wdq_q
莲花,"[(8, 7, 8), (33, 12, 13), (33, 20, 21), (58, 18, 19), (58, 29, 30)]",5,8_hkust_wdq_q
莲花路,"[(55, 18, 19)]",1,8_hkust_wdq_q
车公庙,"[(126, 21, 22), (127, 21, 22), (127, 29, 30), (135, 23, 24), (153, 35, 36), (228, 22, 23), (231, 13, 14)]",7,8_hkust_wdq_q
车公庙地区,"[(107, 8, 10)]",1,8_hkust_wdq_q
长沙,"[(237, 8, 9)]",1,8_hkust_wdq_q
香港,"[(132, 33, 34), (132, 36, 37), (237, 12, 13), (237, 33, 34), (237, 38, 39), (237, 45, 46), (238, 7, 8), (239, 1, 2), (240, 12, 13)]",9,8_hkust_wdq_q
香蜜湖,"[(9, 9, 10), (22, 5, 6), (24, 11, 12), (33, 25, 26), (61, 5, 6), (135, 7, 8)]",6,8_hkust_wdq_q
香蜜湖地区,"[(126, 17, 19)]",1,8_hkust_wdq_q
香蜜站,"[(153, 38, 39)]",1,8_hkust_wdq_q
龙华,"[(108, 8, 9), (108, 12, 13), (108, 18, 19), (109, 8, 9)]",4,8_hkust_wdq_q
龙岗,"[(89, 51, 52)]",1,8_hkust_wdq_q
