location_name,value,count,filename
东京,"[(409, 5, 6), (413, 9, 10), (413, 19, 20), (414, 12, 13)]",4,8_hkust_wdq_yyq
东涌,"[(55, 9, 10), (364, 19, 20)]",2,8_hkust_wdq_yyq
东莞,"[(56, 32, 33), (88, 15, 16), (100, 59, 60), (122, 21, 22), (156, 14, 15)]",5,8_hkust_wdq_yyq
中环,"[(428, 65, 66), (429, 3, 4), (429, 30, 31)]",3,8_hkust_wdq_yyq
保安,"[(91, 16, 17)]",1,8_hkust_wdq_yyq
关内,"[(99, 37, 38), (99, 39, 40), (117, 5, 6), (165, 14, 15)]",4,8_hkust_wdq_yyq
华强北,"[(86, 11, 12), (104, 14, 15)]",2,8_hkust_wdq_yyq
南山,"[(28, 31, 32), (83, 30, 31), (85, 38, 39), (99, 21, 22), (104, 56, 57), (105, 27, 28), (111, 16, 17), (111, 29, 30), (111, 80, 81), (118, 16, 17), (119, 7, 8), (128, 22, 23), (128, 31, 32), (128, 48, 49), (128, 57, 58), (129, 17, 18), (131, 13, 14), (131, 18, 19), (133, 38, 39), (134, 54, 55), (135, 4, 5), (164, 32, 33), (175, 53, 54), (224, 3, 4), (224, 16, 17), (238, 12, 13), (348, 11, 12), (375, 53, 54)]",28,8_hkust_wdq_yyq
南山书城,"[(44, 14, 16)]",1,8_hkust_wdq_yyq
南山区,"[(22, 6, 7), (91, 2, 3), (131, 16, 17), (375, 14, 15)]",4,8_hkust_wdq_yyq
南山站,"[(207, 56, 57)]",1,8_hkust_wdq_yyq
南海,"[(44, 33, 34)]",1,8_hkust_wdq_yyq
双龙,"[(145, 35, 36)]",1,8_hkust_wdq_yyq
后海,"[(373, 10, 11)]",1,8_hkust_wdq_yyq
四海,"[(223, 6, 7)]",1,8_hkust_wdq_yyq
四海站,"[(223, 12, 13)]",1,8_hkust_wdq_yyq
国贸,"[(104, 16, 17)]",1,8_hkust_wdq_yyq
国贸大厦,"[(86, 5, 7)]",1,8_hkust_wdq_yyq
地区,"[(122, 47, 48)]",1,8_hkust_wdq_yyq
大梅沙,"[(55, 13, 14), (55, 35, 36), (364, 22, 23), (365, 5, 6)]",4,8_hkust_wdq_yyq
大鹏,"[(89, 46, 47)]",1,8_hkust_wdq_yyq
大鹏新区,"[(100, 12, 14)]",1,8_hkust_wdq_yyq
宝安,"[(106, 6, 7), (106, 8, 9), (129, 3, 4), (136, 37, 38), (156, 17, 18), (158, 20, 21), (158, 24, 25), (158, 29, 30), (158, 34, 35), (158, 44, 45)]",10,8_hkust_wdq_yyq
宝安区,"[(88, 23, 24), (88, 26, 27), (100, 6, 7), (121, 24, 25), (133, 53, 54)]",5,8_hkust_wdq_yyq
宝安机场,"[(229, 52, 54)]",1,8_hkust_wdq_yyq
布吉,"[(383, 9, 10)]",1,8_hkust_wdq_yyq
帝王大厦,"[(86, 8, 10)]",1,8_hkust_wdq_yyq
广州,"[(56, 9, 10), (56, 38, 39)]",2,8_hkust_wdq_yyq
惠州,"[(100, 57, 58), (122, 20, 21)]",2,8_hkust_wdq_yyq
日本,"[(407, 8, 9), (407, 33, 34), (408, 13, 14), (413, 8, 9)]",4,8_hkust_wdq_yyq
株洲,"[(180, 47, 48), (286, 4, 5)]",2,8_hkust_wdq_yyq
桃花园,"[(26, 0, 1), (26, 3, 4)]",2,8_hkust_wdq_yyq
桃花源,"[(26, 15, 16)]",1,8_hkust_wdq_yyq
梅林关,"[(82, 5, 6), (82, 7, 8)]",2,8_hkust_wdq_yyq
武汉,"[(180, 51, 52)]",1,8_hkust_wdq_yyq
沙井,"[(88, 32, 33)]",1,8_hkust_wdq_yyq
沙井关,"[(82, 9, 10)]",1,8_hkust_wdq_yyq
沙田,"[(145, 42, 43), (145, 49, 50)]",2,8_hkust_wdq_yyq
