location_name,value,count,filename
光明,"[(78, 38, 39)]",1,9_SZUCJH_小贾
北京,"[(110, 36, 37), (111, 5, 6), (112, 3, 4), (113, 20, 21), (117, 70, 71), (118, 3, 4), (118, 6, 7), (217, 12, 13), (219, 11, 12)]",9,9_SZUCJH_小贾
华强北,"[(74, 26, 27)]",1,9_SZUCJH_小贾
南山,"[(21, 6, 7), (21, 8, 9), (28, 19, 20), (33, 51, 52), (62, 19, 20), (74, 17, 18), (78, 8, 9), (78, 18, 19), (87, 10, 11), (88, 4, 5), (171, 34, 35), (171, 47, 48), (175, 10, 11), (175, 18, 19), (225, 78, 79)]",15,9_SZUCJH_小贾
南田,"[(171, 45, 46)]",1,9_SZUCJH_小贾
后亭,"[(49, 35, 36), (49, 42, 43)]",2,9_SZUCJH_小贾
宝安,"[(80, 17, 18)]",1,9_SZUCJH_小贾
弘法,"[(62, 22, 23)]",1,9_SZUCJH_小贾
弘法寺,"[(62, 23, 24)]",1,9_SZUCJH_小贾
新桥,"[(47, 13, 14), (49, 3, 4)]",2,9_SZUCJH_小贾
明治,"[(78, 33, 34), (92, 25, 26), (95, 23, 24)]",3,9_SZUCJH_小贾
春天,"[(104, 24, 25)]",1,9_SZUCJH_小贾
杭州,"[(218, 6, 7)]",1,9_SZUCJH_小贾
梅林,"[(172, 12, 13), (172, 14, 15), (172, 19, 20)]",3,9_SZUCJH_小贾
水榭,"[(104, 23, 24)]",1,9_SZUCJH_小贾
沃尔玛,"[(46, 11, 12)]",1,9_SZUCJH_小贾
沙井,"[(28, 21, 22), (33, 53, 54), (47, 8, 9), (67, 73, 74), (78, 41, 42), (107, 6, 7), (107, 10, 11), (108, 3, 4)]",8,9_SZUCJH_小贾
深圳,"[(11, 10, 11), (20, 4, 5), (26, 14, 15), (33, 75, 76), (34, 13, 14), (65, 20, 21), (72, 12, 13), (73, 19, 20), (74, 3, 4), (78, 21, 22), (102, 12, 13), (106, 14, 15), (110, 40, 41), (112, 13, 14), (113, 1, 2), (113, 62, 63), (113, 63, 64), (117, 32, 33), (118, 9, 10), (120, 7, 8), (126, 12, 13), (158, 2, 3), (161, 7, 8), (166, 42, 43), (178, 9, 10), (189, 14, 15), (191, 18, 19), (191, 86, 87), (192, 6, 7), (196, 16, 17), (197, 16, 17), (217, 16, 17), (219, 15, 16), (221, 27, 28), (225, 8, 9)]",35,9_SZUCJH_小贾
深圳北,"[(166, 62, 63)]",1,9_SZUCJH_小贾
深圳市,"[(55, 82, 83)]",1,9_SZUCJH_小贾
福田,"[(55, 33, 34), (74, 15, 16), (74, 28, 29), (78, 12, 13), (87, 13, 14), (88, 6, 7), (91, 11, 12), (171, 43, 44), (171, 49, 50)]",9,9_SZUCJH_小贾
红山片区,"[(103, 26, 28), (103, 31, 33)]",2,9_SZUCJH_小贾
罗湖,"[(74, 19, 20), (91, 18, 19), (171, 41, 42)]",3,9_SZUCJH_小贾
莲花山,"[(209, 11, 12)]",1,9_SZUCJH_小贾
蛇口,"[(46, 6, 7)]",1,9_SZUCJH_小贾
观澜,"[(25, 5, 6), (25, 8, 9), (25, 10, 11), (25, 19, 20), (33, 60, 61), (68, 77, 78), (69, 25, 26), (83, 9, 10), (87, 29, 30), (87, 38, 39), (107, 20, 21), (107, 33, 34), (120, 22, 23)]",13,9_SZUCJH_小贾
观澜湖,"[(92, 30, 31)]",1,9_SZUCJH_小贾
香港,"[(55, 11, 12), (56, 39, 40), (113, 25, 26), (115, 19, 20), (117, 12, 13), (117, 49, 50), (117, 58, 59), (117, 75, 76), (217, 14, 15), (219, 23, 24), (219, 25, 26), (220, 4, 5)]",12,9_SZUCJH_小贾
龙华,"[(78, 32, 33), (92, 8, 9), (92, 10, 11), (92, 36, 37), (92, 49, 50), (94, 3, 4)]",6,9_SZUCJH_小贾
