location_name,value,count,filename
上海,"[(200, 6, 7), (206, 10, 11)]",2,9_SZUCJH_小陈
东莞,"[(101, 41, 42), (101, 60, 61)]",2,9_SZUCJH_小陈
中山市,"[(22, 9, 10)]",1,9_SZUCJH_小陈
光明,"[(76, 68, 69)]",1,9_SZUCJH_小陈
公明,"[(25, 20, 21), (33, 7, 8), (76, 71, 72)]",3,9_SZUCJH_小陈
北京,"[(200, 8, 9), (206, 4, 5)]",2,9_SZUCJH_小陈
南山,"[(161, 7, 8)]",1,9_SZUCJH_小陈
固戍,"[(126, 17, 18)]",1,9_SZUCJH_小陈
固戍地铁站,"[(27, 26, 28)]",1,9_SZUCJH_小陈
大梅沙,"[(54, 4, 5)]",1,9_SZUCJH_小陈
大浪街道,"[(216, 7, 9)]",1,9_SZUCJH_小陈
宝安,"[(25, 22, 23), (76, 76, 77)]",2,9_SZUCJH_小陈
宝安机场,"[(45, 10, 12), (46, 4, 6), (46, 9, 11)]",3,9_SZUCJH_小陈
岗夏,"[(27, 5, 6), (114, 12, 13)]",2,9_SZUCJH_小陈
岗夏村,"[(214, 8, 9)]",1,9_SZUCJH_小陈
岗夏站,"[(110, 15, 16)]",1,9_SZUCJH_小陈
惠州,"[(101, 39, 40)]",1,9_SZUCJH_小陈
松元厦,"[(160, 9, 10), (161, 16, 17), (161, 38, 39), (192, 53, 54)]",4,9_SZUCJH_小陈
松元厦地铁站,"[(99, 3, 5)]",1,9_SZUCJH_小陈
桃源,"[(42, 16, 17)]",1,9_SZUCJH_小陈
深圳,"[(3, 32, 33), (3, 64, 65), (8, 14, 15), (9, 13, 14), (20, 15, 16), (21, 7, 8), (21, 21, 22), (21, 34, 35), (22, 16, 17), (23, 3, 4), (55, 13, 14), (55, 24, 25), (59, 7, 8), (61, 10, 11), (65, 19, 20), (68, 6, 7), (68, 23, 24), (73, 9, 10), (87, 13, 14), (88, 14, 15), (151, 11, 12), (164, 10, 11), (184, 11, 12), (192, 3, 4), (207, 9, 10), (208, 3, 4), (221, 42, 43)]",27,9_SZUCJH_小陈
清水河,"[(40, 0, 1), (41, 3, 4)]",2,9_SZUCJH_小陈
清湖,"[(101, 13, 14), (160, 28, 29), (161, 14, 15)]",3,9_SZUCJH_小陈
石厦,"[(27, 9, 10), (40, 2, 3), (41, 5, 6)]",3,9_SZUCJH_小陈
福田,"[(25, 6, 7), (25, 18, 19), (27, 4, 5), (76, 13, 14), (85, 16, 17), (128, 14, 15), (158, 15, 16), (158, 22, 23)]",8,9_SZUCJH_小陈
福田区,"[(213, 9, 10), (214, 4, 5)]",2,9_SZUCJH_小陈
福田岗夏村,"[(16, 8, 9)]",1,9_SZUCJH_小陈
罗湖,"[(61, 23, 24)]",1,9_SZUCJH_小陈
莲花山,"[(54, 6, 7)]",1,9_SZUCJH_小陈
观湖,"[(218, 3, 4), (218, 8, 9)]",2,9_SZUCJH_小陈
观澜,"[(16, 18, 19), (69, 31, 32), (99, 17, 18), (101, 68, 69), (160, 33, 34)]",5,9_SZUCJH_小陈
观澜汽车站,"[(101, 31, 33)]",1,9_SZUCJH_小陈
观澜湖,"[(69, 1, 2)]",1,9_SZUCJH_小陈
观澜湖生态园,"[(69, 11, 13)]",1,9_SZUCJH_小陈
香港,"[(100, 8, 9)]",1,9_SZUCJH_小陈
龙华,"[(25, 16, 17), (26, 7, 8), (31, 7, 8), (42, 14, 15), (45, 8, 9), (126, 15, 16), (128, 12, 13), (130, 15, 16), (158, 20, 21), (216, 4, 5)]",10,9_SZUCJH_小陈
龙华区,"[(213, 10, 11)]",1,9_SZUCJH_小陈
龙华大浪街道,"[(27, 19, 22)]",1,9_SZUCJH_小陈
龙华布吉,"[(16, 15, 16)]",1,9_SZUCJH_小陈
龙华布吉街道,"[(27, 15, 18)]",1,9_SZUCJH_小陈
龙华观澜街道,"[(27, 34, 37)]",1,9_SZUCJH_小陈
龙岗,"[(76, 66, 67)]",1,9_SZUCJH_小陈
龙岗区,"[(213, 11, 12)]",1,9_SZUCJH_小陈
