word,freq
1234商场,1
cocopark,1
万城,0
万象城,3
万象天地,1
万象汇,2
三亚,0
三联公园,0
三联桥,1
上,1
上城,3
上塘,0
上塘站,0
上步,0
上步区,0
上步路,0
上水,0
上水径,0
上沙,3
上海,10
上海宾馆,1
上海市,0
下北,0
下梅林,0
下沙,0
下沙站,0
东乐花园,0
东二,0
东京,5
东京湾,0
东城纪念馆,0
东富华侨城,0
东昌路,0
东晓,0
东晓街道,0
东晓路,0
东海,4
东海站,1
东涌,0
东湖,0
东湖公园,0
东湖水库,0
东站,0
东纵纪念,0
东莞,9
东门,9
东门步行街,3
东门町,1
东门老街,0
东门街,0
中国,5
中国世贸大厦,0
中山,1
中山公园,0
中山市,1
中山路,0
中心,0
中心城,0
中心路,0
中环,0
中英街,0
丰盛町,0
临淄,2
丹竹头,0
主山,0
丽湖,0
丽湖公园,0
乐园路,0
乐清,1
九龙,0
书城,0
书院街,0
二外,0
云南,0
云湖,0
五华,0
五和,0
五和站,0
五河,0
五洲城,0
五湖,0
井冈山,0
井田,0
亚洲,0
京基大厦,0
京基大楼,0
人人购物广场,0
人民公园,0
人民桥,0
人民桥站,1
人民路,0
仙湖,0
仙湖植物园,5
仙湖植物馆,0
仙湖站,1
伦敦,0
体育西路,0
佛山,0
俄罗斯,0
保利剧院,0
保安,0
光明,6
光明农场,0
光明区,1
光明安,0
光明招待所,0
光明科学城,0
光雅园,0
八卦岭,0
公主坟,1
公园,0
公常路,0
公明,3
六合城,0
六合成,0
六合村,0
六和城,0
关内,4
关内关,0
关南,0
关外,2
兴宁,0
兴宁汽车站,0
冈厦北,0
冬瓜岭,0
凤岗,2
前海,4
前海湾,0
前海湾站,0
前海石公园,0
前海站,0
前海路,0
前湾公园站,0
前湾站,0
北京,36
北方大厦,1
北村,0
北环,2
北环路,0
北站,0
区中区,0
区域,0
华侨城创意园,0
华南城,0
华发路,0
华城路,0
华强,0
华强北,5
华强北站,2
华强北路,0
华强地铁站,0
华强大厦,0
华强路,0
华润,0
华润万象天地,0
华润大厦,0
华润大厦人才公园,0
华清园,0
卓悦中心,1
卓越汇商场,0
南京,7
南京路,0
南坑,0
南坑站,0
南坪,0
南头,0
南头关,2
南头火车站,0
南头营,0
南山,65
南山书城,0
南山体育,0
南山区,9
南山区科技园,1
南山市,0
南山智园,0
南山科技园,3
南山站,0
南山道,0
南山高新园,1
南岭,0
南岭花园,0
南海,0
南湖路,0
南湾,0
南湾街道,0
南澳,0
南田,0
南约,0
南路,0
博丰大厦,0
博罗,0
厦,0
厦北,0
厦北地铁站,0
厦门,2
双拥街,0
双龙,0
双龙地铁站,0
双龙江,0
双龙站,0
口岸,0
台湾,0
台湾花园,0
吉星花园,0
吉祥,0
同乐关,0
后亭,0
后海,2
后海大道,0
后海滨,0
后海站,0
和平路,0
和晒布,0
唐山,0
啊园岭,0
嘉州富苑,0
嘉里,0
四季,0
四季花城,0
四川,0
四川大厦,4
四海,0
四海站,0
四路,0
园岭,0
园林,0
园林大厦,0
固戍,1
固戍地铁站,1
固戍站,0
国贸,0
国贸大厦,0
圆岭,0
圆岭街道,0
地区,0
地王,0
地王大厦,0
地王旁边,0
地铁站,0
圳北,0
圳湾,1
坂田,1
坂田市场,0
坑梓,0
坪地,0
坪山,20
坪山公园,0
坪山区,1
坪山围,0
坪山新区,0
坪山镇,0
坪山高铁站,0
坪河雅苑,0
城中村,2
塘厦,0
塘坑,0
塘朗,0
塘朗山,0
塘朗站,1
增城,0
壹方城,0
大中华区,0
大丰油画村,0
大亚湾,1
大亚湾区,0
大兴,0
大冲,7
大冲村,0
大厦,0
大梅沙,3
大沙河生态,0
大浪,1
大浪街道,1
大湾,0
大湾区,0
大王山,1
大芬,0
大芬油画村,0
大运,0
大运体育中心,0
大运体育馆,0
大运公园,0
大连,0
大铲湾,0
大铲湾区,0
大鹏,5
大鹏新区,0
天地区域,0
天安门,0
天安门广场,0
天河,1
天河城,5
天泽花园,0
天津,0
天虹,0
天鹅堡,0
太宁路,0
太安,0
太白路,0
太阳广场,0
太阳百货,0
妈岭,0
妈湾站,0
宁静路,0
安徽,0
安托山,0
安托山站,0
官田,0
官田站,0
定南,0
宜宾,0
宝体,2
宝体站,1
宝安,74
宝安中心,0
宝安中心区,0
宝安区,8
宝安县,0
宝安广场,0
宝安新,0
宝安新区,0
宝安机场,5
宝安路,0
宝龙,0
客家,0
宾馆,1
富华,0
尚美国际,0
就园岭,0
屏山,0
山姆,0
山姆会员,1
山湖居,0
山西,0
岗厦,0
岗厦北,1
岗厦北地铁站,0
岗厦村,0
岗厦站,4
岗夏,2
岗夏村,1
岗夏站,1
岗村,0
左炮台东,0
巴丁街,0
巴登街,0
布吉,17
布吉关,1
布吉大丰油画村,0
布吉广场,0
布吉站,1
布吉街,0
布吉镇,0
布心,0
布心地铁站,0
布心村,0
布心站,0
布心路,0
布澜路,0
帝王大厦,0
平安大厦,0
平山,0
平山围,0
平昌,0
平湖,0
平湖火车站,0
平湖镇,0
广东,0
广东市,0
广东省,0
广场北街,0
广州,39
广州南站,0
广州罗湖站,0
广西,2
建设路,0
弘法,0
弘法寺,0
强北,0
彩田,1
德兴花园,0
德国,0
怡景,0
惠州,14
惠州南站,0
惠阳,0
成都,4
所城,1
振兴,0
摩尔城,0
文华,1
文锦渡,0
文锦路,0
新加坡,0
新区,0
新华宾馆,2
新城大厦,0
新安公园,1
新岭,0
新岭站,1
新桥,0
新洲,0
新洲南,0
新洲河,0
新洲花园,0
新洲路,0
新特区,0
新生村,0
新疆,0
新秀村,0
无锡,0
日本,6
明区,0
明治,0
星巴克,0
星河,0
春天,0
景田,1
智园,0
月亮湾,0
月亮湾花园,0
木头龙,0
木岗,0
木棉湾,0
木棉湾地铁站,0
木棉湾站,0
机场东,0
杭州,0
杭州东站,0
杭州机场,0
松井,0
松元公园,0
松元厦,4
松元厦地铁站,1
松冈,1
松园,0
松园西街,0
松山湖,0
松山湖公园,0
松岗,20
松岗村,0
树林广场,0
株洲,0
桂园,0
桂园路,0
桃园,0
桃园村,0
桃园路,0
桃源,1
桃源村,0
桃花园,0
桃花源,0
桥城东,0
梅关,0
梅岭,0
梅州,0
梅州市,0
梅村,1
梅林,44
梅林关,3
梅林区域,0
梅林片区,0
梅林站,2
梅沙,3
梅沙海滨公园,1
梧桐山,1
横岗,8
横港地,0
欢乐海岸地铁站,1
欢乐谷,0
欧洲,0
武汉,6
比亚迪,0
民乐,0
民俗村,0
民治,0
民治街道办东二市场,0
水山园,0
水榭,0
水贝,0
水贝村,0
永福,0
汕头,0
汕头市,0
汕尾,0
沃尔玛,0
沈阳,0
沙井,10
沙井关,0
沙嘴,0
沙嘴路,0
沙头角,0
沙尾,0
沙河,0
沙河大街,0
沙河路,0
沙田,0
沙田站,0
河北,1
河南,0
河源,0
河背,0
泉州,0
法国,0
法寺,1
泥巴路,0
泰国,0
泰然,1
泰然九路,0
洛阳,0
洪湖,1
洪湖公园,0
洪湖站,0
浙大,0
浪民治,0
海南,0
海山,2
海山站,0
海岸城,0
海月站,0
海珠区,0
淘金山,1
淡水,1
淮安北,0
深,1
深业,3
深业上城,5
深南,0
深南大道,0
深南路,0
深南路上海宾馆,0
深圳书城,0
深圳北,0
深圳北站,1
深圳博物馆,0
深圳国际会展中心,0
深圳大剧院,0
深圳大戏院,0
深圳大道,0
深圳少年宫,0
深圳市少年宫,0
深圳帝王大厦,0
深圳机场,1
深圳机场深圳机场,0
深圳港湾,0
深圳湾,4
深圳湾体育公园,0
深圳湾公园,1
深圳湾地铁站,0
深圳火车站,1
深圳特区,1
深圳站,0
深圳经济特区,0
深圳证券,0
深大,5
深大站,1
深岗,0
深惠路,0
深房广场,0
深汕,0
深汕特别合作区,0
深港,0
深莞,0
清水,0
清水河,8
清湖,4
清湖站,0
清福站,0
清远,0
渔农村,0
港鹏新村,0
湖北,3
湖南,0
湖贝,0
湘潭,0
滨河,0
滨河大道,0
滨河路,0
滨海大,0
澳门,0
灵芝,0
煤场路,0
燕南,4
燕南站,3
爱联,0
片区,1
牌坊街,0
牛地铺,0
犹他州,0
玉恒花园,0
王,0
玖钻,1
珠江,0
珠江三角洲,0
珠海,0
瓷砖大厦,1
甘坑,1
田庙,0
田心村,0
田贝,0
田贝地铁站,0
番禺,0
登良,0
登良站,0
白云县,0
白云机场,0
白石洲,0
白石龙,0
白马,1
白马服装批发市场,0
白鸽笼,0
百仕达,0
百家购物广场,0
百货,0
百鸽笼,0
皇岗,0
皇岗村,0
皇庭广场,1
益田,0
益田村,0
益田石厦,0
益田站,0
益田路,0
盐田,8
盐田区,0
盐田港,0
盐田港西,0
盐田路,0
盛天酒店,0
石井,0
石井村,0
石厦,3
石厦站,0
石岩,1
石岩湖,0
石芽岭,0
石芽岭地铁站,0
碧头,0
碧桂园,0
神户,1
福山,0
福州,0
福建,0
福建省,0
福强路,0
福明,0
福民,0
福民站,0
福永,4
福永站,1
福济,0
福田,87
福田CBD,0
福田coco,0
福田公园,0
福田区,15
福田口岸,0
福田岗夏村,1
福田民俗村,0
福田汽车站,0
福田沙嘴,0
福田滨海大道,0
福田站,2
福田行政区,0
福田购物公园,0
福田路,0
福田高铁站,1
福祥路,0
福福田,0
福荣路,0
科技园,0
科苑,0
科苑站,0
稻草埔,0
站,1
竹子林,5
竹子林站,1
竹村,0
笋岗,3
笋岗村,0
笋岗路,0
笔架山,0
笔架山公园,0
第四工业区,0
粤东,0
粤北,0
粤海,3
粤海门,0
粤港大湾区,0
粤港澳大湾区,0
粤西,0
紫金港,0
红山,3
红山寨,1
红山片区,0
红山站,2
红岭,0
红岭中路,0
红岭北,0
红岭岭,0
红岭荔枝公园,0
红岭路,0
红树林,1
红树林公园,0
红树林深圳湾公园,0
红树湾,0
红桂路,0
红磡,0
红磡站,0
红花岭,0
红荔路,0
纽卡斯尔,0
纽约,2
绍兴,0
经济特区,0
维也纳,0
维也纳酒店,0
维纳斯酒店,0
绿映居,0
绿道,0
罗湖,124
罗湖东湖公园,0
罗湖书城,0
罗湖体育馆,0
